N	4gram	Losev_Dial_2	Myslijsy
1	в то же время	3	3
2	по мере того как	1	3
3	не что иное как	3	2
4	не в том что	1	2
5	все более и более	1	2
6	и т д не	2	1
7	не только в смысле	1	1
8	и т д в	1	1
9	во что бы то	1	1
10	в том смысле что	3	1
11	что не только в	1	1
12	или по крайней мере	2	1
13	с одной стороны и	1	1
14	что бы то ни	1	1
15	от того будет ли	1	1
16	и то и другое	1	1
17	д и т д	2	1
18	бы то ни стало	1	1
19	тем не менее в	1	1
20	что несмотря на все	1	1
21	и в том и	1	1
22	точно так же как	1	1
23	заключается в том что	1	1
24	сказать несколько слов об	1	1
25	не говоря уже о	2	1
26	в том что именно	1	1
