N	2gram	Medvedev_V_1	Formalny
1	т е	18	34
2	и в	26	24
3	художественного произведения	6	23
4	в его	14	23
5	прежде всего	13	22
6	и не	19	20
7	так и	5	18
8	точки зрения	3	16
9	не может	17	16
10	в этом	26	15
11	в нем	6	14
12	может быть	22	14
13	таким образом	31	13
14	на почве	1	13
15	и т	23	12
16	в своем	8	11
17	как и	7	11
18	в своей	4	11
19	в их	5	11
20	не менее	2	11
21	должно быть	2	11
22	в ней	2	10
23	то же	10	10
24	вовсе не	3	10
25	и ее	4	10
26	и его	6	10
27	и их	3	10
28	литературное произведение	1	10
29	а не	7	10
30	в то	6	9
31	в процессе	16	9
32	идеологического творчества	2	9
33	и потому	2	9
34	все это	10	9
35	как в	1	8
36	т д	14	8
37	лишь в	2	8
38	не в	6	8
39	произведения в	7	8
40	же время	5	8
41	в ее	4	8
42	произведения и	7	8
43	именно в	2	8
44	то что	6	8
45	в свою	1	8
46	с ее	1	7
47	не только	25	7
48	не должна	1	7
49	жизни и	3	7
50	в единстве	4	7
51	и от	3	7
52	но и	10	7
53	еще не	2	6
54	самом деле	1	6
55	отнюдь не	3	6
56	более или	6	6
57	в целом	4	6
58	все эти	6	6
59	в этой	4	6
60	как бы	5	6
61	входит в	1	6
62	или менее	6	6
63	она не	3	6
64	свою очередь	1	6
65	на основе	5	6
66	в пределах	5	6
67	до сих	1	6
68	художественной структуры	2	6
69	в том	15	6
70	было бы	7	6
71	в живом	1	6
72	как это	12	6
73	художественное произведение	5	6
74	сих пор	1	6
75	форм и	1	6
76	и все	1	6
77	а в	3	6
78	хотя бы	19	5
79	во всех	6	5
80	но в	2	5
81	и свою	1	5
82	в самом	4	5
83	в понимании	1	5
84	по себе	2	5
85	не могло	1	5
86	у нас	2	5
87	должны быть	2	5
88	должен быть	4	5
89	как мы	1	5
90	проблем и	1	5
91	искусства и	1	5
92	того что	3	5
93	только на	1	5
94	с другой	11	5
95	и др	9	5
96	формы и	2	5
97	в искусстве	6	5
98	художественных произведений	1	4
99	с его	3	4
100	по отношению	7	4
101	в истории	1	4
102	и к	3	4
103	в которой	2	4
104	своем содержании	2	4
105	главным образом	7	4
106	не как	1	4
107	с другими	2	4
108	и может	2	4
109	задачи и	1	4
110	как о	2	4
111	друг друга	1	4
112	как на	3	4
113	целом и	1	4
114	никогда не	4	4
115	если бы	3	4
116	для этого	1	4
117	познания и	4	4
118	всяком случае	1	4
119	с одной	2	4
120	конечно не	1	4
121	т п	9	4
122	одной стороны	2	4
123	в связи	3	4
124	в частности	11	4
125	отношению к	7	4
126	стороны и	2	4
127	с этой	1	4
128	быть и	1	4
129	что в	10	4
130	к этой	1	4
131	так же	3	4
132	во всяком	1	4
133	художественном произведении	4	3
134	это и	6	3
135	действительности и	7	3
136	по аналогии	1	3
137	зависимости от	5	3
138	связи со	1	3
139	но не	2	3
140	значение и	1	3
141	в общем	2	3
142	отношение к	1	3
143	все же	5	3
144	когда он	3	3
145	целый ряд	1	3
146	и как	3	3
147	и наконец	2	3
148	в себе	6	3
149	если он	1	3
150	так сказать	2	3
151	он не	2	3
152	всех этих	2	3
153	так например	2	3
154	в каждом	2	3
155	материала и	1	3
156	его в	3	3
157	в жизни	2	3
158	в них	4	3
159	среда в	1	3
160	они не	2	3
161	но для	2	3
162	элемент художественного	1	3
163	не о	2	3
164	в основе	1	3
165	в систему	1	3
166	на язык	2	3
167	связи с	4	3
168	сводится к	3	3
169	не по	2	3
170	материала в	1	3
171	отличается от	2	3
172	к тому	4	3
173	здесь не	1	3
174	жизнь и	1	3
175	об искусстве	1	3
176	громадное значение	1	3
177	его художественной	1	3
178	аналогии с	1	3
179	бы в	3	3
180	говорит он	1	3
181	наконец в	1	3
182	один из	5	3
183	и других	1	3
184	для него	8	3
185	не для	1	3
186	в особенности	2	3
187	со всем	1	3
188	и даже	2	3
189	в области	2	3
190	бытия в	1	3
191	не было	7	3
192	и непосредственно	2	3
193	эти определения	1	3
194	или иного	1	3
195	в художественном	10	3
196	в основном	5	3
197	но это	1	3
198	каждой из	2	3
199	у них	2	3
200	же в	6	3
201	а н	1	3
202	между ними	3	3
203	от всех	1	3
204	что он	4	3
205	в применении	1	2
206	же как	2	2
207	чтобы не	2	2
208	применении к	1	2
209	и это	1	2
210	в зависимости	6	2
211	в году	6	2
212	его не	3	2
213	а как	2	2
214	вопрос о	1	2
215	единство и	1	2
216	эстетики и	1	2
217	в художественное	1	2
218	как если	1	2
219	своей работе	1	2
220	а только	1	2
221	уже как	1	2
222	нет и	3	2
223	за пределы	1	2
224	чем же	4	2
225	искусства не	2	2
226	с этим	3	2
227	в него	1	2
228	эту проблему	1	2
229	не приходится	2	2
230	он в	1	2
231	и если	1	2
232	на его	1	2
233	элементов его	1	2
234	мы полагаем	1	2
235	том чтобы	2	2
236	но ведь	1	2
237	действительности на	2	2
238	так называемым	1	2
239	того или	2	2
240	в работе	3	2
241	это не	7	2
242	в новое	1	2
243	в художественную	1	2
244	ни в	1	2
245	с тем	3	2
246	мы видели	3	2
247	в конкретную	1	2
248	их на	1	2
249	почти не	1	2
250	значение для	1	2
251	у тургенева	3	2
252	бы быть	1	2
253	эстетик и	1	2
254	виду что	1	2
255	своему замыслу	1	2
256	и художественной	1	2
257	мысли в	1	2
258	на него	1	2
259	о беспредметности	1	2
260	только не	2	2
261	жизни не	1	2
262	одна из	4	2
263	в самой	1	2
264	учения о	1	2
265	этом процессе	2	2
266	к ней	1	2
267	фактов и	1	2
268	от того	2	2
269	данного произведения	3	2
270	и заключается	2	2
271	если же	1	2
272	значения и	1	2
273	всего этого	1	2
274	в науке	2	2
275	приводит к	5	2
276	произведения а	1	2
277	каждого из	1	2
278	еще в	1	2
279	с ним	1	2
280	художник в	1	2
281	произведения как	5	2
282	и что	1	2
283	к действительности	1	2
284	в различных	2	2
285	и художественная	1	2
286	между тем	5	2
287	что и	3	2
288	во всей	2	2
289	действительности не	1	2
290	только в	7	2
291	уже не	1	2
292	ни одного	2	2
293	и чисто	1	2
294	не дает	1	2
295	его и	1	2
296	могло бы	2	2
297	в одном	4	2
298	сами по	1	2
299	непосредственно как	1	2
300	как раз	3	2
301	полагаем что	1	2
302	даже и	3	2
303	перейти к	1	2
304	или иначе	1	2
305	не прав	1	2
306	сама по	1	2
307	и самый	1	2
308	самое понятие	1	2
309	особенностей и	1	2
310	мира в	1	2
311	художественного целого	1	2
312	вместе с	7	2
313	и особенно	1	2
314	образом на	1	2
315	по существу	3	2
316	действительности как	1	2
317	является для	1	2
318	в результате	5	2
319	в своих	2	2
320	тот или	1	2
321	одной из	1	2
322	в системе	2	2
323	прав когда	1	2
324	на своем	1	2
325	что такое	2	2
326	новое время	1	1
327	а между	1	1
328	смысле слова	2	1
329	произведения но	1	1
330	ту же	2	1
331	можно говорить	1	1
332	этого в	1	1
333	также и	2	1
334	например в	3	1
335	начинается с	1	1
336	и через	2	1
337	и приемы	1	1
338	проблемы в	1	1
339	связи между	1	1
340	действительностью в	1	1
341	он может	2	1
342	сил и	3	1
343	и биология	1	1
344	между всеми	1	1
345	и есть	5	1
346	также что	2	1
347	из его	3	1
348	и этот	2	1
349	со всех	1	1
350	бы уже	1	1
351	содержания в	1	1
352	реалистического искусства	1	1
353	в основных	3	1
354	почти все	1	1
355	и конфликты	1	1
356	а для	2	1
357	а художественного	1	1
358	в каждой	1	1
359	всех сторон	1	1
360	это время	1	1
361	проявляется в	1	1
362	не был	1	1
363	говоря уже	1	1
364	в чем	2	1
365	является таким	1	1
366	предисловии к	1	1
367	художник и	1	1
368	в данном	1	1
369	его сознания	1	1
370	протекать в	1	1
371	искусстве но	1	1
372	оно является	2	1
373	или иное	1	1
374	и речи	1	1
375	основные вопросы	1	1
376	две основные	1	1
377	или у	1	1
378	в м	1	1
379	опирается на	1	1
380	общего с	1	1
381	вот как	4	1
382	романа или	1	1
383	бы при	1	1
384	перед нами	4	1
385	среде как	1	1
386	частей и	1	1
387	в единый	1	1
388	понять и	1	1
389	хотя и	2	1
390	и понимания	1	1
391	реальной действительности	10	1
392	творчества как	3	1
393	основная тенденция	1	1
394	художественный замысел	1	1
395	приемов в	1	1
396	то в	1	1
397	бы и	6	1
398	ни один	7	1
399	мы получаем	1	1
400	эти вопросы	2	1
401	так или	1	1
402	его содержания	1	1
403	из этих	7	1
404	сущности и	1	1
405	художников и	1	1
406	е объединения	1	1
407	творчества и	1	1
408	творчество и	1	1
409	замысел как	1	1
410	как он	2	1
411	на то	1	1
412	фактический материал	1	1
413	что без	2	1
414	этого отражения	1	1
415	противном случае	2	1
416	к искусству	1	1
417	идей и	3	1
418	как оно	1	1
419	не следует	8	1
420	в статье	4	1
421	все те	1	1
422	художественном образе	1	1
423	они в	1	1
424	эту задачу	1	1
425	идеалистической эстетики	1	1
426	всем своем	1	1
427	не значит	1	1
428	механистический материализм	1	1
429	понятий и	1	1
430	этот процесс	2	1
431	и по	3	1
432	на этом	1	1
433	они должны	2	1
434	связанных с	1	1
435	заключается в	2	1
436	при которой	1	1
437	время и	1	1
438	является общим	1	1
439	деле в	1	1
440	без нее	1	1
441	этом смысле	1	1
442	является особым	1	1
443	в итоге	1	1
444	материал для	1	1
445	для них	1	1
446	это положение	1	1
447	его частей	1	1
448	ни одной	1	1
449	далеко не	2	1
450	материал этот	1	1
451	этого не	1	1
452	он и	2	1
453	полный разрыв	1	1
454	как целого	3	1
455	как целое	1	1
456	роль и	1	1
457	его своеобразии	1	1
458	представление что	1	1
459	в этих	1	1
460	или вообще	1	1
461	все должно	1	1
462	отрыве от	1	1
463	и другие	1	1
464	философии а	1	1
465	что если	1	1
466	художественного творчества	18	1
467	никаких оснований	2	1
468	художественного конструирования	1	1
469	у художника	2	1
470	в котором	3	1
471	этому же	1	1
472	и свой	1	1
473	не столько	2	1
474	как совокупность	1	1
475	знаем что	2	1
476	творчества все	1	1
477	от его	2	1
478	в силу	11	1
479	художественная деятельность	1	1
480	но он	1	1
481	друг другу	1	1
482	этого только	1	1
483	и эти	1	1
484	этих и	2	1
485	как от	2	1
486	следующих словах	1	1
487	тому что	6	1
488	первых и	1	1
489	а отсюда	1	1
490	вообще но	1	1
491	можно указать	2	1
492	самого начала	1	1
493	этими двумя	1	1
494	эти формы	1	1
495	мышления и	1	1
496	не имеет	1	1
497	если в	2	1
498	к этим	2	1
499	к изучению	1	1
500	говорить о	2	1
501	и отдельных	3	1
502	функцию в	1	1
503	но только	1	1
504	того чтобы	3	1
505	та или	1	1
506	художественной деятельности	2	1
507	и никакой	1	1
508	философской системы	1	1
509	его от	2	1
510	и без	1	1
511	это то	1	1
512	на себя	1	1
513	или иная	1	1
514	что самое	1	1
515	в русском	1	1
516	п в	3	1
517	и чувства	1	1
518	потому что	1	1
519	в сознании	4	1
520	только с	2	1
521	произведений их	1	1
522	этом отношении	13	1
523	сложные задачи	1	1
524	мы и	1	1
525	что на	1	1
526	точном смысле	2	1
527	и из	1	1
528	за его	1	1
529	если только	1	1
530	отдельных его	1	1
531	том отношении	2	1
532	науки что	1	1
533	и искусство	1	1
534	уже о	1	1
535	все то	1	1
536	и стиль	1	1
537	в духе	1	1
538	не могут	7	1
539	могут быть	5	1
540	обычного типа	1	1
541	время никогда	1	1
542	лежит в	1	1
543	над одним	1	1
544	единства в	1	1
545	числе и	2	1
546	порою и	2	1
547	произведения которое	1	1
548	к утверждению	1	1
549	его значение	1	1
550	детальное изучение	1	1
551	что при	2	1
552	ничего общего	1	1
553	сквозь призму	1	1
554	самой материи	1	1
555	два вида	1	1
556	именно эту	1	1
557	основываясь на	2	1
558	как один	1	1
559	данном случае	1	1
560	же наконец	1	1
561	тем это	1	1
562	произведения этот	1	1
563	в точном	2	1
564	роль в	4	1
565	мы наблюдаем	2	1
566	однако эта	1	1
567	если они	1	1
568	что у	2	1
569	в образе	2	1
570	только через	1	1
571	в нескольких	1	1
572	чем скажем	1	1
573	было в	2	1
574	остается только	1	1
575	по сравнению	1	1
576	за этими	1	1
577	понятно что	1	1
578	создает новые	1	1
579	связанное с	2	1
580	в другом	2	1
581	что перед	1	1
582	образе в	1	1
583	и просто	2	1
584	можно сказать	4	1
585	а также	1	1
586	может не	2	1
587	бытием и	1	1
588	по их	1	1
589	науке и	1	1
590	изучение его	1	1
591	и социальной	2	1
592	его элементах	4	1
593	а порою	3	1
594	от них	2	1
595	и во	1	1
596	специальных проблем	1	1
597	творчества в	7	1
598	противоречия и	1	1
599	на одном	1	1
600	художников слова	1	1
601	в форме	3	1
602	искусства это	1	1
603	приводит и	1	1
604	и ни	1	1
605	вслед за	2	1
606	как художественное	1	1
607	исторического развития	1	1
608	и подобных	2	1
609	в свете	1	1
610	с а	1	1
611	для самого	1	1
612	и самые	1	1
613	видим что	1	1
614	путаница и	1	1
615	не механическое	1	1
616	которых она	1	1
617	романа и	1	1
618	мы видим	1	1
619	стиль в	1	1
620	речи о	1	1
621	подобных им	2	1
622	согласиться с	1	1
623	сводить к	1	1
624	от всего	1	1
625	в стороне	1	1
626	очень много	1	1
627	который в	1	1
628	между этими	1	1
629	своего собственного	1	1
630	к какому	1	1
631	к идее	1	1
632	в конкретной	2	1
633	же но	1	1
634	в виде	1	1
635	в понятие	1	1
636	от других	1	1
637	или даже	1	1
638	в данной	1	1
639	наконец очень	1	1
640	из них	9	1
641	произведения не	2	1
642	мы знаем	3	1
643	себе в	1	1
644	представить себе	2	1
645	определенной литературной	1	1
646	он работал	3	1
647	от различных	2	1
648	содержания а	1	1
649	художника и	7	1
650	но что	1	1
651	у него	6	1
652	во взглядах	1	1
653	и развитии	1	1
654	явлений в	1	1
655	отношении что	2	1
656	художник не	2	1
657	образом не	3	1
658	познания действительности	2	1
659	или иной	2	1
660	даже не	2	1
661	внутренняя логика	1	1
662	последнем счете	1	1
663	как у	2	1
664	являются материальными	1	1
665	его себе	1	1
666	не один	1	1
667	но ни	1	1
668	что они	3	1
