N	2gram	Bakhtin_Pr_5	Otkroven
1	у него	4	22
2	и в	35	19
3	у достоевского	12	19
4	но и	14	13
5	и не	27	13
6	в этом	14	12
7	из подполья	35	11
8	человека в	1	11
9	не в	10	11
10	не только	10	11
11	может быть	14	11
12	а не	4	11
13	вопрос о	2	10
14	в нем	16	10
15	и все	15	10
16	в самой	1	9
17	прежде всего	12	9
18	в человеке	1	9
19	никогда не	4	9
20	потому что	8	9
21	он был	1	8
22	и он	2	8
23	ивана карамазова	4	7
24	в его	21	7
25	человек не	1	7
26	он не	13	7
27	в глубине	1	7
28	лишь в	7	7
29	достоевского он	1	7
30	до конца	4	7
31	нет ничего	1	7
32	но он	4	7
33	от него	6	7
34	как и	18	6
35	все это	14	6
36	отношение к	6	5
37	в том	5	5
38	в самом	6	5
39	в этой	1	5
40	человеке в	1	5
41	для него	14	5
42	достоевского и	2	5
43	в творчестве	4	5
44	него в	1	5
45	о его	1	5
46	для достоевского	2	5
47	а в	7	5
48	то что	10	5
49	записок из	3	5
50	достоевского есть	1	4
51	он сам	6	4
52	в преступлении	1	4
53	с его	7	4
54	все в	1	4
55	все эти	3	4
56	герои достоевского	1	4
57	него и	3	4
58	его мысли	2	4
59	что не	4	4
60	в идиоте	1	4
61	не может	18	4
62	в романах	5	4
63	достоевский не	1	4
64	того чтобы	1	4
65	человек и	4	4
66	есть лишь	1	4
67	и мысли	3	4
68	и его	14	4
69	что в	6	4
70	нем нет	1	3
71	в бесах	1	3
72	достоевского в	3	3
73	о том	2	3
74	еще не	7	3
75	самого достоевского	1	3
76	к нему	13	3
77	подполья и	1	3
78	было бы	3	3
79	того что	3	3
80	когда он	3	3
81	что он	24	3
82	и ее	1	3
83	в себе	5	3
84	записках из	1	3
85	в записках	2	3
86	и вот	4	3
87	не могут	1	3
88	для того	1	3
89	это было	2	3
90	что человек	1	3
91	это не	3	3
92	только одно	1	3
93	мысли и	1	3
94	как бы	31	3
95	записки из	1	3
96	романах достоевского	4	3
97	с ним	7	3
98	и от	3	3
99	в этих	2	3
100	хотя бы	2	3
101	в своих	1	3
102	и с	12	2
103	те которые	1	2
104	и то	5	2
105	в ее	3	2
106	достоевского к	1	2
107	мысль о	1	2
108	что у	6	2
109	так и	8	2
110	по себе	4	2
111	никогда и	1	2
112	и на	6	2
113	совсем не	3	2
114	не все	1	2
115	что и	3	2
116	что они	6	2
117	природы он	1	2
118	ивана и	2	2
119	как к	5	2
120	в своем	2	2
121	все же	8	2
122	сразу же	1	2
123	героев достоевского	3	2
124	и к	12	2
125	в этот	2	2
126	и потому	1	2
127	в которой	2	2
128	что достоевский	1	2
129	в уста	1	2
130	он в	4	2
131	так что	5	2
132	уже в	3	2
133	в душе	2	2
134	же это	1	2
135	ведь это	1	2
136	которую он	1	2
137	много раз	2	2
138	так как	4	2
139	тем что	4	2
140	в других	1	2
141	даже и	3	2
142	момент в	1	2
143	в другом	12	2
144	и из	1	2
145	его в	4	2
146	человека а	1	2
147	достоевского с	1	2
148	сказать что	3	2
149	с тем	3	2
150	и очень	1	2
151	должно быть	3	2
152	него не	1	2
153	достоевского нет	3	2
154	том что	3	2
155	ко всем	1	2
156	к этому	1	2
157	что же	7	2
158	у кого	1	2
159	любовь к	1	2
160	и для	8	2
161	самое главное	2	2
162	ничего не	3	2
163	и ни	2	2
164	к ней	2	2
165	и любовь	1	2
166	иван карамазов	2	2
167	в своей	4	2
168	что все	2	2
169	всего в	1	2
170	хотя и	2	2
171	но в	19	2
172	кажется и	1	2
173	и это	5	1
174	если вы	1	1
175	женщины и	1	1
176	и самое	2	1
177	кто бы	1	1
178	отношения к	1	1
179	в обычном	2	1
180	например в	2	1
181	можно и	1	1
182	жизни этого	1	1
183	чтобы не	2	1
184	и действительно	1	1
185	и через	1	1
186	достоевского у	1	1
187	в виду	3	1
188	сам по	2	1
189	с кем	1	1
190	на нем	1	1
191	не могу	3	1
192	тот сам	1	1
193	на самом	9	1
194	но тем	1	1
195	характер и	2	1
196	вовлекаются в	1	1
197	между двумя	2	1
198	с сего	1	1
199	уже с	2	1
200	к другому	16	1
201	и до	1	1
202	уже указывали	1	1
203	рассудка и	1	1
204	и больше	1	1
205	можно было	2	1
206	мышкиным и	1	1
207	к чему	1	1
208	достоевский достигает	1	1
209	есть не	1	1
210	всех героев	1	1
211	собой в	1	1
212	он знает	3	1
213	мы не	1	1
214	том как	1	1
215	ту же	1	1
216	уверен что	2	1
217	вершины своего	1	1
218	по сравнению	1	1
219	кто смеет	1	1
220	связан с	2	1
221	если бы	1	1
222	с иваном	1	1
223	его романов	1	1
224	и действий	1	1
225	все и	4	1
226	в сущности	14	1
227	карамазовых в	1	1
228	находится в	1	1
229	смирись гордый	1	1
230	бы даже	1	1
231	о нем	2	1
232	всегда у	1	1
233	себе что	1	1
234	это я	3	1
235	но к	1	1
236	в ней	2	1
237	и что	6	1
238	в глаза	5	1
239	почему же	2	1
240	это потому	1	1
241	после того	1	1
242	все его	4	1
243	братьев карамазовых	2	1
244	любви к	1	1
245	своих героев	1	1
246	нет у	1	1
247	самому себе	1	1
248	достоевского всегда	1	1
249	самом деле	10	1
250	и рогожиным	1	1
251	но не	6	1
252	то он	1	1
253	лишь путем	1	1
254	всего он	1	1
255	подполья но	1	1
256	к богу	1	1
257	в противоречии	1	1
258	нуждается в	3	1
259	себе и	7	1
260	отметить что	1	1
261	говорит он	4	1
262	в форме	3	1
263	все время	4	1
264	придет и	1	1
265	человека как	2	1
266	которой в	1	1
267	в центре	1	1
268	в одной	3	1
269	как в	5	1
270	его собственным	1	1
271	и мир	2	1
272	друг к	3	1
273	на бесконечные	1	1
274	как например	1	1
275	один из	1	1
276	об обществе	1	1
277	что только	1	1
278	и как	2	1
279	с ними	5	1
280	скажете что	2	1
281	чего же	1	1
282	достоевского уже	1	1
283	то в	2	1
284	за собой	3	1
285	с чертом	2	1
286	поэтому он	3	1
287	и после	1	1
288	не хочет	2	1
289	бы и	2	1
290	что это	4	1
291	между этими	1	1
292	к братьям	1	1
293	со всеми	3	1
294	в эти	2	1
295	к которой	1	1
296	человека с	3	1
297	же и	4	1
298	но о	1	1
299	есть уже	1	1
300	уже не	3	1
301	я имею	1	1
302	ее как	3	1
303	в братьях	3	1
304	люди а	1	1
305	а вовсе	1	1
306	бы ни	1	1
307	больше всего	1	1
308	новый человек	1	1
309	до последней	1	1
310	и других	1	1
311	да и	5	1
312	из них	3	1
313	его и	3	1
314	чего бы	2	1
315	свой собственный	1	1
316	он должен	1	1
317	чем у	1	1
318	к одному	3	1
319	начале романа	1	1
320	в одном	6	1
321	свои собственные	2	1
322	вовсе не	7	1
323	и сам	7	1
324	человек так	1	1
325	братьях карамазовых	3	1
326	противоречии с	1	1
327	в убийстве	1	1
328	из него	1	1
329	почему не	1	1
330	этом отношении	1	1
331	я бы	4	1
332	лишь один	1	1
333	сказать с	1	1
334	в каждом	6	1
335	ни был	2	1
336	же не	4	1
337	и характер	1	1
