N	3gram	Potebnia_M_3	KulturaY
1	и т п	2	41
2	в самом деле	1	11
3	для того чтобы	3	11
4	тем не менее	3	9
5	до сих пор	3	8
6	в том что	16	8
7	и т д	3	8
8	в том случае	1	4
9	в данном случае	1	4
10	с одной стороны	3	4
11	до тех пор	1	4
12	и в самом	2	4
13	после того как	1	4
14	только тогда когда	7	4
15	на самом деле	1	3
16	сих пор еще	1	3
17	сам по себе	5	3
18	в том чтобы	2	3
19	не только в	4	3
20	с другой стороны	4	3
21	не может быть	3	3
22	так и в	2	3
23	о том что	1	3
24	том случае когда	1	3
25	смысле этого слова	7	2
26	одним и тем	3	2
27	и тем же	3	2
28	по отношению к	5	2
29	не говоря уже	1	2
30	один и тот	1	2
31	только в том	3	2
32	но язык не	1	2
33	говоря уже о	1	2
34	в таком случае	2	2
35	только то что	1	2
36	от того что	5	2
37	в первом случае	2	2
38	и тот же	1	2
39	в языке нет	1	2
40	потому что в	1	2
41	не в том	5	2
42	не могут быть	2	2
43	только после того	1	2
44	лишь в том	1	2
45	не означает еще	1	2
46	более или менее	3	2
47	тем более что	1	2
48	сама по себе	2	2
49	что и в	3	2
50	к тому же	1	2
51	как мы видели	1	2
52	в свое время	1	2
53	формы и содержания	1	2
54	что внутренняя форма	2	1
55	эти слова сказал	1	1
56	и в поэзии	1	1
57	потому что он	3	1
58	можно себе представить	1	1
59	внутренняя форма кроме	1	1
60	фактического единства образа	1	1
61	дело нашей души	1	1
62	дает еще знание	1	1
63	в чем же	1	1
64	слово может быть	4	1
65	и той же	2	1
66	далеко не все	3	1
67	образы принимаемые нами	1	1
68	соединение есть дело	1	1
69	не было до	1	1
70	при таких условиях	1	1
71	то же самое	1	1
72	в силу того	1	1
73	то тем самым	3	1
74	участия это соединение	1	1
75	в этом слове	1	1
76	в языке и	1	1
77	уже в том	1	1
78	единства образа дает	1	1
79	то что мы	2	1
80	образа дает еще	1	1
81	как в слове	2	1
82	что он не	3	1
83	в строгом смысле	1	1
84	но и в	4	1
85	что все эти	1	1
86	есть не образ	2	1
87	каждой из этих	1	1
88	а может быть	1	1
89	тогда когда он	1	1
90	из того что	1	1
91	принимаемые нами за	1	1
92	в собственном смысле	2	1
93	ее от души	1	1
94	что эти последние	1	1
95	то же в	1	1
96	она есть не	1	1
97	и если бы	1	1
98	по крайней мере	5	1
99	не образ предмета	1	1
100	за предметы существующие	1	1
101	без нашего участия	1	1
102	от нас и	1	1
103	если б не	1	1
104	в образы принимаемые	1	1
105	как увидим ниже	1	1
106	кроме фактического единства	1	1
107	значении этого слова	1	1
108	не только не	2	1
109	что в первом	1	1
110	из этих слов	2	1
111	вместе с тем	4	1
112	что даже в	1	1
113	а тем более	1	1
114	только в силу	1	1
115	образ предмета а	1	1
116	то время когда	1	1
117	общем смысле этого	1	1
118	в то время	4	1
119	право сказать что	1	1
120	может быть не	1	1
121	в этих словах	1	1
122	заключается в том	1	1
123	заключается не только	1	1
124	существующие независимо от	1	1
125	не будем говорить	1	1
126	не зависит от	1	1
127	о слове как	1	1
128	впечатлений в образы	1	1
129	что именно в	1	1
130	единства она есть	1	1
131	на первых порах	2	1
132	нашей души впрочем	1	1
133	в противном случае	1	1
134	по себе еще	1	1
135	с нашей точки	1	1
136	а не как	1	1
137	знание этого единства	1	1
138	этого единства она	1	1
139	свою мысль так	1	1
140	от души животного	1	1
141	он не знает	1	1
142	потому что есть	1	1
143	по тому что	1	1
144	то же слово	2	1
145	тем что в	1	1
146	это соединение есть	1	1
147	нас и без	1	1
148	самом деле в	1	1
149	есть дело нашей	1	1
150	при некотором внимании	1	1
151	форма и содержание	1	1
152	собственном смысле этого	1	1
153	а в том	5	1
154	не отличающее ее	1	1
155	то увидим что	1	1
156	силу того что	1	1
157	впрочем не отличающее	1	1
158	и без нашего	1	1
159	то же время	5	1
160	и о том	1	1
161	уже потому что	1	1
162	вовсе не в	1	1
163	мы не можем	2	1
164	нами за предметы	1	1
165	том смысле что	1	1
166	что язык есть	1	1
167	в свою очередь	3	1
168	что в ней	2	1
169	думать что именно	1	1
170	само по себе	3	1
171	не менее есть	1	1
172	видно уже из	1	1
173	предмета а образ	1	1
174	внутренняя форма в	1	1
175	себе представить что	1	1
176	предметы существующие независимо	1	1
177	потому что без	1	1
178	как в самом	1	1
179	а вместе с	1	1
180	в то же	5	1
181	для нас в	1	1
182	отличающее ее от	1	1
183	по этому поводу	1	1
184	еще знание этого	1	1
185	к тому что	2	1
186	в том смысле	3	1
187	одной и той	2	1
188	друг от друга	1	1
189	себе еще не	1	1
190	вопросом об отношении	1	1
191	форма кроме фактического	1	1
192	важную роль играет	1	1
193	быть не может	1	1
194	что слово есть	1	1
195	того как мы	1	1
196	нашего участия это	1	1
197	каждое отдельное слово	1	1
198	независимо от нас	1	1
199	души впрочем не	1	1
200	и что вообще	1	1
201	точек зрения и	1	1
202	именно потому что	1	1
203	не имеет смысла	1	1
204	именно в том	2	1
205	соединение впечатлений в	1	1
