N	4gram	Tiupa_Hudo_1	Narrotol
1	во времени и пространстве	1	4
2	в то же время	8	3
3	которым можно было бы	1	2
4	состоит в том что	1	2
5	предстают перед нами не	1	1
6	читателя в самую суть	1	1
7	особая личностно-актуальная форма восприятия	1	1
8	перед нами не как	1	1
9	и ведущего за собой	1	1
10	и в то же	1	1
11	в русской литературе позиции	1	1
12	в самом деле не	1	1
13	истину и ведущего за	1	1
14	ведущего за собой его	1	1
15	знающего истину и ведущего	1	1
16	себя в другом и	1	1
17	пророка знающего истину и	1	1
18	жизни мудреца пророка знающего	1	1
19	включенность читателя в мир	1	1
20	мудреца пророка знающего истину	1	1
21	влиятельной в русской литературе	1	1
22	но как субъекты этического	1	1
23	литературе позиции писателя как	1	1
24	произведения особая личностно-актуальная форма	1	1
25	с этой точки зрения	1	1
26	особая включенность читателя в	1	1
27	как субъекты этического выбора	1	1
28	всего в том что	1	1
29	русской литературе позиции писателя	1	1
30	прежде всего в том	1	1
31	как учителя жизни мудреца	1	1
32	учителя жизни мудреца пророка	1	1
33	читателя в мир произведения	1	1
34	в самую суть проблемной	1	1
35	нами не как объекты	1	1
36	в том что он	1	1
37	писателя как учителя жизни	1	1
38	дело здесь не в	1	1
39	самую суть проблемной ситуации	1	1
40	в мир произведения особая	1	1
41	позиция это позиция со-искателя	1	1
42	позиции писателя как учителя	1	1
43	мир произведения особая личностно-актуальная	1	1
44	наиболее влиятельной в русской	1	1
