N	4gram	Propp_Isto_5	Psycholo
1	в то время как	1	5
2	с этой точки зрения	1	4
3	указывает на то что	1	3
4	не в том чтобы	1	2
5	никак не может быть	1	2
6	и тем не менее	1	1
7	т д и т	1	1
8	совершенно так же как	1	1
9	с одной стороны и	1	1
10	вопрос о том что	1	1
11	с другой стороны в	1	1
12	мы видели что в	1	1
13	д и т д	1	1
14	в том числе и	1	1
15	и т д и	1	1
16	и т д все	1	1
17	таким образом мы видим	1	1
18	но вместе с тем	3	1
19	состоит в том что	1	1
20	но так как в	1	1
21	точно так же как	1	1
22	так же как и	2	1
23	и т д то	1	1
