N	3gram	Propp_Morf_1	VrazhdaK
1	в связи с	8	3
2	с точки зрения	2	2
3	не может быть	9	2
4	в том что	3	2
5	в е годы	1	1
6	между прочим и	1	1
7	далеко не все	3	1
8	одним из основателей	1	1
9	это дает нам	1	1
10	до сих пор	1	1
11	в третий раз	1	1
12	в этом отношении	1	1
13	независимо от того	3	1
14	но это не	1	1
15	все же в	1	1
16	точно так же	1	1
17	с тех пор	1	1
18	может быть применено	1	1
19	может быть и	2	1
20	одно и то	1	1
21	о том как	1	1
22	встречается лишь один	1	1
23	в высшей степени	1	1
24	на первый взгляд	3	1
25	и то же	1	1
26	во всяком случае	2	1
27	от того как	1	1
28	на свое место	1	1
29	с другой стороны	4	1
30	связи с этим	4	1
31	тем не менее	4	1
32	с просьбой о	2	1
33	но об этом	1	1
34	в то время	3	1
35	о том что	1	1
36	лишь один раз	1	1
37	так же быть	1	1
38	на то что	2	1
39	говорить не будем	1	1
