N	2gram	Bakhtin_Pr_1	Retstnzi
1	не может	27	4
2	и в	38	3
3	если в	1	2
4	нуждаются в	1	1
5	на нее	1	1
6	то же	5	1
7	с другими	3	1
8	произведения но	2	1
9	от связи	1	1
10	анализа и	2	1
11	в ней	4	1
12	его от	1	1
13	может быть	26	1
14	и не	42	1
15	этой проблемы	1	1
16	в его	43	1
17	от общей	3	1
18	тех же	1	1
19	себе все	1	1
20	в лингвистике	1	1
21	подхода к	2	1
22	это направление	1	1
23	может и	4	1
24	связи с	2	1
25	конечно и	4	1
26	направление своей	1	1
27	не только	9	1
28	с точки	6	1
29	науку о	1	1
30	в каждом	2	1
31	не менее	4	1
32	для него	1	1
33	ни один	1	1
34	если бы	3	1
35	как художественная	1	1
36	тому что	1	1
37	методически не	3	1
38	и социальной	1	1
39	язык как	1	1
40	деятельности в	1	1
41	нет и	3	1
42	можно и	2	1
43	к тому	1	1
44	в особенности	2	1
45	несмотря на	3	1
46	и все	3	1
47	именно с	1	1
48	в то	4	1
49	бы в	1	1
50	художественного произведения	11	1
51	языка как	2	1
52	но и	9	1
53	точки зрения	8	1
54	и на	3	1
55	и должно	3	1
56	же время	3	1
57	художественного целого	1	1
58	а не	5	1
