N	2gram	Medvedev_F_2	Retstnzi
1	не может	14	4
2	и в	38	3
3	один из	2	2
4	если в	3	2
5	социального общения	4	2
6	общения и	2	2
7	методологического приема	2	1
8	и методологически	2	1
9	в особенности	4	1
10	смысл и	2	1
11	художественного целого	1	1
12	лучше всего	2	1
13	и не	20	1
14	можно и	3	1
15	тому что	2	1
16	не только	9	1
17	художественного произведения	6	1
18	связи с	13	1
19	литературного языка	3	1
20	к историческому	1	1
21	методов ее	1	1
22	точки зрения	8	1
23	конечно и	1	1
24	во второй	2	1
25	не оказать	1	1
26	языка как	11	1
27	но и	13	1
28	и должно	5	1
29	и заставляет	1	1
30	не менее	1	1
31	в системе	1	1
32	с другими	10	1
33	русской литературы	1	1
34	не из	1	1
35	в школе	2	1
36	по своим	1	1
37	теми или	1	1
38	в ней	6	1
39	становится особенно	1	1
40	с теми	2	1
41	в то	5	1
42	метода он	1	1
43	с точки	7	1
44	подхода к	2	1
45	и форму	1	1
46	и на	3	1
47	для него	7	1
48	в конкретном	1	1
49	на русской	1	1
50	и больше	1	1
51	влияния на	1	1
52	о литературе	3	1
53	литературного произведения	3	1
54	в языке	6	1
55	искусство как	3	1
56	истории русского	1	1
57	методы и	1	1
58	русской почве	1	1
59	оторвано от	1	1
60	увидеть в	1	1
61	к тому	4	1
62	фосслера и	1	1
63	художественной структуры	1	1
64	а не	6	1
65	его от	4	1
66	может быть	23	1
67	при анализе	2	1
68	несмотря на	1	1
69	русского литературного	2	1
70	формального метода	15	1
71	в его	10	1
72	он в	2	1
73	или иными	1	1
74	же время	5	1
75	школе фосслера	1	1
76	то же	6	1
77	и все	3	1
78	из этих	3	1
79	можно назвать	1	1
80	язык как	8	1
81	если бы	5	1
82	в каждом	1	1
83	бы в	5	1
