N	3gram	Medvedev_U_1	DiskursI
1	в том что	2	13
2	с одной стороны	1	9
3	то же время	3	4
4	не в том	1	3
5	не может быть	4	3
6	с другой стороны	3	3
7	в то же	3	3
8	то же самое	2	2
9	и не только	1	2
10	по крайней мере	2	2
11	большей или меньшей	1	2
12	а не только	1	2
13	в данном случае	1	2
14	не только в	1	2
15	более или менее	1	2
16	можно сказать что	1	2
17	эстетики словесного творчества	1	1
18	в этом случае	1	1
19	и в различных	1	1
20	лирических стихотворений и	1	1
21	в этом смысле	2	1
22	до сих пор	2	1
23	и в то	1	1
24	хотя бы и	2	1
25	сам по себе	1	1
26	в первую очередь	1	1
27	литературного жанра в	1	1
28	в противном случае	2	1
29	тем что он	1	1
30	она сводится к	1	1
31	в большей или	1	1
32	или меньшей степени	1	1
33	в этом отношении	2	1
34	в эстетический объект	1	1
35	в конечном счете	4	1
36	в их специфической	1	1
37	на то что	1	1
38	и прежде всего	1	1
39	тех или иных	2	1
40	может быть в	1	1
