N	3gram	Tiupa_Vved_1	Vladivir
1	в том что	3	10
2	тем не менее	3	9
3	о том что	4	8
4	не может быть	3	6
5	более или менее	2	5
6	и в этом	1	5
7	к тому же	4	5
8	содержит в себе	1	4
9	в настоящее время	1	3
10	в этом смысле	1	3
11	на первом плане	1	3
12	во всяком случае	1	3
13	с одной стороны	5	3
14	в то же	4	3
15	в отличие от	2	3
16	само по себе	1	3
17	как мы видели	2	3
18	свидетельствует о том	1	2
19	одной стороны и	1	2
20	в таком случае	1	2
21	в этом отношении	4	2
22	и в то	1	2
23	а с другой	2	2
24	в данном случае	6	2
25	в связи с	1	2
26	а не только	1	2
27	с другой стороны	1	2
28	то же время	3	2
29	и такого рода	1	2
30	на то что	1	2
31	однако и в	1	1
32	что иное как	1	1
33	а не к	1	1
34	в нашем сознании	1	1
35	это то что	1	1
36	как и для	1	1
37	в этом последнем	1	1
38	не только с	1	1
39	в котором он	1	1
40	за ее пределы	1	1
41	в том же	1	1
42	о том как	1	1
43	в этом случае	1	1
44	и если мы	1	1
45	она тем что	1	1
46	но в данном	1	1
47	можно было бы	2	1
48	одна из них	1	1
49	благодаря тому что	1	1
50	в основе своей	1	1
51	зависит не только	1	1
52	у него нет	1	1
53	отнюдь не является	1	1
54	и в жизни	2	1
55	в последние годы	1	1
56	не могло быть	1	1
57	как об этом	1	1
58	при всей своей	2	1
59	если бы мы	1	1
60	не только в	2	1
61	на этот раз	1	1
62	не столько самой	1	1
63	как будто бы	3	1
64	но и не	1	1
65	в противном случае	1	1
66	все же не	1	1
67	то что он	1	1
68	в результате чего	1	1
69	все то что	1	1
70	той или другой	1	1
71	начинается с того	1	1
72	мы не можем	1	1
73	сказать и о	1	1
74	никак не можем	1	1
75	собственно говоря и	1	1
76	в каждой из	1	1
77	той или иной	2	1
78	в этом рассуждении	1	1
79	именно то что	1	1
80	в том числе	1	1
81	не что иное	1	1
82	не только от	1	1
83	мы никак не	1	1
84	таком случае уже	1	1
85	и не могло	1	1
86	те же самые	1	1
87	то же самое	1	1
