N	3gram	Bakhtin_Pr_1	Tvorches
1	в романах достоевского	5	12
2	и т д	1	11
3	то же время	9	7
4	в то же	9	7
5	в романе достоевского	5	5
6	в творчестве достоевского	4	4
7	по отношению к	8	3
8	до сих пор	2	3
9	не может быть	4	3
10	у достоевского как	1	3
11	в первой части	1	2
12	в самом деле	2	2
13	и не может	2	2
14	и в то	2	2
15	б м энгельгардт	2	2
16	но у достоевского	1	2
17	на этот вопрос	1	2
18	в своих романах	1	2
19	в произведениях достоевского	3	2
20	по крайней мере	1	2
21	так же как	1	2
22	это прежде всего	1	2
23	все же не	2	2
24	во всяком случае	3	2
25	могут быть поняты	1	2
26	с другой стороны	3	2
27	так и в	1	2
28	и т п	3	2
29	о том что	1	2
30	в одном из	1	2
31	ивана карамазова и	3	2
32	в том что	6	2
33	то все же	1	1
34	в другом месте	1	1
35	мир достоевского не	1	1
36	приводит его к	1	1
37	и сам автор	1	1
38	хотя и не	1	1
39	мы уже говорили	1	1
40	записок из подполья	2	1
41	идеологический роман достоевского	1	1
42	дело в том	1	1
43	и лишена завершающего	1	1
44	у достоевского всегда	1	1
45	идея может быть	1	1
46	творчестве достоевского в	1	1
47	может быть назван	1	1
48	же как и	1	1
49	в нем и	1	1
50	рядом с ним	1	1
51	о герое записок	1	1
52	он ни был	2	1
53	сами по себе	3	1
54	не вошел в	1	1
55	м энгельгардт в	1	1
56	буквально нечего сказать	1	1
57	в его романах	1	1
58	лишь одна из	1	1
59	нужно сказать что	1	1
60	что в нем	1	1
61	можно было бы	2	1
62	точно так же	1	1
63	нечего сказать чего	1	1
64	работе идеологический роман	1	1
65	у ивана карамазова	1	1
66	нам буквально нечего	1	1
67	для достоевского как	1	1
68	себе самом как	1	1
69	и что в	1	1
70	только то что	2	1
71	подполья нам буквально	1	1
72	как будто бы	1	1
73	что он сам	1	1
74	но в то	5	1
75	тем что он	1	1
76	в противоречии с	1	1
77	герое записок из	1	1
78	обессилена и лишена	1	1
79	точка зрения извне	1	1
80	определение романа достоевского	2	1
81	в известном смысле	1	1
82	и в этом	5	1
83	зрения извне как	1	1
84	не могут быть	1	1
85	лишена завершающего слова	1	1
86	сказать чего он	1	1
87	в свою очередь	1	1
88	всего романа в	1	1
89	у достоевского мы	1	1
90	это не значит	3	1
91	извне как бы	1	1
92	в мире достоевского	4	1
93	чего он не	1	1
94	романе достоевского нет	1	1
95	при всей их	1	1
96	в целом ряде	2	1
97	он не знал	1	1
98	бы заранее обессилена	1	1
99	в построении образов	1	1
100	по себе не	1	1
101	и это не	3	1
102	в то время	1	1
103	того или иного	1	1
104	все же что	1	1
105	героиней была идея	1	1
106	это и есть	1	1
107	не может служить	1	1
108	другой стороны и	1	1
109	которые сами по	1	1
110	и никогда не	1	1
111	достоевского но эта	1	1
112	с самого начала	1	1
113	и превращается в	1	1
114	как бы заранее	1	1
115	его героиней была	1	1
116	заранее обессилена и	1	1
117	была для него	3	1
118	именно потому что	2	1
119	бы он ни	2	1
120	в конце своей	1	1
121	но это не	2	1
122	как и у	1	1
123	идея у достоевского	1	1
124	друг за другом	1	1
125	героя и его	3	1
126	творчестве достоевского но	1	1
127	противоречит тому что	1	1
128	в высшей степени	1	1
129	знал бы уже	1	1
130	из подполья нам	1	1
131	и если не	1	1
132	не знал бы	1	1
133	романа достоевского как	2	1
