N	3gram	Vinokur_St_1	FransuaR
1	то же время	4	9
2	в то же	4	9
3	в том числе	2	4
4	после того как	1	4
5	в конце концов	1	4
6	с точки зрения	8	3
7	за то что	3	3
8	но в то	2	3
9	так и в	4	3
10	в том что	17	3
11	дело в том	4	2
12	по отношению к	3	2
13	о том как	1	2
14	в этом отношении	7	2
15	то что в	2	2
16	том числе и	2	2
17	можно было бы	8	2
18	как и в	2	2
19	это прежде всего	2	2
20	что и у	1	2
21	того как он	1	2
22	в свое время	2	2
23	то что было	1	1
24	потому что он	1	1
25	вот это место	1	1
26	на самом деле	6	1
27	в том и	1	1
28	в том же	1	1
29	и по отношению	1	1
30	в той же	2	1
31	но и в	2	1
32	ведь это не	1	1
33	то что тот	1	1
34	что в нем	2	1
35	истории как и	1	1
36	на этот вопрос	1	1
37	так например в	4	1
38	и не в	1	1
39	точки зрения их	2	1
40	и так называемая	1	1
41	в это время	1	1
42	то обстоятельство что	2	1
43	в применении к	3	1
44	что в слове	1	1
45	содержит в себе	1	1
46	в данном случае	6	1
47	не только в	4	1
48	к каждой его	1	1
49	а также и	2	1
50	со всеми его	1	1
51	имеет ничего общего	2	1
52	и в отношении	1	1
53	и в этом	3	1
54	и то обстоятельство	1	1
55	о том что	11	1
56	и во всей	1	1
57	нет никаких оснований	1	1
58	притом не в	1	1
59	что все уже	1	1
60	и это не	1	1
61	проявляется в том	1	1
62	не трудно видеть	1	1
63	таким образом в	1	1
64	во всяком случае	6	1
65	ни для кого	1	1
66	ничего общего с	3	1
67	в одном из	1	1
68	как и во	1	1
69	и в самом	3	1
70	нужно сказать что	4	1
71	в первой книге	1	1
72	друг от друга	1	1
73	тем более что	2	1
74	в этом смысле	1	1
75	по этому поводу	2	1
76	так что в	1	1
77	и в том	2	1
78	не знает и	1	1
79	тем что в	2	1
80	свидетельствует о том	1	1
81	на той же	1	1
82	не имеет ничего	2	1
