N	3gram	Berdyaev_M_2	FransuaR
1	как и все	1	5
2	в конце концов	1	4
3	но и в	1	3
4	для того чтобы	4	3
5	это и есть	3	3
6	подобно тому как	2	3
7	с точки зрения	1	2
8	быть может все	1	2
9	в разных местах	1	2
10	о том что	2	2
11	большое место в	1	2
12	а следовательно и	1	1
13	друг за друга	2	1
14	что это не	2	1
15	находится в противоречии	1	1
16	никогда не видел	1	1
17	до сих пор	3	1
18	но он же	1	1
19	а также в	1	1
20	в чем не	2	1
21	в этом отношении	1	1
22	есть и в	1	1
23	он думает что	1	1
24	он остается в	1	1
25	на эту тему	1	1
26	в противоречии с	1	1
27	бога нет ничего	1	1
28	смысле этого слова	1	1
29	ни в чем	2	1
30	может быть и	2	1
31	и в нашем	1	1
32	по природе своей	1	1
33	и будущее в	1	1
34	превратить его в	1	1
35	земной жизни и	1	1
36	он хочет быть	1	1
37	не может быть	8	1
38	в нем нет	2	1
39	но это не	2	1
40	на самом деле	1	1
41	в том что	2	1
42	что и в	4	1
