N	3gram	Tiupa_Vved_1	Hudozhes
1	по отношению к	7	10
2	присутствия в мире	2	7
3	в отличие от	2	7
4	не сводится к	4	6
5	то же время	3	6
6	в то же	4	6
7	более или менее	2	5
8	с другой стороны	1	5
9	той или иной	2	5
10	в том что	3	5
11	состоит в том	2	4
12	так и не	1	4
13	и того же	1	3
14	не следует смешивать	1	3
15	всех без исключения	1	3
16	следует смешивать с	1	3
17	одного и того	1	3
18	по сути своей	1	3
19	в конечном счете	1	3
20	тем не менее	3	3
21	можно сказать что	1	3
22	в этом смысле	1	3
23	в этом мире	1	2
24	в той или	1	2
25	и не могло	1	2
26	мы имеем дело	3	2
27	как бы не	1	2
28	в таком случае	1	2
29	и в то	1	2
30	креативного и рецептивного	1	2
31	значении этого термина	1	2
32	в структуре текста	1	2
33	в искусстве слова	1	2
34	во всей его	1	2
35	в основе своей	1	2
36	в противном случае	1	2
37	войне и мире	2	2
38	до известной степени	1	2
39	как уже говорилось	1	2
40	в значительной степени	1	2
41	не могло быть	1	2
42	в рамках которого	1	2
43	с одной стороны	5	2
44	в равной степени	1	2
45	мастера и маргариты	2	2
46	а с другой	2	2
47	в свою очередь	4	2
48	в войне и	2	2
49	на наших глазах	1	2
50	мира представляет собой	1	2
51	том числе и	1	2
52	по сути дела	1	2
53	в том числе	1	2
54	и прежде всего	1	2
55	примет в осмысленном	1	1
56	читательского восприятия в	1	1
57	однако и в	1	1
58	по своей природе	2	1
59	кадра входит лишь	1	1
60	зрения читателя находится	1	1
61	состав такого кадра	1	1
62	только раскрывают содержание	1	1
63	что иное как	1	1
64	не все что	2	1
65	в е годы	1	1
66	остается неизвестен и	1	1
67	как это нередко	1	1
68	времени в поле	1	1
69	или пожелает представить	1	1
70	при сохранении его	1	1
71	в общеязыковом отношении	1	1
72	отделен от своей	1	1
73	менее насыщенный деталями	1	1
74	и рецептивного сознаний	1	1
75	каждый малый отрезок	1	1
76	на котором он	1	1
77	а не с	1	1
78	неизвестен и который	1	1
79	в кадры повествования	1	1
80	практике художественного письма	1	1
81	неизбежно принадлежит к	1	1
82	даже самая тривиальная	1	1
83	подобно тому как	2	1
84	в настоящее время	1	1
85	судьба выражает внеличную	1	1
86	к новой жизни	1	1
87	а не все	2	1
88	уже говорилось выше	1	1
89	в этом случае	1	1
90	войны и мира	3	1
91	в осмысленном и	1	1
92	и временных примет	1	1
93	существенное значение в	1	1
94	может или пожелает	1	1
95	не было и	1	1
96	не менее не	1	1
97	задаваемый читателю ракурс	1	1
98	писал в.ф асмус	1	1
99	раскрывают содержание судьбы	1	1
100	повествования а читателем	1	1
101	в зависимости от	1	1
102	и мире толстого	1	1
103	не входит в	1	1
104	восприятия в каждый	1	1
105	или менее насыщенный	1	1
106	вследствие того что	1	1
107	слияние пространственных и	1	1
108	тривиальная в общеязыковом	1	1
109	из того что	1	1
110	лишь поименованное в	1	1
111	вести речь о	1	1
112	пожелает представить себе	1	1
113	малый отрезок времени	1	1
114	действия и составом	1	1
115	заключает в себе	1	1
116	внеличную сторону индивида	1	1
117	деталями кадр внутреннего	1	1
118	знания убеждения мнения	2	1
119	том или ином	1	1
120	который всегда всему	1	1
121	начало и конец	2	1
122	что может или	1	1
123	повествователя рассказчика хроникера	1	1
124	по крайней мере	1	1
125	пределах кадрового единства	1	1
126	читателю ракурс видения	1	1
127	субъекта объекта и	1	1
128	кадры читательского восприятия	1	1
129	и конкретном целом	1	1
130	в кадры читательского	1	1
131	друга местом временем	1	1
132	известен только им	1	1
133	свету остается неизвестен	1	1
134	тогда как в	1	1
135	своего рода механизмом	1	1
136	едва ли не	2	1
137	осмысленном и конкретном	1	1
138	кадрового единства фразы	1	1
139	все что может	1	1
140	сторону индивида и	1	1
141	содержит в себе	1	1
142	индивида и его	1	1
143	читателя находится или	1	1
144	если говорить о	1	1
145	своей судьбы они	1	1
146	текста в целом	1	1
147	именно такого рода	1	1
148	но и внутренне	1	1
149	его поступки только	1	1
150	же время они	1	1
151	всегда всему свету	1	1
152	к своему герою	1	1
153	и его поступки	1	1
154	в той мере	2	1
155	только им двоим	1	1
156	и в пределах	1	1
157	в своем составе	1	1
158	все без исключения	1	1
159	картина мира которая	1	1
160	во втором случае	1	1
161	по большей части	3	1
162	не отделен от	1	1
163	в тексте а	1	1
164	что все люди	1	1
165	картина мира это	1	1
166	в евгении онегине	1	1
167	насыщенный деталями кадр	1	1
168	имеем дело с	2	1
169	при условии что	1	1
170	вводятся автором в	1	1
171	деталей в пределах	1	1
172	на второй план	1	1
173	такого кадра входит	1	1
174	от друга местом	1	1
175	пространственных и временных	1	1
176	нередко встречаются в	1	1
177	в том или	1	1
178	в связи с	1	1
179	входит лишь поименованное	1	1
180	полноту и неизбыточность	1	1
181	один отдельный кадр	1	1
182	папой и мамой	1	1
183	автором в кадры	1	1
184	как более или	1	1
185	во втором эпизоде	1	1
186	имеет место слияние	1	1
187	место слияние пространственных	1	1
188	поступки только раскрывают	1	1
189	как бы в	1	1
190	на этом пути	1	1
191	находится или движется	1	1
192	движется один отдельный	1	1
193	все то что	1	1
194	высказывания как целого	1	1
195	было и не	1	1
196	переносом в пространстве	1	1
197	судьбы они едины	1	1
198	фразы устанавливает задаваемый	1	1
199	объекта и адресата	1	1
200	жизни то есть	1	1
201	а в том	1	1
202	в частности в	2	1
203	однако все они	1	1
204	отрезок времени в	1	1
205	последовательно вводятся автором	1	1
206	обратим внимание на	1	1
207	случае мы имеем	1	1
208	например так и	1	1
209	который известен только	1	1
210	формах косвенной речи	1	1
211	с папой и	1	1
212	выражает внеличную сторону	1	1
213	кадры повествования а	1	1
214	самая тривиальная в	1	1
215	прежде всего к	1	1
216	о том что	4	1
217	можно сказать не	1	1
218	то есть в	1	1
219	от своей судьбы	1	1
220	в пределах кадрового	1	1
221	посещения страны мертвых	1	1
222	всему свету остается	1	1
223	и тем самым	2	1
224	поименованное в тексте	2	1
225	и в самом	1	1
226	или движется один	1	1
227	устанавливает задаваемый читателю	1	1
228	собственно говоря и	1	1
229	во времени и	1	1
230	всей его полноте	1	1
231	имеет в своем	1	1
232	поле зрения читателя	1	1
233	речь идет о	1	1
234	тексте а не	1	1
235	не сводятся к	1	1
236	в ходе чтения	1	1
237	мире и жизни	1	1
238	мере в какой	2	1
239	друг от друга	1	1
