N	2gram	Losev_Vlad_3	Dialekti
1	не есть	10	54
2	и не	25	27
3	а не	8	26
4	точки зрения	13	25
5	и в	40	24
6	значит что	6	24
7	это значит	6	24
8	есть нечто	1	23
9	не только	25	23
10	по себе	6	20
11	не может	14	19
12	не просто	10	18
13	ничего не	5	17
14	и есть	1	16
15	и что	8	15
16	что все	7	14
17	с точки	6	14
18	то что	28	14
19	в таком	3	14
20	таким образом	11	13
21	что он	5	13
22	вовсе не	13	13
23	может быть	8	13
24	и даже	6	13
25	что это	9	12
26	есть только	9	12
27	того что	7	12
28	есть и	4	12
29	но тогда	2	11
30	не менее	9	11
31	не имеет	4	11
32	что же	9	11
33	таком случае	2	10
34	в сущности	2	10
35	отнюдь не	5	10
36	тем не	10	10
37	только не	1	10
38	история есть	1	10
39	законов природы	1	10
40	она есть	1	10
41	не существует	2	10
42	есть не	2	9
43	то это	10	9
44	что она	2	9
45	ни в	10	9
46	но и	18	9
47	нет ничего	2	9
48	в этом	16	8
49	и как	7	8
50	это есть	10	8
51	учение о	24	8
52	отличается от	3	8
53	так что	14	8
54	в виде	13	8
55	прежде всего	10	8
56	что мы	2	8
57	том что	18	8
58	это и	1	7
59	догматического богословия	1	7
60	в самом	4	7
61	что мир	1	7
62	как и	7	7
63	никогда не	11	7
64	как раз	10	7
65	потому что	11	7
66	догматическое богословие	1	7
67	ясно что	1	7
68	в виду	3	7
69	другими словами	1	7
70	только на	5	7
71	но что	2	7
72	даже и	12	7
73	и нет	1	7
74	что в	17	7
75	самом деле	1	6
76	должна быть	2	6
77	что иное	1	6
78	я не	3	6
79	иное как	1	6
80	то же	4	6
81	об этом	6	6
82	и с	9	6
83	возможно только	1	6
84	есть именно	1	6
85	оно не	3	6
86	утверждать что	1	6
87	больше ничего	1	6
88	если бы	3	6
89	что и	7	6
90	и только	3	6
91	о том	11	6
92	так как	7	6
93	даже не	3	6
94	не на	2	6
95	и все	4	6
96	все это	1	6
97	кроме того	6	6
98	но если	5	6
99	не что	1	6
100	есть то	1	6
101	сам по	2	5
102	вопрос о	4	5
103	что его	2	5
104	точка зрения	1	5
105	хотя и	7	5
106	и к	2	5
107	само по	3	5
108	он не	8	5
109	одно и	2	5
110	так и	6	5
111	было бы	4	5
112	в них	1	5
113	мы не	2	5
114	в том	18	5
115	можно ли	2	5
116	в то	7	5
117	и притом	3	5
118	и его	10	5
119	всегда есть	3	5
120	только в	13	5
121	уже не	9	5
122	от всякого	1	5
123	что для	1	5
124	как это	4	5
125	с этой	2	5
126	но это	6	5
127	или не	3	5
128	только как	1	5
129	жизни и	1	5
130	как на	3	5
131	и то	9	4
132	и больше	1	4
133	в возможности	1	4
134	время как	2	4
135	мы и	2	4
136	первый план	2	4
137	в чем	3	4
138	и мира	1	4
139	нет и	1	4
140	есть просто	2	4
141	сама по	1	4
142	во что	2	4
143	в истории	5	4
144	конечно не	1	4
145	собственно говоря	3	4
146	и никакого	1	4
147	это не	3	4
148	истории и	1	4
149	двух ипостасей	1	4
150	на первый	2	4
151	если нет	3	4
152	знание и	2	4
153	тому что	4	4
154	что есть	3	4
155	но только	2	4
156	от того	4	4
157	не могут	2	4
158	и это	6	4
159	нет никакой	1	4
160	то время	4	4
161	можно только	2	4
162	жизнь и	3	4
163	к тому	7	4
164	все вещи	1	4
165	с другой	5	4
166	веры и	1	4
167	сущность и	1	4
168	для него	8	4
169	если оно	4	4
170	что дух	1	4
171	это будет	1	4
172	или иной	1	4
173	говорит о	4	4
174	у нас	5	4
175	так же	8	4
176	то следовательно	4	4
177	при всем	2	4
178	хотя бы	6	4
179	только что	2	4
180	сказать что	12	4
181	себя как	1	3
182	которых состоит	1	3
183	из самых	1	3
184	мы уже	5	3
185	и тут	3	3
186	но даже	4	3
187	и сводится	1	3
188	и на	6	3
189	как таковая	1	3
190	при условии	2	3
191	за пределы	3	3
192	с этим	2	3
193	в своем	8	3
194	все же	4	3
195	перед нами	3	3
196	как таковое	1	3
197	абсолютное есть	4	3
198	все эти	5	3
199	но его	1	3
200	на то	4	3
201	в нем	3	3
202	есть таким	1	3
203	в силу	2	3
204	мифологии и	1	3
205	не будет	6	3
206	бытие и	3	3
207	должно быть	5	3
208	не больше	3	3
209	как все	1	3
210	и без	1	3
211	мир и	1	3
212	не в	3	3
213	знания но	1	3
214	того кто	1	3
215	ровно никакого	1	3
216	раз и	8	3
217	из которых	1	3
218	тем самым	2	3
219	она не	2	3
220	одна из	1	3
221	в основе	1	3
222	но она	1	3
223	никакого отношения	5	3
224	на себя	2	3
225	же время	2	3
226	ровно ничего	2	3
227	во всем	6	3
228	должны быть	1	3
229	можно и	1	3
230	и о	4	3
231	как таковую	1	3
232	утверждает что	4	3
233	это было	3	3
234	к нему	3	3
235	не надо	1	3
236	быть и	2	3
237	это же	2	3
238	с одной	3	3
239	есть ни	1	3
240	сам собою	2	3
241	то и	2	3
242	при помощи	4	3
243	из них	2	3
244	мы знаем	3	3
245	каком смысле	1	3
246	друг друга	2	3
247	не говорит	5	3
248	тем что	5	3
249	вещи взятые	1	3
250	для того	2	3
251	в каком	4	3
252	и прежде	1	3
253	то значит	1	3
254	не было	5	3
255	ни на	2	3
256	одной стороны	3	3
257	а если	2	3
258	как бы	3	3
259	сравнении с	2	3
260	если не	6	3
261	и от	6	3
262	в христианстве	1	3
263	мира и	1	3
264	и ни	2	3
265	личность есть	1	3
266	ни к	2	3
267	о примате	1	3
268	в сравнении	2	3
269	только о	3	3
270	я вижу	2	3
271	все что	1	3
272	я и	1	2
273	также и	17	2
274	например в	1	2
275	же как	3	2
276	от самой	1	2
277	в частности	1	2
278	только потому	1	2
279	и позитивизм	1	2
280	в чисто	1	2
281	странное и	1	2
282	не имеют	2	2
283	этого он	1	2
284	его не	1	2
285	что если	4	2
286	как особого	1	2
287	оно есть	6	2
288	которое не	1	2
289	и самой	1	2
290	живое существо	1	2
291	и он	1	2
292	логика и	1	2
293	в ней	5	2
294	и говорить	1	2
295	еще не	4	2
296	всего этого	1	2
297	бы то	3	2
298	с его	2	2
299	живых существ	1	2
300	но не	4	2
301	не видно	1	2
302	его на	1	2
303	следовательно оно	1	2
304	первых двух	1	2
305	исторический процесс	1	2
306	и где	1	2
307	сознания в	1	2
308	значит есть	1	2
309	но в	4	2
310	то в	6	2
311	из этих	3	2
312	на стадии	1	2
313	думать что	1	2
314	просто о	1	2
315	в себе	9	2
316	тому же	5	2
317	но на	2	2
318	и если	7	2
319	при этом	3	2
320	раз навсегда	3	2
321	перестает быть	1	2
322	и вот	1	2
323	в понятии	1	2
324	может существовать	1	2
325	и по	2	2
