N	2gram	Savitsky_E_1	Marksizm
1	точки зрения	23	34
2	может быть	6	26
3	и не	14	26
4	не может	9	24
5	с точки	17	20
6	и в	37	19
7	и его	1	19
8	таким образом	2	17
9	в этом	12	16
10	как бы	6	15
11	в процессе	4	14
12	как мы	5	13
13	прежде всего	9	13
14	как и	7	12
15	если мы	1	11
16	так и	10	11
17	связи с	1	11
18	и для	3	11
19	в нем	1	10
20	ни было	4	10
21	в самом	4	10
22	лишь в	1	9
23	только в	9	9
24	для него	1	9
25	в результате	3	9
26	бы то	4	8
27	все же	1	8
28	не только	18	8
29	при этом	1	8
30	то ни	4	8
31	но и	14	8
32	то что	6	8
33	во всех	6	7
34	в ее	8	7
35	точка зрения	2	7
36	но в	14	7
37	психологии и	1	7
38	все эти	1	7
39	и те	1	7
40	то же	15	7
41	а не	2	7
42	в связи	1	7
43	так же	9	7
44	в направлении	4	7
45	отнюдь не	9	6
46	кроме того	1	6
47	мы не	4	6
48	и того	2	6
49	в пределах	25	6
50	в его	2	6
51	в том	11	6
52	в смысле	9	6
53	другой стороны	2	6
54	того же	3	6
55	отличие от	1	5
56	конечно не	1	5
57	по преимуществу	2	5
58	входит в	1	5
59	рядом с	1	5
60	одного и	1	5
61	в отличие	1	5
62	не в	5	5
63	того чтобы	6	5
64	те же	1	5
65	и все	2	5
66	этот вопрос	2	5
67	в начале	1	5
68	вовсе не	6	5
69	с другой	7	5
70	за пределы	1	5
71	именно в	4	5
72	настоящего времени	1	5
73	мы знаем	1	5
74	и потому	5	5
75	до настоящего	1	5
76	хотя бы	15	5
77	во всяком	3	5
78	оно может	1	4
79	вопрос о	4	4
80	и на	6	4
81	как в	3	4
82	и тот	1	4
83	не будет	3	4
84	было бы	8	4
85	не менее	1	4
86	по себе	4	4
87	в отношении	32	4
88	в идеологическом	2	4
89	не является	3	4
90	в ней	4	4
91	в рамки	1	4
92	от того	1	4
93	для того	6	4
94	далеко не	2	4
95	как же	2	4
96	с этим	2	4
97	в данном	3	4
98	что же	2	4
99	дело идет	2	4
100	тот же	1	4
101	а в	2	4
102	отношении к	15	4
103	жизни в	3	4
104	между ними	2	4
105	и эта	2	4
106	сказать что	4	4
107	что в	21	4
108	вопрос мы	1	3
109	в большинстве	2	3
110	по отношению	1	3
111	один и	1	3
112	в истории	2	3
113	целый ряд	2	3
114	и как	2	3
115	и к	3	3
116	этот процесс	2	3
117	в корне	1	3
118	но все	1	3
119	различие между	1	3
120	но именно	2	3
121	он не	2	3
122	том что	6	3
123	эта последняя	1	3
124	в своей	8	3
125	и ее	1	3
126	в котором	2	3
127	более того	1	3
128	мы говорили	1	3
129	место в	3	3
130	является в	1	3
131	войти в	1	3
132	в то	16	3
133	для каждого	1	3
134	для всего	1	3
135	не имеет	4	3
136	на язык	2	3
137	действительности но	1	3
138	же время	14	3
139	следует что	1	3
140	этом отношении	3	3
141	в области	11	3
142	не могут	2	3
143	должны быть	1	3
144	не есть	2	3
145	и это	1	3
146	и ту	2	3
147	сводится к	1	3
148	одного из	1	3
149	можно сказать	4	3
150	с другими	2	3
151	каких бы	2	3
152	и следовательно	1	3
153	того что	7	3
154	быть и	1	3
155	одной из	5	3
156	в какой	2	3
157	между тем	8	3
158	не дает	3	3
159	большинстве случаев	3	3
160	из них	3	3
161	или иной	4	3
162	в каком	4	3
163	не было	1	3
164	на этот	2	3
165	смысле этого	1	3
166	слова и	1	3
167	и от	3	3
168	нет ничего	1	3
169	она может	1	3
170	мы должны	2	3
171	вполне понятно	1	3
172	ту же	1	2
173	же как	5	2
174	связана с	1	2
175	или к	1	2
176	той же	1	2
177	свою очередь	2	2
178	быть в	1	2
179	то мы	1	2
180	и всего	1	2
181	постановка проблемы	1	2
182	что во	1	2
183	в одной	1	2
184	в своем	14	2
185	все остальные	1	2
186	однако не	1	2
187	его к	1	2
188	от этого	5	2
189	то в	4	2
190	бы и	3	2
191	в нашем	1	2
192	в себе	9	2
193	как оно	2	2
194	должна быть	2	2
195	пределах одного	1	2
196	не как	1	2
197	можно было	3	2
198	от нее	1	2
199	что все	2	2
200	и с	2	2
201	бы в	2	2
202	в данной	3	2
203	и иных	1	2
204	этом смысле	3	2
205	ведь в	1	2
206	для них	2	2
207	каждая область	1	2
208	жизни но	1	2
209	должно быть	1	2
210	имеет место	2	2
211	в процессах	2	2
212	эти области	6	2
213	и более	2	2
214	тому что	1	2
215	в основе	1	2
216	одна из	1	2
217	иными словами	4	2
218	связь и	1	2
219	в сознании	1	2
220	у нас	1	2
221	могут быть	2	2
222	во все	3	2
223	числе и	1	2
224	к тому	8	2
225	она не	2	2
226	с ее	1	2
227	и та	2	2
228	имеет значение	1	2
229	язык и	1	2
230	что само	1	2
231	культуры и	2	2
232	как с	1	2
233	никогда не	3	2
234	то как	1	2
235	мог бы	2	2
236	между собой	2	2
237	если бы	2	2
238	и вообще	1	2
239	и даже	6	2
240	о том	3	2
241	и во	2	2
242	во втором	2	2
243	что и	3	2
244	и только	3	2
245	в двух	1	2
246	в качестве	14	2
247	и других	2	2
248	и их	1	2
249	всяком случае	3	2
250	так как	7	2
251	мы можем	3	2
252	тем что	3	2
253	или иначе	1	2
254	и прежде	3	2
255	что не	1	2
256	своим идеологическим	1	2
257	зависит от	1	2
258	там где	3	2
259	в частности	5	2
260	независимо от	4	2
261	для всех	1	2
262	и этот	2	2
263	действительно ли	1	2
264	или хотя	2	2
265	этого слова	1	2
266	с этой	6	2
