N	3gram	Savitsky_E_1	Narrotol
1	в данном случае	2	8
2	не только в	4	6
3	в том что	6	5
4	к тому же	1	5
5	в соответствии с	1	4
6	то же время	14	4
7	и тем самым	1	4
8	той или иной	4	4
9	в то же	15	4
10	не может быть	2	4
11	в этом отношении	3	3
12	по большей части	1	3
13	для того чтобы	5	3
14	речь идет о	1	3
15	в отличие от	1	2
16	но и в	1	2
17	заключает в себе	3	2
18	не сводится к	1	2
19	в связи с	1	2
20	дело в том	1	2
21	во всяком случае	3	2
22	в свою очередь	2	2
23	можно сказать что	3	2
24	на то что	2	2
25	в известном смысле	3	2
26	и того же	1	1
27	более или менее	1	1
28	большей или меньшей	1	1
29	в том числе	1	1
30	что для него	1	1
31	один и тот	1	1
32	же как и	3	1
33	с другой стороны	2	1
34	с точки зрения	16	1
35	и не только	1	1
36	том случае если	1	1
37	и в то	8	1
38	и со стороны	2	1
39	бы то ни	4	1
40	из того что	2	1
41	его жизни но	1	1
42	качестве одного из	1	1
43	не исключено что	1	1
44	в том случае	1	1
45	можно ли признать	1	1
46	может быть и	1	1
47	точки зрения развития	1	1
48	настоящего и будущего	1	1
49	то ни было	4	1
50	в ряде случаев	1	1
51	с одной стороны	8	1
52	и тот же	1	1
53	в значительной степени	1	1
54	так и со	1	1
55	в частности в	2	1
56	друг с другом	3	1
57	в большей или	1	1
58	в качестве одного	1	1
59	в той или	3	1
60	и та же	1	1
61	одна и та	1	1
62	в стороне от	1	1
63	связи с этим	1	1
64	качестве одной из	1	1
65	действительности как и	1	1
66	мы не можем	1	1
67	само по себе	4	1
68	в качестве одной	1	1
69	том числе и	1	1
70	одного и того	1	1
71	друг от друга	2	1
72	к тому что	1	1
73	или иной степени	1	1
74	на этот раз	1	1
75	и т д	1	1
76	как мы видели	2	1
