N	3gram	Berdyaev_M_2	Problema
1	о том что	2	9
2	с точки зрения	1	8
3	в том что	2	8
4	в конце концов	1	6
5	что иное как	3	3
6	после того как	2	3
7	не что иное	3	3
8	только тогда когда	1	3
9	потому что он	2	2
10	по отношению к	2	2
11	также и в	2	2
12	том что он	1	2
13	до сих пор	3	2
14	но и в	1	2
15	не может быть	8	2
16	и никогда не	2	2
17	на то что	1	2
18	для того чтобы	4	2
19	он видит в	1	2
20	в чем не	2	1
21	того что существует	1	1
22	он хотел бы	1	1
23	на самом деле	1	1
24	в нем и	1	1
25	сам по себе	1	1
26	между тем как	1	1
27	в этом отношении	1	1
28	но это не	2	1
29	у него нет	3	1
30	на эту тему	1	1
31	не потому что	1	1
32	и в этом	3	1
33	друг на друга	1	1
34	что у него	1	1
35	мере в какой	1	1
36	в самом себе	1	1
37	хотя и в	1	1
38	не то чтобы	1	1
39	всякий человек и	1	1
40	ни в чем	2	1
41	от того что	3	1
42	это и есть	3	1
43	не в силах	1	1
44	у него есть	1	1
45	и он сам	1	1
46	хотя бы в	1	1
47	той или иной	1	1
48	от зла и	1	1
49	с ума и	2	1
50	что не все	1	1
51	смысле слова он	1	1
52	сама по себе	1	1
