N	2gram	Medvedev_B_1	Morfolog
1	таким образом	1	20
2	и в	1	13
3	так и	1	9
4	прежде всего	1	9
5	а не	1	9
6	и не	2	9
7	с другой	1	8
8	вопрос о	1	7
9	все же	1	7
10	не все	1	5
11	далеко не	1	5
12	не только	1	4
13	об этом	1	4
14	было бы	1	4
15	другой стороны	1	4
16	что в	1	4
17	на самом	1	3
18	в пределах	1	3
19	и ее	1	3
20	по мотивам	1	3
21	кроме того	1	3
22	по отдельным	1	2
23	по этим	1	2
24	можно было	2	2
25	то как	1	2
26	и более	1	2
27	одной из	1	2
28	не вполне	1	1
29	не то	2	1
30	его не	1	1
31	остановиться на	1	1
32	все это	2	1
33	точно и	1	1
34	больше чем	2	1
35	у нас	3	1
36	выпадает из	1	1
37	всего в	1	1
38	же не	1	1
39	к ней	1	1
40	на которой	1	1
41	говорить о	1	1
42	всяком случае	1	1
43	в данном	1	1
44	как будто	1	1
45	между ними	1	1
46	нет но	1	1
47	во всяком	1	1
