N	2gram	Nazirov_Tv_1	VrazhdaK
1	в году	7	18
2	в бесах	3	10
3	не только	7	9
4	и достоевского	1	9
5	достоевского с	8	9
6	в этом	6	8
7	и в	21	8
8	достоевский в	3	8
9	и что	1	8
10	достоевский и	3	8
11	достоевского в	12	7
12	достоевского и	3	7
13	но и	3	7
14	и все	6	7
15	то что	8	7
16	что в	12	7
17	все же	5	6
18	но в	7	6
19	в нем	3	6
20	как и	12	6
21	в котором	6	6
22	и с	3	6
23	о нем	1	6
24	и даже	3	6
25	в романе	10	6
26	то же	13	5
27	об этом	2	5
28	в то	15	5
29	бедных людей	1	5
30	же время	12	5
31	между тем	1	5
32	у него	7	5
33	не было	1	5
34	в россии	3	5
35	и не	7	5
36	в ней	2	4
37	что он	6	4
38	в истории	1	4
39	целый ряд	1	4
40	в россию	2	4
41	что достоевский	7	4
42	при этом	7	4
43	это не	4	4
44	все это	10	4
45	ставрогина в	1	4
46	в виду	2	4
47	во многом	7	4
48	с ним	3	4
49	о том	6	4
50	повести тургенева	1	4
51	у достоевского	28	4
52	уже в	3	4
53	может быть	5	4
54	достоевского не	6	4
55	подпольного человека	11	4
56	он считал	1	4
57	как бы	17	4
58	в своих	5	4
59	так же	3	4
60	одним из	4	3
61	из подполья	13	3
62	я не	3	3
63	он был	1	3
64	в чем	2	3
65	с его	11	3
66	к творчеству	1	3
67	в своем	4	3
68	и как	4	3
69	в этот	1	3
70	его в	1	3
71	он не	8	3
72	далеко не	3	3
73	и уже	1	3
74	том что	11	3
75	в черновиках	2	3
76	но он	2	3
77	сам достоевский	2	3
78	в русской	5	3
79	достоевский не	4	3
80	и его	6	3
81	связи с	1	3
82	по нашему	5	3
83	человека в	6	3
84	повести достоевского	1	3
85	и о	1	3
86	достоевского к	3	3
87	что у	1	3
88	достоевского о	1	3
89	русской литературе	4	3
90	страшной мести	1	3
91	в его	13	3
92	в том	7	3
93	молодого писателя	1	3
94	давно уже	1	3
95	апреля года	1	3
96	и у	2	3
97	в конце	1	3
98	тем что	1	3
99	достоевского на	1	3
100	в связи	1	3
101	эти слова	2	3
102	наряду с	1	3
103	считал что	1	3
104	имел в	1	3
105	т е	1	3
106	ставрогина и	1	3
107	к этому	2	3
108	в русских	1	2
109	же как	1	2
110	неточку незванову	2	2
111	ю а	1	2
112	и он	2	2
113	он сам	6	2
114	столь же	1	2
115	из повести	3	2
116	роман достоевского	1	2
117	лермонтова и	1	2
118	в эти	1	2
119	тогда как	1	2
120	и достоевский	2	2
121	человека с	2	2
122	отнюдь не	5	2
123	в известном	1	2
124	при создании	1	2
125	в этой	5	2
126	в себе	2	2
127	великого грешника	1	2
128	о которой	1	2
129	в нашей	2	2
130	таким образом	5	2
131	в мире	4	2
132	достоевского он	2	2
133	в глазах	1	2
134	в них	1	2
135	а с	1	2
136	создании образа	1	2
137	лишних людей	1	2
138	меня но	1	2
139	сказал он	1	2
140	мы знаем	1	2
141	не мог	2	2
142	на первый	1	2
143	во время	1	2
144	в своей	4	2
145	и ее	1	2
146	место в	3	2
147	году достоевский	2	2
148	не менее	6	2
149	том же	1	2
150	в повести	5	2
151	одна из	2	2
152	никогда не	3	2
153	м м	11	2
154	в виноградов	1	2
155	в роман	1	2
156	и далее	2	2
157	в момент	4	2
158	к себе	1	2
159	время он	2	2
160	и это	1	2
