N	3gram	Tiupa_Disk_2	RusskieA
1	в том что	6	15
2	состоит в том	2	8
3	том что в	1	6
4	в этом случае	2	5
5	о том что	3	4
6	с точки зрения	2	3
7	тем не менее	1	3
8	ни одно из	2	2
9	но это не	1	2
10	в это время	1	2
11	в равной степени	1	2
12	сближает его с	1	2
13	в большинстве случаев	1	2
14	из значений слова	1	1
15	время от времени	1	1
16	одном и том	1	1
17	и того же	2	1
18	представляет собой как	1	1
19	по отношению к	4	1
20	подобно тому как	2	1
21	одно из значений	1	1
22	можно говорить о	1	1
23	то что и	1	1
24	в этом отношении	4	1
25	при этом не	1	1
26	но она имела	1	1
27	в своем значении	1	1
28	и могут быть	1	1
29	об этом так	1	1
30	в своего рода	1	1
31	и том же	1	1
32	не может так	1	1
33	как будто бы	1	1
34	в отличие от	12	1
35	приходит к выводу	1	1
36	и как бы	2	1
37	во всяком случае	1	1
38	в одном из	1	1
39	встречается и в	1	1
40	по нескольку раз	1	1
41	можно сказать что	1	1
42	одного и того	2	1
43	быть и не	1	1
44	как и в	5	1
45	в данном случае	6	1
