N	3gram	Losev_Prob_3	Sovremen
1	мы не можем	1	6
2	с точки зрения	2	5
3	не может быть	5	4
4	тем не менее	10	2
5	во всяком случае	6	2
6	в отличие от	2	2
7	может быть и	3	2
8	мы можем назвать	1	2
9	в настоящее время	2	2
10	то же самое	7	2
11	собою ясно что	1	1
12	как мы это	1	1
13	и может быть	1	1
14	быть и речи	1	1
15	что иное как	4	1
16	и в этом	6	1
17	и не было	1	1
18	и есть то	1	1
19	по крайней мере	5	1
20	этого и не	1	1
21	но это уже	1	1
22	всяком случае не	1	1
23	в одном случае	1	1
24	всяком случае такого	1	1
25	возникновения и развития	1	1
26	в связи с	7	1
27	ровно ничего не	2	1
28	состоит из одной	1	1
29	для чего же	1	1
30	дело в том	3	1
31	равно как и	1	1
32	на самом деле	2	1
33	как и во	1	1
34	когда мы говорим	3	1
35	так же как	1	1
36	в этом случае	5	1
37	не было бы	3	1
38	и все же	1	1
39	и ни в	2	1
40	до сих пор	2	1
41	сами по себе	6	1
42	есть не что	4	1
43	бы то ни	4	1
44	а может быть	1	1
45	то он уже	1	1
46	это значит что	2	1
47	прежде всего мы	1	1
48	но отнюдь не	1	1
49	ни о каком	2	1
50	можно было бы	3	1
51	в самом деле	1	1
52	той или иной	8	1
53	но если мы	1	1
54	мы говорим о	2	1
55	в то же	4	1
56	когда мы ее	1	1
57	и могут быть	1	1
58	не что иное	4	1
59	в том что	9	1
60	в данном случае	7	1
61	общего не имеет	1	1
62	на этот вопрос	1	1
63	может быть в	1	1
64	то ни было	3	1
65	само собою ясно	1	1
66	с одной стороны	1	1
67	ничего общего не	1	1
68	на этот раз	3	1
69	тот факт что	1	1
