N	2gram	Medvedev_V_1	Problema
1	и в	26	30
2	в своей	4	22
3	то есть	1	21
4	не только	25	18
5	то что	6	18
6	в этом	26	17
7	том что	8	17
8	в стихотворении	1	14
9	и даже	2	14
10	таким образом	31	13
11	но и	10	13
12	потому что	1	13
13	также и	2	12
14	о том	10	12
15	в его	14	12
16	а именно	1	12
17	в том	15	12
18	и не	19	12
19	в своем	8	11
20	у него	6	11
21	в этой	4	10
22	в виде	1	10
23	для нас	1	10
24	точки зрения	3	10
25	все же	5	9
26	но в	2	9
27	который в	1	9
28	только в	7	9
29	и все	1	9
30	сказать что	5	9
31	хотя и	2	8
32	художественного творчества	18	8
33	никак не	1	8
34	в конце	3	8
35	вовсе не	3	8
36	но не	2	7
37	как и	7	7
38	не в	6	7
39	никогда не	4	7
40	связи с	4	7
41	у нас	2	7
42	здесь не	1	7
43	в дальнейшем	1	7
44	так и	5	7
45	что он	4	7
46	до нас	2	7
47	может быть	22	7
48	говорит о	7	7
49	в связи	3	7
50	подобного рода	1	7
51	в результате	5	7
52	вместе с	7	7
53	и как	3	6
54	в нем	6	6
55	при помощи	3	6
56	его в	3	6
57	несмотря на	1	6
58	и его	6	6
59	можно сказать	4	6
60	и что	1	6
61	что и	3	6
62	уже не	1	6
63	с другой	11	6
64	прежде всего	13	6
65	как бы	5	6
66	и для	2	6
67	конце концов	2	6
68	а в	3	6
69	другой стороны	8	6
70	и то	1	5
71	в году	6	5
72	в которой	2	5
73	за это	1	5
74	в силу	11	5
75	с тем	3	5
76	он и	2	5
77	еще в	1	5
78	но он	1	5
79	что этот	1	5
80	не менее	2	5
81	того как	1	5
82	что у	2	5
83	художественное творчество	6	5
84	и у	2	5
85	и их	3	5
86	а не	7	5
87	не может	17	5
88	так же	3	5
89	о создании	1	5
90	как раз	3	5
91	будто бы	2	5
92	в самом	4	5
93	что в	10	5
94	человека и	3	4
95	и он	2	4
96	отнюдь не	3	4
97	и к	3	4
98	в себе	6	4
99	же не	1	4
100	об этом	9	4
101	было бы	7	4
102	ни в	1	4
103	по крайней	2	4
104	в то	6	4
105	как о	2	4
106	тогда когда	2	4
107	но даже	3	4
108	и сам	1	4
109	крайней мере	2	4
110	или в	3	4
111	в качестве	11	4
112	даже и	3	4
113	далеко не	2	4
114	еще и	2	4
115	если не	1	4
116	в частности	11	4
117	новое время	1	3
118	смысле слова	2	3
119	время как	1	3
120	в виду	4	3
121	в ней	2	3
122	еще не	2	3
123	он сам	2	3
124	что его	2	3
125	в ее	4	3
126	только тогда	1	3
127	что они	3	3
128	в противоположность	3	3
129	он в	1	3
130	бы не	2	3
131	с одной	2	3
132	он не	2	3
133	в другом	2	3
134	знает что	1	3
135	этом смысле	1	3
136	в новое	1	3
137	не всегда	1	3
138	нет никакого	1	3
139	но только	1	3
140	в самой	1	3
141	не столь	3	3
142	как будто	1	3
143	в духе	1	3
144	и которая	1	3
145	то время	1	3
146	жизнь и	1	3
147	с ним	1	3
148	внимание на	1	3
149	после того	1	3
150	а также	1	3
151	же в	6	3
152	того что	3	3
153	в начале	1	3
154	в одном	4	3
155	для них	1	3
156	для того	3	3
157	именно в	2	3
158	одной стороны	2	3
159	и никогда	1	3
160	жизнь в	1	3
161	мира в	1	3
162	о котором	1	3
163	еще более	1	3
164	и другие	1	3
165	перейти к	1	3
166	таком случае	1	2
167	самом деле	1	2
168	то же	10	2
169	по его	2	2
170	мы имеем	3	2
171	еще до	1	2
172	равно как	4	2
173	это время	1	2
174	проявляется в	1	2
175	в таком	1	2
176	все эти	6	2
177	в чем	2	2
178	у н	1	2
179	значение и	1	2
180	не все	1	2
181	по отношению	7	2
182	отношение к	1	2
183	он пишет	7	2
184	и речи	1	2
185	на то	1	2
186	в м	1	2
187	как в	1	2
188	человека вообще	1	2
189	кроме того	1	2
190	когда он	3	2
191	в нашей	4	2
192	бы с	1	2
193	если он	1	2
194	на его	1	2
195	всем своем	1	2
196	по словам	8	2
197	и дальше	2	2
198	его не	3	2
199	это не	7	2
200	не чем	1	2
201	в них	4	2
202	результате чего	2	2
203	о своем	2	2
204	и без	1	2
205	в котором	3	2
206	иным как	1	2
207	в таких	1	2
208	в науке	2	2
209	на него	1	2
210	того чтобы	3	2
211	при всем	3	2
212	месте в	1	2
213	тем что	1	2
214	в области	2	2
215	если только	1	2
216	не могут	7	2
217	ли не	2	2
218	к тому	4	2
219	как мы	1	2
220	значительной мере	3	2
221	данном случае	1	2
222	можно было	2	2
223	он был	1	2
224	по себе	2	2
225	в глаза	1	2
226	и просто	2	2
227	в значительной	3	2
228	между тем	5	2
229	от них	2	2
230	вслед за	2	2
231	в какой	1	2
232	по этому	9	2
233	этому поводу	7	2
234	есть в	1	2
235	конечно не	1	2
