N	3gram	Bakhtin_fo_1	Otkroven
1	в нем нет	2	3
2	для того чтобы	5	3
3	и в этом	1	2
4	в этом мире	2	2
5	человека в его	3	2
6	и в самой	1	2
7	не может быть	3	2
8	но и в	2	2
9	не могут быть	1	2
10	с тем что	1	2
11	смысле этого слова	1	1
12	в другом месте	1	1
13	по сравнению с	2	1
14	месте и в	1	1
15	по природе своей	2	1
16	в строгом смысле	2	1
17	в самой жизни	1	1
18	а вовсе не	1	1
19	прежде всего в	1	1
20	том что в	1	1
21	друг к другу	2	1
22	в самом деле	1	1
23	и в том	1	1
24	человек а не	1	1
25	бросается в глаза	1	1
26	и его судьбе	1	1
27	этого мира в	1	1
28	преступление и наказание	1	1
29	находится в противоречии	1	1
30	и все же	1	1
31	не было и	2	1
32	нем нет ничего	1	1
33	между этими двумя	3	1
34	достоевского преступление и	1	1
35	в нем все	2	1
36	во всяком случае	1	1
37	него всегда есть	1	1
38	судьбы человека в	1	1
39	и его судьбу	1	1
40	о том что	1	1
41	его характер и	1	1
42	в этом отношении	3	1
43	есть одно из	1	1
44	и в самом	1	1
45	ни с чем	1	1
46	и прежде всего	2	1
47	в том что	2	1
48	он ни был	1	1
49	бы он ни	1	1
50	противоречии с его	1	1
51	друг с другом	1	1
52	в этих романах	2	1
53	в самом начале	1	1
54	не имеет ни	1	1
55	как и в	2	1
56	в противоречии с	1	1
57	в которой нет	1	1
