N	3gram	Berdyaev_M_1	Myslijsy
1	во всяком случае	1	7
2	в том что	1	7
3	до сих пор	2	4
4	не было бы	5	4
5	от того что	1	4
6	в то время	2	4
7	заключает в себе	3	4
8	в том смысле	2	4
9	то время как	2	3
10	не могут быть	2	3
11	и т п	1	3
12	есть прежде всего	1	2
13	было для него	1	2
14	между тем как	1	2
15	от одного к	1	2
16	не в том	1	2
17	для того чтобы	2	2
18	не может быть	17	2
19	одного к другому	1	2
20	но не в	1	2
21	с этим связано	1	1
22	мы говорим что	1	1
23	в ней все	1	1
24	потому что в	3	1
25	с одним из	1	1
26	выйти за пределы	1	1
27	не было ничего	1	1
28	него как для	1	1
29	нас потому что	1	1
30	потому что не	1	1
31	но и истина	2	1
32	том случае если	1	1
33	в отличие от	1	1
34	с тем что	3	1
35	и это есть	1	1
36	но это не	1	1
37	и не может	2	1
38	смысле в каком	2	1
39	того что человек	1	1
40	вместе с тем	5	1
41	в том случае	1	1
42	том смысле в	1	1
43	не только те	1	1
44	есть одно из	1	1
45	по сравнению с	1	1
46	во всех этих	1	1
47	и быть может	1	1
48	есть не только	3	1
49	но не только	1	1
50	друг к другу	1	1
51	потому что есть	2	1
52	потому что мы	1	1
53	или лучше сказать	1	1
54	что они не	1	1
55	в ряду других	1	1
56	в наше время	1	1
57	быть может в	1	1
58	том смысле что	1	1
59	в человеке и	2	1
60	даже и в	1	1
61	на этом основании	1	1
62	о том что	1	1
63	и в самом	3	1
64	что и в	1	1
65	не имеет для	1	1
66	мог бы быть	1	1
67	может быть названа	1	1
68	может быть так	1	1
69	для него как	1	1
70	не только от	1	1
71	в себе в	1	1
72	ответ на это	1	1
