N	3gram	Tiupa_Anal_2	Myshleni
1	по отношению к	4	12
2	в том что	6	11
3	с точки зрения	2	9
4	в известном смысле	1	7
5	друг с другом	1	7
6	в этом отношении	3	5
7	заключается в том	1	5
8	можно сказать что	1	5
9	не в состоянии	1	4
10	подобно тому как	3	4
11	то же самое	1	4
12	далеко за пределы	1	4
13	на этот вопрос	1	4
14	с этой точки	1	4
15	этой точки зрения	1	4
16	о том что	6	4
17	сама по себе	1	4
18	состоит в том	4	3
19	в этом случае	4	3
20	можно было бы	2	3
21	с одной стороны	4	3
22	и тот же	1	3
23	выходит далеко за	1	3
24	в свою очередь	1	3
25	не может быть	1	3
26	не только не	2	3
27	в самом деле	1	2
28	на всем протяжении	1	2
29	в отличие от	2	2
30	и то что	2	2
31	то и другое	1	2
32	в сущности это	1	2
33	ответ на этот	1	2
34	с другой стороны	2	2
35	в свое время	1	2
36	же самое что	1	2
37	что иное как	1	1
38	тот же самый	1	1
39	то что с	1	1
40	в обоих случаях	2	1
41	сказать что в	1	1
42	и не считает	1	1
43	ничего не говорит	1	1
44	более или менее	1	1
45	в этом смысле	2	1
46	никак не может	1	1
47	те же самые	1	1
48	потому что я	1	1
49	а тем более	1	1
50	но и на	1	1
51	можно было ожидать	1	1
52	состоит почти из	1	1
53	в первую очередь	1	1
54	в равной мере	1	1
55	одно и то	1	1
56	характеризуется тем что	1	1
57	не имеет никаких	1	1
58	в применении к	1	1
59	есть в сущности	1	1
60	не что иное	1	1
61	а не только	2	1
62	не совпадает с	1	1
63	совершенно особого рода	1	1
64	в этой связи	1	1
65	него могут быть	1	1
66	и то же	1	1
67	как мы это	1	1
68	это не так	1	1
69	не имеет места	1	1
70	не только для	1	1
71	том что начальные	1	1
72	нам представляется что	1	1
73	как в этом	1	1
74	и тем самым	2	1
75	одни и те	1	1
76	в связи с	1	1
77	почти из одних	1	1
78	в полной мере	1	1
79	тем не менее	3	1
80	в тех случаях	1	1
81	есть не что	1	1
82	так же точно	1	1
83	том смысле что	1	1
84	постановки вопроса о	1	1
85	того или иного	3	1
86	они относятся к	1	1
87	и те же	1	1
88	тех случаях когда	1	1
89	в то же	2	1
90	к тому что	1	1
91	в том смысле	1	1
92	и т.п и	1	1
93	тех или иных	2	1
94	при этом она	1	1
95	той или иной	3	1
