N	3gram	Losev_Prob_3	Komedia
1	к тому же	1	10
2	в том что	9	5
3	на этот раз	3	4
4	о том что	3	4
5	для того чтобы	1	4
6	так или иначе	1	3
7	в связи с	7	3
8	в первую очередь	3	3
9	в то время	4	3
10	едва ли можно	2	3
11	в то же	4	3
12	только потому что	2	2
13	до сих пор	2	2
14	в той же	1	2
15	в отличие от	2	2
16	бы то ни	4	2
17	то время как	4	2
18	то ни было	3	2
19	с одной стороны	1	2
20	в нем не	1	2
21	во всяком случае	6	2
22	к тому что	1	2
23	можно было бы	3	2
24	что и в	3	2
25	речь идет о	1	2
26	имеется в виду	4	1
27	само собой разумеется	1	1
28	это не означает	1	1
29	мы имеем полное	1	1
30	как и во	1	1
31	в самом деле	1	1
32	никак не может	2	1
33	быть даже в	1	1
34	с точки зрения	2	1
35	на первый план	2	1
36	только в том	1	1
37	имеет в виду	1	1
38	всякому ясно что	1	1
39	но и в	2	1
40	по своему содержанию	2	1
41	а может быть	1	1
42	мы находим в	2	1
43	что в нем	1	1
44	у плавта и	2	1
45	и в тех	1	1
46	точно так же	3	1
47	может быть даже	3	1
48	а то и	1	1
49	только тем что	1	1
50	иначе чем это	1	1
51	и вовсе не	4	1
52	и не всегда	1	1
53	и во всяком	1	1
54	нечто такое что	1	1
55	то что у	3	1
56	настолько ничтожны что	1	1
57	той или иной	8	1
58	а н островского	1	1
59	в первом случае	1	1
60	по существу своему	1	1
61	если не считать	1	1
62	в чем же	1	1
63	как будто бы	3	1
64	по сравнению с	2	1
65	благодаря тому что	1	1
66	на второй план	1	1
67	зрения на действительность	1	1
68	не является чем-то	1	1
69	само по себе	3	1
70	мало общего с	1	1
71	с другой стороны	5	1
72	таким образом и	1	1
73	не может быть	5	1
74	от этого брака	1	1
75	не было бы	3	1
76	того или иного	3	1
77	более или менее	1	1
78	только в связи	1	1
79	чтобы у нас	1	1
80	в тех случаях	1	1
81	что он не	1	1
82	мы убеждаемся в	1	1
83	то обстоятельство что	1	1
84	так и в	1	1
85	не обходится без	1	1
86	правда и здесь	1	1
87	но никак не	3	1
88	не только в	2	1
89	чем это было	1	1
90	друг от друга	2	1
91	тех случаях когда	1	1
92	и в литературе	1	1
93	тем не менее	10	1
94	чего нельзя сказать	1	1
95	и не столь	1	1
96	однако если мы	1	1
97	к выводу что	1	1
98	там и здесь	3	1
99	как мы видели	2	1
