N	3gram	Tiupa_Hudo_1	RusskieA
1	в том что	7	18
2	состоит в том	5	13
3	в этом случае	1	6
4	для того чтобы	2	6
5	так же как	1	4
6	о том что	1	4
7	в этих случаях	1	3
8	в отличие от	7	3
9	не может быть	3	3
10	подобно тому как	1	3
11	тем не менее	3	2
12	что иное как	1	2
13	между тем это	1	2
14	не что иное	1	2
15	не принадлежат к	1	2
16	в то время	1	2
17	с одной стороны	2	2
18	на нее как	1	1
19	иметь в виду	1	1
20	в виду что	1	1
21	более или менее	5	1
22	в настоящее время	1	1
23	может быть назван	1	1
24	те и другие	1	1
25	из того что	1	1
26	есть рассказ о	1	1
27	состоит не в	1	1
28	может быть и	2	1
29	она состоит в	1	1
30	на первый взгляд	1	1
31	не входит в	1	1
32	принадлежат к числу	1	1
33	и совершенно иной	1	1
34	с другой стороны	5	1
35	и в том	1	1
36	все то что	1	1
37	и другие в	1	1
38	имея в виду	1	1
39	в свою очередь	2	1
40	тем и другим	1	1
41	можно сказать что	3	1
42	к новой жизни	1	1
43	на части как	1	1
44	дело не в	1	1
45	как и в	1	1
46	это и есть	1	1
