N	3gram	Kanaev_Sov_1	Problemy
1	то же время	1	12
2	в то же	1	12
3	на самом деле	1	10
4	с самого начала	3	8
5	не может быть	4	6
6	по отношению к	1	5
7	и в то	1	5
8	во всяком случае	2	5
9	в этом смысле	1	4
10	с точки зрения	5	4
11	бы то ни	1	4
12	то ни было	1	4
13	и прежде всего	1	4
14	в самом деле	1	3
15	по крайней мере	1	3
16	и к другому	1	3
17	в этом случае	1	2
18	и не может	1	2
19	в отличие от	2	2
20	друг на друга	1	2
21	а может быть	1	2
22	мы без труда	1	2
23	как бы два	1	2
24	и в этом	1	2
25	в такой же	1	2
26	той или иной	1	2
27	тем не менее	2	2
28	друг с другом	2	2
29	в которой он	1	1
30	какой бы то	1	1
31	как и во	1	1
32	на второй или	1	1
33	до сих пор	1	1
34	мы должны признать	1	1
35	заключают в себе	1	1
36	заключает в себе	1	1
37	что дело идет	1	1
38	не может но	1	1
39	в данном случае	1	1
40	на этот раз	1	1
41	он приводит к	1	1
42	вот пример такого	1	1
43	для каждого случая	1	1
44	быть и речи	1	1
45	и не было	1	1
46	и ничего не	1	1
47	всяком случае не	1	1
48	все более и	1	1
49	может быть и	2	1
50	не в виде	1	1
51	в этом направлении	1	1
52	каждого из них	2	1
53	и тот же	1	1
54	самом деле все	1	1
55	мы видели что	3	1
56	один и тот	1	1
57	и ни в	1	1
58	что же это	3	1
59	раз и навсегда	1	1
60	но тем не	1	1
61	в свою очередь	2	1
62	дело идет о	1	1
63	ни о каком	1	1
64	в целом эта	1	1
65	но все эти	1	1
66	более и более	1	1
67	по его мнению	1	1
68	но все же	1	1
69	это как бы	1	1
70	в том что	1	1
71	этом смысле можно	1	1
