N	3gram	Kanaev_Sov_1	Myshleni
1	в том что	1	31
2	с точки зрения	5	11
3	с одной стороны	1	9
4	в этом смысле	1	8
5	то же самое	2	7
6	и тот же	1	7
7	один и тот	1	7
8	друг с другом	2	7
9	в самом деле	1	6
10	друг на друга	1	5
11	можно было бы	1	5
12	так же как	1	5
13	и той же	1	4
14	одной и той	1	4
15	к одному и	1	4
16	в обоих случаях	1	3
17	в этом случае	1	3
18	во всяком случае	2	3
19	в связи с	1	3
20	и те же	1	3
21	одни и те	1	3
22	оно может быть	1	2
23	в настоящее время	2	2
24	одной стороны и	1	2
25	не может не	3	2
26	в отличие от	2	2
27	не подлежит никакому	1	2
28	в этой области	1	2
29	в данном случае	1	2
30	подлежит никакому сомнению	1	2
31	мы видим что	1	2
32	не могут быть	1	2
33	все более и	1	2
34	в свое время	1	2
35	в свою очередь	2	2
36	это значит что	1	2
37	более и более	1	2
38	мы видели что	3	2
39	стадии своего развития	1	2
40	такой же мере	1	1
41	что иное как	1	1
42	равно как и	1	1
43	на самом деле	1	1
44	как и во	1	1
45	он может быть	1	1
46	развития таким образом	1	1
47	и во всех	1	1
48	в зависимости от	4	1
49	бы то ни	1	1
50	и та же	1	1
51	таким образом все	1	1
52	до сих пор	1	1
53	заключает в себе	1	1
54	но если мы	1	1
55	не подлежит сомнению	2	1
56	в том случае	1	1
57	на этой стадии	1	1
58	так как он	2	1
59	то ни было	1	1
60	в процессе развития	1	1
61	между ним и	1	1
62	никакому сомнению что	1	1
63	на этот раз	1	1
64	с другом мы	1	1
65	не является исключением	1	1
66	в такой же	1	1
67	в течение нескольких	1	1
68	как мы это	1	1
69	одна и та	1	1
70	не опирается на	1	1
71	когда мы говорим	1	1
72	не может быть	4	1
73	шаг за шагом	1	1
74	по отношению к	1	1
75	с помощью которой	1	1
76	и что следовательно	1	1
77	с самого начала	3	1
78	с помощью которых	2	1
79	но все же	1	1
80	мы знаем что	1	1
81	мы говорим о	1	1
82	важную роль в	1	1
83	мы можем назвать	2	1
84	не что иное	1	1
85	тем не менее	2	1
86	и во всей	1	1
87	может не быть	1	1
88	может быть в	1	1
89	в наших экспериментах	1	1
90	готовом виде и	1	1
91	тот факт что	1	1
