N	2gram	Medvedev_F_1	EvropaiC
1	таким образом	13	32
2	в том	6	31
3	и в	24	24
4	том что	1	20
5	все эти	6	19
6	не может	16	18
7	то что	8	17
8	все же	3	15
9	может быть	14	15
10	точки зрения	16	13
11	в этом	15	12
12	сих пор	6	12
13	самом деле	6	12
14	до сих	6	12
15	в своем	11	12
16	между тем	2	11
17	с этим	2	11
18	все это	9	11
19	из себя	1	10
20	отношению к	4	10
21	так и	18	10
22	во всех	5	10
23	культуры и	3	10
24	по отношению	4	10
25	культуры в	1	10
26	мы знаем	1	10
27	как бы	6	10
28	как и	11	9
29	на то	1	9
30	что в	4	9
31	при этом	5	9
32	в результате	2	9
33	так же	4	8
34	и все	6	8
35	не в	8	8
36	знаем что	1	8
37	если бы	4	8
38	ясно что	3	8
39	в самом	5	8
40	с точки	13	8
41	касается до	1	8
42	для этого	4	7
43	не менее	11	7
44	по существу	2	7
45	того чтобы	1	7
46	а между	1	7
47	по своей	1	7
48	на самом	7	7
49	к тому	3	7
50	и не	20	7
51	из этих	1	7
52	из этого	1	7
53	в психике	1	7
54	в силу	1	7
55	но и	7	7
56	или менее	6	7
57	более или	6	7
58	и что	2	7
59	что он	3	7
60	еще не	6	6
61	тогда как	1	6
62	отличается от	3	6
63	как на	4	6
64	должна быть	7	6
65	в сознании	1	6
66	с ним	2	6
67	так что	1	6
68	от друга	2	6
69	вместе с	2	6
70	что касается	1	6
71	того что	5	6
72	друг от	2	6
73	у них	3	6
74	только в	2	6
75	в этой	6	6
76	что и	2	6
77	и на	8	6
78	в мире	4	6
79	несмотря на	1	6
80	с другой	5	6
81	в общем	3	6
82	так как	1	6
83	в которой	4	5
84	в себе	3	5
85	по сравнению	1	5
86	сравнению с	1	5
87	и с	8	5
88	ничем не	3	5
89	и для	1	5
90	и их	10	5
91	и истории	5	5
92	у него	1	5
93	его в	3	5
94	но все	2	5
95	к этому	1	5
96	потому что	1	5
97	и от	7	5
98	на все	3	5
99	и к	4	5
100	между двумя	1	5
101	в целом	6	5
102	что при	1	5
103	лишь в	8	5
104	в то	9	5
105	по своему	1	5
106	другой стороны	1	5
107	в его	23	5
108	именно в	8	5
109	и если	2	5
110	как к	3	5
111	далеко не	1	5
112	быть и	4	5
113	но в	5	5
114	и без	1	5
115	не только	7	5
116	его собственной	1	4
117	связи с	3	4
118	в виде	1	4
119	поэтому что	1	4
120	хотя бы	5	4
121	не так	2	4
122	в области	3	4
123	та же	1	4
124	отношение к	3	4
125	в их	11	4
126	социальной жизни	11	4
127	все-таки не	1	4
128	между собой	1	4
129	совершенно не	1	4
130	никогда не	4	4
131	культуре и	1	4
132	хотя и	1	4
133	то же	10	4
134	из которых	1	4
135	должно быть	11	4
136	а с	1	4
137	тем не	1	4
138	ни один	1	4
139	мы уже	1	4
140	всех этих	3	4
141	что как	1	4
142	не могут	1	4
143	и культуры	1	4
144	он не	3	4
145	в такой	1	4
146	если мы	2	4
147	из них	1	4
148	не есть	2	4
149	может не	1	3
150	бы в	3	3
151	для нас	1	3
152	и наконец	3	3
153	данном случае	1	3
154	вопрос о	2	3
155	в связи	4	3
156	должны быть	5	3
157	культуры а	1	3
158	прежде всего	22	3
159	культуры как	1	3
160	в жизни	3	3
161	настоящее время	10	3
162	в нем	14	3
163	ничего общего	1	3
164	а в	6	3
165	в нашем	2	3
166	а лишь	2	3
167	целом ряде	2	3
168	они должны	1	3
169	от тех	1	3
170	на этой	1	3
171	это не	2	3
172	только что	1	3
173	жизнь и	3	3
174	в этих	1	3
175	как для	1	3
176	очень много	1	3
177	отличие от	1	3
178	что если	1	3
179	на почве	13	3
180	у нас	5	3
181	то ни	3	3
182	во всем	2	3
183	уже и	1	3
184	и потому	9	3
185	в истории	4	3
186	к которой	1	3
187	и может	4	3
188	но даже	1	3
189	и других	3	3
190	же как	2	3
191	от того	2	3
192	в настоящее	10	3
193	как у	1	3
194	с одной	4	3
195	развиваться в	1	3
196	ее и	1	3
197	тем более	1	3
198	за ними	1	3
199	не подлежит	1	3
200	этой истории	1	3
201	целый ряд	3	3
202	таким же	2	3
203	с тем	2	3
204	так или	1	3
205	заключается в	1	3
206	что оно	1	3
207	и это	2	3
208	конечно не	4	3
209	ко всем	2	3
210	или иначе	2	3
211	гораздо больше	1	3
212	и по	1	3
213	в данном	1	3
214	к таким	1	2
215	и из	1	2
216	почти все	1	2
217	сводится к	3	2
218	в них	3	2
219	широком смысле	1	2
220	но не	3	2
221	не знает	1	2
222	же время	8	2
223	во всяком	4	2
224	в другом	1	2
225	говорить о	1	2
226	современной европейской	1	2
227	тех же	2	2
228	мы и	1	2
229	только не	2	2
230	что они	1	2
231	а это	1	2
232	нет в	1	2
233	никто не	1	2
234	в общий	1	2
235	и ее	10	2
236	чем другие	1	2
237	этими двумя	1	2
238	чем их	1	2
239	этого слова	3	2
240	не было	3	2
241	понять что	1	2
242	и социальной	1	2
243	вовсе не	10	2
244	из этой	2	2
245	только при	1	2
246	меньше чем	1	2
247	к нему	1	2
248	отнюдь не	6	2
249	пришлось бы	1	2
250	тем самым	3	2
251	в эпохи	1	2
252	это конечно	1	2
253	что на	1	2
254	между прочим	1	2
255	между ними	3	2
256	если он	3	2
257	своем целом	2	2
258	тем как	1	2
259	в ней	10	2
260	то в	1	2
261	этот процесс	1	2
262	в эту	2	2
263	вся его	1	2
264	независимо от	4	2
265	том и	1	2
266	что же	1	2
267	все то	1	2
268	а для	1	2
269	с этой	4	2
270	для него	3	2
271	работы и	1	2
272	время от	1	2
273	мы видели	2	2
274	что для	1	2
275	на него	2	2
276	и более	2	2
277	они не	3	2
278	как мы	5	2
279	которую он	1	2
280	другими словами	1	2
281	в свою	8	2
282	только одно	1	2
283	для самого	1	2
284	общего с	1	2
285	что у	1	2
286	жизни и	7	2
287	свою очередь	6	2
288	бы то	3	2
289	культуры с	2	2
290	в отдельных	1	2
291	и те	2	2
292	при таком	4	2
293	всяком случае	4	2
294	входящих в	2	2
295	представить себе	1	2
296	в основе	3	2
297	до тех	1	2
