N	2gram	Bakhtin_fo_1	NovoeSre
1	а не	3	17
2	и в	50	16
3	не может	6	16
4	совсем не	2	12
5	и не	14	11
6	и есть	1	10
7	в эпоху	1	9
8	что в	5	9
9	в том	9	8
10	жизни и	8	8
11	он не	5	8
12	в этом	25	7
13	может быть	11	7
14	как и	8	7
15	средние века	1	7
16	высшей степени	1	6
17	с его	9	6
18	не в	5	6
19	ни в	8	6
20	в высшей	1	6
21	общественной жизни	1	6
22	никогда не	2	6
23	лишь в	6	6
24	не знает	3	6
25	должен быть	1	5
26	с ее	6	5
27	в ней	4	5
28	культуры в	1	5
29	и к	2	5
30	не только	9	5
31	в жизни	6	5
32	все это	4	5
33	в нем	24	5
34	новое время	1	4
35	со всех	1	4
36	большую роль	3	4
37	о том	1	4
38	всех сторон	1	4
39	жизни к	1	4
40	xix и	1	4
41	в них	4	4
42	то что	6	4
43	это не	6	4
44	прежде всего	15	4
45	не было	7	4
46	должно быть	1	4
47	и потому	3	4
48	по своему	1	4
49	и для	4	4
50	не имеет	4	4
51	и все	6	4
52	потому что	4	4
53	с другой	2	3
54	смысле слова	2	3
55	в ее	6	3
56	в средние	1	3
57	вопрос о	2	3
58	человека и	11	3
59	еще не	5	3
60	во всех	6	3
61	в истории	2	3
62	наряду с	5	3
63	как в	6	3
64	конечно не	4	3
65	к ним	2	3
66	в мире	1	3
67	но и	8	3
68	это было	1	3
69	стремится к	1	3
70	с тем	3	3
71	в своей	2	3
72	растет и	1	3
73	к жизни	2	3
74	в новое	3	3
75	жизни которые	2	3
76	она не	1	3
77	не существует	1	3
78	жизни не	3	3
79	в основе	5	3
80	жизни в	8	3
81	к тому	3	3
82	сказать что	3	3
83	и это	4	2
84	нем нет	2	2
85	же как	2	2
86	связана с	1	2
87	века но	1	2
88	время как	5	2
89	роль в	9	2
90	не имеют	3	2
91	ведь и	1	2
92	так и	12	2
93	времени и	10	2
94	мы не	3	2
95	и с	4	2
96	мира а	1	2
97	но она	2	2
98	я не	1	2
99	жизни как	1	2
100	и на	8	2
