N	3gram	Nazirov_Tv_2	VeschiIm
1	и т д	11	20
2	не может быть	3	18
3	д и т	1	7
4	т д и	1	7
5	в том что	2	6
6	по крайней мере	2	6
7	в чем же	1	5
8	содержит в себе	1	5
9	в свою очередь	1	5
10	в то же	7	4
11	то же время	7	4
12	и в то	2	3
13	можно было бы	1	3
14	все же не	2	3
15	только то что	1	3
16	в самом деле	2	3
17	то что не	1	2
18	я не буду	1	2
19	о том как	1	2
20	как личность как	1	2
21	в нем нет	1	2
22	дело в том	1	2
23	о том что	2	1
24	мы не можем	1	1
25	это и есть	1	1
26	том смысле что	1	1
27	превращая его в	1	1
28	но тот же	1	1
29	так же как	2	1
30	мы видим как	1	1
31	на то чтобы	1	1
32	не только потому	1	1
33	и потому что	1	1
34	но в то	1	1
35	именно потому что	1	1
36	прежде всего самого	1	1
37	с другой стороны	2	1
38	потому что они	1	1
39	до сих пор	3	1
40	и в этом	1	1
41	в xix веке	2	1
42	и прежде всего	1	1
43	отождествляется с ним	1	1
44	в то время	1	1
45	души и т	1	1
46	в том смысле	1	1
47	это не значит	1	1
48	т д все	1	1
49	не значит что	1	1
50	сами по себе	1	1
51	в применении к	1	1
52	ли что я	1	1
53	и не может	2	1
54	только потому что	1	1
55	т д в	1	1
56	лишь одна из	1	1
57	к самому себе	1	1
58	д все это	1	1
59	не то что	1	1
60	а не то	1	1
61	таким образом чтобы	1	1
62	во всяком случае	2	1
63	нужно сказать что	1	1
64	одна из многих	1	1
