N	2gram	Losev_Vlad_3	Poddanst
1	не только	25	17
2	и в	40	14
3	и не	25	12
4	в этом	16	10
5	в отношении	5	10
6	в качестве	3	9
7	но в	4	9
8	то же	4	9
9	в том	18	9
10	хотя бы	6	8
11	только в	13	7
12	в то	7	7
13	же время	2	7
14	в ней	5	6
15	xix века	6	6
16	было бы	4	6
17	но и	18	6
18	в смысле	6	6
19	отношении к	1	5
20	в которых	1	5
21	с другой	5	5
22	может быть	8	5
23	не в	3	5
24	и о	4	5
25	е н	2	5
26	на путях	2	4
27	если бы	3	4
28	тех кто	3	4
29	а также	8	4
30	в своем	8	4
31	и к	2	4
32	как бы	3	4
33	и если	7	4
34	но также	1	4
35	том что	18	4
36	не может	14	4
37	и потому	10	4
38	в котором	4	4
39	по себе	6	4
40	на пути	1	4
41	в гораздо	1	4
42	что в	17	4
43	мы должны	4	4
44	же в	3	4
45	а в	7	4
46	то что	28	4
47	в с	2	4
48	мы не	2	3
49	сводится к	3	3
50	это не	3	3
51	вслед за	1	3
52	хотя и	7	3
53	и как	7	3
54	с одной	3	3
55	в себе	9	3
56	в нем	3	3
57	в россии	3	3
58	для того	2	3
59	заключается в	1	3
60	прежде всего	10	3
61	одной стороны	3	3
62	с тем	7	3
63	что мы	2	3
64	и без	1	3
65	с точки	6	3
66	но не	4	3
67	она есть	1	3
68	наряду с	2	3
69	тем самым	2	3
70	потому что	11	3
71	точки зрения	13	3
72	в сравнении	2	3
73	сравнении с	2	3
74	я и	1	3
75	нужно помнить	1	2
76	и это	6	2
77	отношения к	5	2
78	например в	1	2
79	в сфере	1	2
80	в ее	1	2
81	и есть	1	2
82	в мире	2	2
83	было в	1	2
84	есть не	2	2
85	которую мы	1	2
86	является в	2	2
87	есть нечто	1	2
88	только это	1	2
89	которое в	3	2
90	никак не	4	2
91	не нужно	2	2
92	обстоятельство это	1	2
93	во всех	1	2
94	если в	1	2
95	в общем	1	2
96	во всей	1	2
97	со стороны	2	2
98	отнюдь не	5	2
99	с этим	2	2
100	того что	7	2
101	стороны и	2	2
