N	3gram	Vygotskiy__3	OGranits
1	с точки зрения	9	5
2	не может быть	1	4
3	одно и то	2	3
4	в самом деле	18	2
5	в зависимости от	1	2
6	в данном случае	2	2
7	с одной стороны	5	2
8	и то же	2	2
9	с другой стороны	5	2
10	то же слово	1	2
11	того или иного	1	2
12	с самого начала	6	2
13	в том что	11	2
14	один и тот	1	1
15	тот же самый	1	1
16	что в этом	1	1
17	этой точки зрения	1	1
18	а вовсе не	2	1
19	более или менее	1	1
20	на самом деле	2	1
21	подобно тому как	1	1
22	то же самое	8	1
23	нам кажется что	1	1
24	в достаточной мере	1	1
25	в отличие от	1	1
26	не было бы	1	1
27	только то что	2	1
28	в этом отношении	1	1
29	то что в	2	1
30	можно было бы	1	1
31	может быть и	1	1
32	с этой точки	1	1
33	что едва ли	1	1
34	для того чтобы	8	1
35	может быть не	2	1
36	все эти три	1	1
37	если бы мы	1	1
38	мы все же	1	1
39	там где она	3	1
40	и тот же	1	1
41	состоит в том	1	1
42	мысли и что	1	1
43	и вместе с	2	1
44	и как бы	2	1
45	то что до	1	1
46	как в музыке	1	1
47	ошибкой думать что	1	1
48	все то что	6	1
49	потому что они	2	1
50	до такой степени	3	1
51	мы уже видели	1	1
52	не мог бы	1	1
53	указать на то	1	1
54	в тех случаях	1	1
55	вступает в свои	1	1
56	в свои права	1	1
57	мы не можем	2	1
58	таким образом мы	1	1
59	что в ней	1	1
60	хотя бы в	1	1
61	на то что	12	1
62	к тому что	2	1
63	в предисловии к	1	1
64	своего времени в	1	1
