N	2gram	Tiupa_Narr_1	Literetu
1	а не	12	20
2	и в	19	19
3	может быть	25	17
4	своего рода	12	13
5	то же	4	12
6	и не	20	11
7	как и	7	10
8	в том	18	10
9	и т.п	8	10
10	но и	23	10
11	тогда как	12	9
12	в этом	17	9
13	состоит в	13	9
14	в то	3	9
15	в мире	9	9
16	же время	4	9
17	не может	10	9
18	такого рода	7	9
19	не только	32	8
20	и даже	3	8
21	с другой	8	8
22	том что	14	7
23	так и	9	7
24	и т.д	7	7
25	с одной	7	7
26	то что	11	7
27	и на	3	6
28	в себе	8	6
29	при этом	9	6
30	однако в	2	6
31	не менее	3	6
32	себя в	5	6
33	одной стороны	7	6
34	в году	1	5
35	столь же	3	5
36	но не	5	5
37	конечном счете	2	5
38	в принципе	4	5
39	он не	3	5
40	одна из	3	5
41	коммуникативная стратегия	1	5
42	в конечном	3	5
43	в качестве	21	5
44	у нас	1	5
45	на фоне	1	5
46	то есть	19	5
47	того что	1	5
48	мы не	1	4
49	того же	1	4
50	хх веке	1	4
51	по отношению	7	4
52	отнюдь не	5	4
53	в рамках	12	4
54	едва ли	1	4
55	человека в	2	4
56	для него	2	4
57	точки зрения	10	4
58	не в	14	4
59	даже в	2	4
60	в русской	1	4
61	в области	2	4
62	в ней	3	4
63	тех кто	1	4
64	в его	9	4
65	один из	3	4
66	не случайно	2	4
67	каждый из	2	4
68	тем что	3	4
69	в хх	1	4
70	прежде всего	4	4
71	в частности	14	4
72	жизни в	3	4
73	другой стороны	4	4
74	жизни и	3	4
75	что в	3	4
76	речь идет	4	3
77	одним из	2	3
78	и то	1	3
79	идет о	2	3
80	в сущности	3	3
81	и он	3	3
82	во всех	1	3
83	как правило	4	3
84	в противовес	4	3
85	как к	2	3
86	в этой	5	3
87	то и	1	3
88	наш взгляд	1	3
89	в нем	4	3
90	на наш	1	3
91	в глазах	1	3
92	в их	1	3
93	том чтобы	1	3
94	своего другого	1	3
95	с точки	2	3
96	тем самым	6	3
97	вплоть до	2	3
98	не столько	4	3
99	никогда не	3	3
100	ничего не	2	3
101	х годов	1	3
102	сознания в	1	3
103	и его	5	3
104	личности в	2	3
105	данном случае	4	3
106	в себя	6	3
107	всей своей	2	3
108	не с	3	3
109	и с	4	3
110	быть может	2	3
111	коммуникативное событие	3	3
112	в другом	1	3
113	всего лишь	2	3
114	другого в	1	3
115	а в	11	3
116	этом отношении	3	3
117	следует признать	2	3
118	и др	2	3
119	со стороны	9	3
120	в равной	1	3
121	в данном	5	3
122	а именно	3	3
123	по существу	2	3
124	мыслится как	1	3
125	но это	1	3
126	в культуре	2	3
127	в начале	1	3
128	и для	2	3
129	обращается к	1	3
130	на свою	1	3
131	и как	5	3
132	что он	6	3
133	о себе	1	3
134	отношению к	6	3
135	же как	3	2
136	в ситуации	1	2
137	традиции как	1	2
138	принципиальное различие	1	2
139	и до	2	2
140	и за	1	2
141	являет собой	2	2
142	в первый	1	2
143	на себя	3	2
144	с ее	3	2
145	жизни как	3	2
146	к своему	1	2
147	разумеется не	1	2
148	нам представляется	1	2
149	но как	2	2
150	если в	3	2
151	очевидно что	1	2
152	в художественном	1	2
153	все же	7	2
154	как уже	1	2
155	и наконец	1	2
156	и к	1	2
157	но в	6	2
158	в противоположность	2	2
159	то в	6	2
160	в целом	1	2
161	представляет собой	13	2
162	культуры как	1	2
163	к собственной	1	2
164	и сам	1	2
165	свое время	1	2
166	подобно тому	2	2
167	на этом	1	2
