1	не может быть	4	7
2	тем не менее	3	6
3	до сих пор	3	5
4	с другой стороны	1	5
5	так например в	1	4
6	в том что	13	4
7	с одной стороны	5	4
8	на то что	4	4
9	в большинстве случаев	2	4
10	можно было бы	1	3
11	в то время	2	3
12	по отношению к	5	3
13	то же самое	5	3
14	друг с другом	2	3
15	но все же	1	3
16	точно так же	2	3
17	о том что	4	3
18	то время как	2	3
19	на первых порах	1	2
20	с самого начала	7	2
21	мы нашли что	3	2
22	по этому поводу	3	2
23	если бы мы	1	2
24	как мы увидим	1	2
25	в зависимости от	1	2
26	в отличие от	2	2
27	вместе с тем	4	2
28	том что они	2	2
29	должны были бы	1	2
30	мы должны были	1	2
31	и должно быть	1	2
32	же самое что	2	2
33	так же как	7	2
34	само по себе	1	2
35	таким образом мы	1	2
36	мы не можем	3	2
37	мы увидим ниже	1	2
38	не только для	1	1
39	том что она	2	1
40	что в этом	2	1
41	мы могли бы	4	1
42	к тому что	6	1
43	не только в	1	1
44	содержит в себе	3	1
45	между ним и	1	1
46	содержат в себе	3	1
47	никак не может	1	1
48	одной стороны и	3	1
49	после того как	1	1
50	в этом смысле	1	1
51	не могут быть	1	1
52	и в соответствии	1	1
53	мы знаем не	1	1
54	в какой бы	1	1
55	в его образе	1	1
56	в себе ничего	2	1
57	и иначе как	1	1
58	если это так	1	1
59	в этом случае	14	1
60	в самое последнее	1	1
61	не так часто	1	1
62	так что в	1	1
63	здесь перед исследователем	1	1
64	чем иным как	2	1
65	связаны между собой	3	1
66	это отнюдь не	1	1
67	в меньшей мере	1	1
68	и по внутреннему	1	1
69	не чем иным	2	1
70	некоторое время в	1	1
71	может быть понят	1	1
72	же как и	2	1
73	и в этом	1	1
74	та же самая	1	1
75	по себе но	1	1
76	но если это	1	1
77	едва ли не	2	1
78	тот момент когда	1	1
79	мы обратимся к	1	1
80	этого мы должны	1	1
81	его отношения к	1	1
82	только тогда когда	1	1
83	друг на друга	1	1
84	по сравнению со	2	1
85	связь между словом	4	1
86	не содержит в	1	1
87	на самом же	1	1
88	самом же деле	1	1
89	о природе и	1	1
90	приводит нас к	2	1
91	приводит к тому	2	1
92	к другим видам	1	1
93	в этом отношении	3	1
94	смысле этого слова	3	1
95	прежде всего в	2	1
96	силу того что	1	1
97	в соответствии с	1	1
98	внимание на то	1	1
99	до тех пор	1	1
100	не что иное	1	1
101	что иное как	1	1
102	но и для	1	1
103	при таком положении	1	1
104	только в самое	1	1
105	то что она	1	1
106	есть не что	1	1
107	ему нужно было	2	1
108	для этого мы	2	1
109	подтверждают это предположение	1	1
110	в этом примере	1	1
111	самое последнее время	1	1
112	вопрос о связи	1	1
113	что и в	1	1
114	и в конце	2	1
115	друг другу не	1	1
116	таким образом в	2	1
117	по внешним формам	1	1
118	подобно тому как	1	1
119	мы имеем дело	1	1
120	в первом случае	3	1
121	встречается не так	1	1
122	в одном случае	1	1
123	на этом пути	1	1
124	во всем его	1	1
125	того что он	1	1
126	никогда не может	1	1
127	для того чтобы	18	1
128	не содержат в	2	1
129	в этом направлении	1	1
130	стороны и его	1	1
131	в силу того	1	1
