N	3gram	Vygotskiy__1	Vvedenie
1	и т д	1	36
2	для того чтобы	15	20
3	о том что	6	12
4	в том что	15	12
5	в этом смысле	1	8
6	тем не менее	1	8
7	не может быть	5	8
8	в то же	2	6
9	к выводу что	4	6
10	в самом деле	2	6
11	то же время	2	6
12	до сих пор	4	6
13	с другой стороны	9	5
14	в том чтобы	3	5
15	с одной стороны	8	4
16	по сравнению с	5	4
17	и в этом	1	4
18	во всяком случае	3	4
19	само по себе	1	4
20	по отношению к	7	4
21	не только в	1	4
22	в этом отношении	4	4
23	на этот вопрос	2	4
24	не только как	1	4
25	в данном случае	2	4
26	по крайней мере	1	4
27	можно было бы	3	4
28	заключается в том	6	3
29	большей или меньшей	1	3
30	и именно в	1	3
31	что может быть	2	3
32	в том виде	1	3
33	можно сказать что	4	3
34	в известном смысле	2	3
35	одной стороны и	1	3
36	в строгом смысле	1	3
37	именно в этом	2	3
38	но все же	1	3
39	вместе с тем	5	3
40	сама по себе	1	3
41	в собственном смысле	5	3
42	в чем же	1	2
43	до наших дней	1	2
44	одной и той	2	2
45	в другом месте	6	2
46	в известной мере	1	2
47	мы уже знаем	1	2
48	представляет собой в	1	2
49	и со стороны	1	2
50	в конце концов	1	2
51	в целом ряде	1	2
52	ответ на этот	2	2
53	всего то что	1	2
54	состоит в том	1	2
55	представить себе что	1	2
56	но вместе с	4	2
57	и той же	2	2
58	как мы уже	1	2
59	той или иной	1	2
60	на вопрос о	2	2
61	сомнений в том	1	2
62	смысле этого слова	3	2
63	точно так же	1	2
64	дело в том	1	2
65	между тем именно	1	2
66	потому что он	1	2
67	не может служить	1	2
68	с точки зрения	18	2
69	то же самое	3	2
70	в соответствии с	1	2
71	влечет за собой	2	2
72	должен быть путь	1	1
73	этой области знания	1	1
74	чтобы убедиться в	2	1
75	с самого начала	8	1
76	в том же	1	1
77	и том же	1	1
78	так же как	5	1
79	сам по себе	3	1
80	том виде в	1	1
81	в области изучения	1	1
82	и то что	1	1
83	только тогда когда	2	1
84	тот факт что	1	1
85	что мы можем	1	1
86	в одном и	1	1
87	того чтобы быть	1	1
88	этот вопрос о	1	1
89	к целой группе	1	1
90	того что в	1	1
91	виде в каком	2	1
92	в общих чертах	1	1
93	одно и то	2	1
94	но и как	1	1
95	когда мы говорим	1	1
96	и никогда не	1	1
97	о котором мы	1	1
98	а именно в	1	1
99	находит свое выражение	1	1
100	в известной части	1	1
101	заключает в себе	1	1
102	потому что в	1	1
103	на этом пути	1	1
104	потому что они	1	1
105	из того что	5	1
106	точки зрения между	1	1
107	его можно было	1	1
108	другой стороны как	1	1
109	и потому что	1	1
110	не мог не	1	1
111	то что у	2	1
112	того чтобы сделать	1	1
113	вопрос о природе	2	1
114	вопрос о связи	1	1
115	к тому что	3	1
116	не иначе как	1	1
117	смысле слова но	1	1
118	как если бы	2	1
119	так как если	1	1
120	для этого необходимы	1	1
121	в указании на	2	1
122	и восприятия в	1	1
123	прежде всего в	2	1
124	одном и том	1	1
125	ничего не может	2	1
126	сказать что он	1	1
127	на одно из	1	1
128	чем же заключается	1	1
129	и то же	2	1
130	ее отношения к	3	1
131	бы и не	1	1
132	прежде всего то	1	1
133	на самом деле	1	1
134	качестве примера можно	1	1
135	то обстоятельство что	1	1
136	свое выражение в	1	1
137	бы сказать что	2	1
138	все то что	1	1
139	не могло не	1	1
140	было бы назвать	1	1
141	ему не остается	1	1
142	и все прочие	1	1
143	приходит к выводу	3	1
144	но пока мы	1	1
145	в свою очередь	3	1
146	необходимо спросить себя	1	1
147	образом связана с	1	1
148	не быть в	1	1
149	говорить о том	1	1
150	в их развитии	1	1
151	от того что	2	1
152	он должен быть	2	1
153	независимо от своего	1	1
154	и до наших	1	1
155	этими явлениями в	1	1
156	в зависимости от	2	1
157	примера можно было	1	1
158	тем что в	1	1
159	может служить предметом	1	1
160	собственном смысле слова	1	1
161	всего того что	1	1
162	но и в	1	1
163	во главе с	1	1
164	таким образом мы	1	1
165	с полным основанием	1	1
166	к образованию понятий	1	1
167	в качестве примера	1	1
168	вопросу о природе	1	1
169	как уже сказано	6	1
170	в отличие от	1	1
171	что не только	1	1
172	только то что	1	1
173	ту или иную	1	1
174	не остается ничего	3	1
175	один из важнейших	1	1
176	как раз в	1	1
177	в своих исследованиях	1	1
178	этой точки зрения	1	1
179	развития на которое	1	1
180	собственном смысле этого	3	1
181	со всей решительностью	1	1
182	с этой точки	1	1
183	в этом пункте	1	1
