N	3gram	Nazirov_Tv_2	Formalny
1	не может быть	3	10
2	в связи с	1	10
3	и т п	2	9
4	в самом деле	2	5
5	и в этом	1	5
6	то же время	7	5
7	в то же	7	5
8	во всяком случае	2	5
9	и т д	11	5
10	не могут быть	1	4
11	того или иного	1	4
12	в высшей степени	1	4
13	и не может	2	3
14	и в то	2	3
15	в том смысле	1	3
16	с другой стороны	2	3
17	так и в	2	3
18	сами по себе	1	2
19	в отличие от	2	2
20	и в дальнейшем	1	2
21	что в нем	1	2
22	в применении к	1	2
23	ни в чем	1	2
24	с самого начала	1	2
25	мы говорим о	1	2
26	и прежде всего	1	2
27	в предисловии к	1	2
28	том смысле что	1	2
29	в том что	2	2
30	в ранний период	1	1
31	мы знаем что	1	1
32	их мышления и	1	1
33	как и для	1	1
34	в виду что	1	1
35	является в высшей	1	1
36	можно говорить лишь	1	1
37	влечет за собой	2	1
38	в одной из	2	1
39	если же это	1	1
40	до сих пор	3	1
41	и др однако	1	1
42	в таком случае	2	1
43	является одним из	1	1
44	в этот период	1	1
45	на этот вопрос	2	1
46	по крайней мере	2	1
47	то или иное	1	1
48	именно в этом	2	1
49	так сказать в	1	1
50	мы не можем	1	1
51	но в то	1	1
52	тем что он	1	1
53	но при этом	1	1
54	это и есть	1	1
55	все же не	2	1
56	в его статье	1	1
57	могут быть поняты	2	1
58	у нас не	1	1
59	только то что	1	1
60	в свою очередь	1	1
61	ничего общего с	1	1
62	прежде всего возникает	1	1
63	или во всяком	1	1
64	таким образом сюжет	1	1
65	на то чтобы	1	1
66	как и в	1	1
67	особое место в	1	1
68	в чем не	1	1
