N	3gram	Losev_Dial_4	Mirosoze
1	не может быть	6	8
2	есть прежде всего	3	5
3	для того чтобы	5	4
4	это и есть	4	3
5	и в этом	3	3
6	же как и	1	3
7	от того что	2	3
8	не что иное	8	3
9	что иное как	8	3
10	есть не что	5	3
11	для этого необходимо	1	3
12	о том что	1	2
13	подобно тому как	4	2
14	одной и той	3	2
15	что это не	1	2
16	после того как	1	2
17	т е в	2	2
18	но это не	1	2
19	все что было	1	2
20	в чем не	1	2
21	что она не	1	2
22	в том что	9	2
23	и той же	3	2
24	в нем нет	1	2
25	в отношении к	1	2
26	она не имеет	1	2
27	и та же	1	2
28	одна и та	1	2
29	ни в чем	1	2
30	не может уже	1	2
31	а не в	1	2
32	но для этого	1	2
33	все те же	1	1
34	лежит в основе	3	1
35	что он сам	1	1
36	только тогда когда	4	1
37	по сравнению с	2	1
38	только потому и	1	1
39	никогда не будет	1	1
40	а не только	1	1
41	это ведет к	1	1
42	и есть не	1	1
43	что если нет	1	1
44	в конце концов	1	1
45	как будто что-то	1	1
46	состояние и тем	1	1
47	личности и ее	2	1
48	она должна быть	1	1
49	на то что	3	1
50	и не могли	1	1
51	не могли быть	1	1
52	не сама по	1	1
53	по природе своей	1	1
54	того как в	1	1
55	сама по себе	5	1
56	для всякой иной	1	1
57	сам по себе	2	1
58	не есть ни	9	1
59	но что это	1	1
60	потому и возможно	1	1
61	в бесконечную даль	1	1
62	личности в этом	1	1
63	но я не	1	1
64	не в силах	1	1
65	не есть религия	2	1
66	той или иной	1	1
67	и возможно что	1	1
68	мы видим в	1	1
69	ни на что	2	1
70	было в нем	1	1
71	но также и	1	1
72	он сам не	1	1
73	та или иная	2	1
74	то же что	3	1
75	в себе и	1	1
76	что это –	1	1
77	как и все	2	1
78	и что же	1	1
79	это не есть	4	1
80	я не могу	1	1
81	то в чем	1	1
82	хотя бы в	1	1
83	и можно будет	1	1
84	с точки зрения	9	1
85	что же такое	1	1
