N	3gram	Bakhtin_fo_2	Stilisti
1	в то же	4	9
2	то же время	4	7
3	для того чтобы	7	7
4	с точки зрения	8	5
5	с самого начала	1	4
6	и так далее	1	4
7	то же самое	2	4
8	и то же	1	4
9	той или иной	1	4
10	прежде всего в	2	4
11	в свою очередь	1	4
12	одно и то	1	4
13	в этом случае	2	3
14	на самом деле	1	3
15	не только в	5	3
16	но все же	1	3
17	в конце концов	1	3
18	как мы видели	1	3
19	но и в	3	3
20	во всех своих	1	3
21	как мы уже	4	3
22	о том что	1	2
23	связи с этим	2	2
24	в так называемой	1	2
25	и в то	3	2
26	но в то	1	2
27	в точном смысле	1	2
28	можно сказать что	1	2
29	равно как и	2	2
30	может показаться что	1	2
31	больше и больше	1	2
32	к тому что	1	2
33	мы будем говорить	1	2
34	тот или иной	1	2
35	и как бы	1	2
36	на первый взгляд	1	2
37	как бы в	1	2
38	не было бы	2	2
39	все больше и	1	2
40	в действительной жизни	1	2
41	в связи с	7	2
42	вместе с тем	1	2
43	но при этом	1	2
44	и не только	1	2
45	в этом отношении	2	2
46	как мы увидим	1	2
47	же самое время	1	2
48	не может быть	1	2
49	и во всех	2	1
50	здесь как бы	1	1
51	хлеб и вино	1	1
52	в большинстве случаев	3	1
53	по сравнению с	1	1
54	вовсе не является	1	1
55	себя дома и	1	1
56	мы увидим дальше	1	1
57	в другом месте	2	1
58	и в этом	3	1
59	это же самое	1	1
60	с другой стороны	1	1
61	того что было	1	1
62	потому что идеология	1	1
63	и в особенности	3	1
64	можно условно назвать	1	1
65	и того же	1	1
66	и чаще всего	1	1
67	в том что	3	1
68	и никак не	1	1
69	но мы можем	1	1
70	и та же	2	1
71	влияние на развитие	1	1
72	в дальнейшем мы	2	1
73	в дальнейшей истории	1	1
74	мы наблюдаем в	1	1
75	этого как мы	1	1
76	одного и того	1	1
77	уже не только	1	1
78	в виду что	1	1
79	того чтобы не	1	1
80	с точкой зрения	1	1
81	мы имеем в	2	1
82	одна и та	2	1
83	в скрытой форме	1	1
84	такие слова как	1	1
85	в последнем счете	2	1
86	только в том	1	1
87	не может не	1	1
88	в самый момент	1	1
89	в форме диалога	1	1
90	это как бы	1	1
91	как и в	1	1
92	до сих пор	2	1
93	он сказал что	1	1
94	особое место в	1	1
