N	2gram	Propp_Russ_1	VrazhdaK
1	в году	2	18
2	не только	22	9
3	в этом	12	8
4	и в	36	8
5	и что	4	8
6	но и	16	7
7	и все	1	7
8	года в	2	7
9	то что	6	7
10	что в	19	7
11	все же	5	6
12	но в	2	6
13	в нем	2	6
14	как и	10	6
15	и с	2	6
16	в начале	1	6
17	то же	3	5
18	об этом	9	5
19	в то	1	5
20	между тем	7	5
21	у него	2	5
22	не было	2	5
23	в россии	4	5
24	и не	6	5
25	в ней	2	4
26	что он	1	4
27	в истории	1	4
28	целый ряд	1	4
29	при этом	6	4
30	это не	10	4
31	несмотря на	3	4
32	все это	6	4
33	в виду	1	4
34	с ним	2	4
35	о том	8	4
36	для нас	6	4
37	и детей	1	4
38	уже в	1	4
39	может быть	8	4
40	он считал	1	4
41	как бы	5	4
42	в своих	2	4
43	так же	3	4
44	он был	2	3
45	в чем	1	3
46	с его	1	3
47	в своем	3	3
48	и как	2	3
49	в этот	10	3
50	на то	1	3
51	его в	1	3
52	он не	1	3
53	далеко не	3	3
54	том что	19	3
55	что есть	1	3
56	года он	1	3
57	и его	1	3
58	связи с	4	3
59	и о	1	3
60	что у	2	3
61	и во	1	3
62	в его	2	3
63	в том	17	3
64	и у	5	3
65	тем что	4	3
66	в связи	4	3
67	наряду с	1	3
68	считал что	2	3
69	т е	17	3
70	к этому	4	3
71	в русских	1	2
72	же как	1	2
73	б и	1	2
74	на место	1	2
75	и он	1	2
76	ответ на	1	2
77	в эти	4	2
78	тогда как	2	2
79	он пишет	1	2
80	отнюдь не	2	2
81	в той	1	2
82	его на	1	2
83	и дети	1	2
84	июня в	1	2
85	в этой	1	2
86	в себе	1	2
87	после этого	4	2
88	в нашей	1	2
89	их в	3	2
90	таким образом	6	2
91	в них	6	2
92	а с	4	2
93	мы знаем	1	2
94	во время	14	2
95	точки зрения	3	2
96	и ее	1	2
97	с точки	3	2
98	место в	1	2
99	не менее	3	2
100	том же	2	2
101	одна из	4	2
102	п в	13	2
103	его с	4	2
104	и это	1	2
105	же не	2	2
106	на основе	1	2
107	в в	2	2
108	россии в	1	2
109	так в	4	2
110	еще не	4	2
111	а также	3	2
112	там же	5	2
113	после смерти	1	2
114	уже не	6	2
115	из них	8	2
