N	3gram	Bakhtin_sl_1	Problema
1	и т п	23	13
2	в эстетический объект	1	12
3	не может быть	1	11
4	с точки зрения	8	6
5	в отличие от	1	5
6	и прежде всего	1	5
7	в большинстве случаев	6	5
8	не входит в	1	4
9	в данном случае	3	4
10	с другой стороны	4	4
11	во всех его	7	4
12	в противном случае	1	3
13	бы то ни	1	3
14	можно было бы	2	3
15	может быть только	2	3
16	с одной стороны	4	3
17	то же время	12	3
18	в том что	1	3
19	в то же	12	3
20	тем не менее	1	3
21	можно сказать что	1	2
22	со всех сторон	1	2
23	но и в	1	2
24	и во всех	2	2
25	и не может	2	2
26	в лучшем случае	2	2
27	то или иное	1	2
28	лишь там где	1	2
29	и в то	5	2
30	и в частности	1	2
31	то есть его	1	2
32	то ни было	1	2
33	входит в эстетический	1	2
34	не только в	2	2
35	не могут быть	2	2
36	никогда не может	1	2
37	языка в его	1	2
38	всех своих моментах	1	2
39	того или иного	2	2
40	во всех своих	1	2
41	большинстве случаев не	1	2
42	так и в	3	2
43	и в них	1	2
44	точки зрения самого	2	2
45	той или иной	9	2
46	в известной степени	2	2
47	как композиционная форма	1	2
48	для того чтобы	1	2
49	за его пределы	1	2
50	в этом отношении	1	2
51	может войти в	1	1
52	а между тем	2	1
53	зрения на мир	4	1
54	точка зрения на	2	1
55	конечно и в	1	1
56	то есть как	3	1
57	так же велико	1	1
58	а вовсе не	2	1
59	в свою очередь	2	1
60	бы они ни	1	1
61	же время этот	1	1
62	мы ничего не	1	1
63	всех его моментах	4	1
64	в том и	2	1
65	отношения автора к	1	1
66	в нем и	1	1
67	оно не выходит	1	1
68	языка то есть	2	1
69	а следовательно и	1	1
70	до сих пор	2	1
71	хотя бы и	3	1
72	до известной степени	2	1
73	может иметь место	1	1
74	в пределах той	1	1
75	и др и	2	1
76	на самом же	1	1
77	по аналогии с	1	1
78	в поэтическом произведении	3	1
79	ни в какой	1	1
80	может быть и	1	1
81	а иногда и	1	1
82	кроме того и	1	1
83	занимает в нем	1	1
84	его моментах как	1	1
85	и не в	1	1
86	на фоне которого	1	1
87	момент слова и	1	1
88	т п и	1	1
89	то есть они	1	1
90	в новом свете	1	1
91	в значительной степени	1	1
92	со всеми его	1	1
93	то время как	2	1
94	если бы мы	1	1
95	но в то	4	1
96	в меньшей степени	1	1
97	и определяет все	1	1
98	им и не	1	1
99	а также и	1	1
100	и в этом	2	1
101	и ничего не	1	1
102	и организуются в	1	1
103	к своему предмету	1	1
104	то есть не	1	1
105	в иванов а	1	1
106	у нас в	1	1
107	о которых мы	1	1
108	и в том	2	1
109	самом же деле	1	1
110	в свое время	1	1
111	с ее методами	1	1
112	в каждом моменте	3	1
113	все они в	1	1
114	в узком смысле	10	1
115	таким образом в	3	1
116	на фоне которых	1	1
117	за своими пределами	2	1
118	равно как и	1	1
119	всякой оглядки на	1	1
120	в то время	2	1
121	свою связь с	1	1
122	его отношение к	1	1
123	том и в	2	1
124	и т д	5	1
125	иногда и прямо	1	1
126	на протяжении всего	1	1
127	то есть в	1	1
128	ни одной из	1	1
129	социальные и исторические	1	1
130	выходит за пределы	3	1
131	языка как такового	1	1
132	не выходит за	3	1
133	они ни были	1	1
134	вследствие этого и	1	1
135	и с точки	1	1
136	или в лучшем	1	1
137	в другом случае	2	1
138	быть отнесены к	1	1
139	как мы уже	2	1
140	может быть адекватно	1	1
141	к тому что	2	1
142	в первом случае	2	1
143	образ и в	1	1
144	как и в	1	1
145	дело в том	1	1
146	они могут быть	6	1
147	и в другом	2	1
148	то есть к	1	1
