N	2gram	Bakhtin_KF_1	DiskursI
1	в качестве	2	34
2	не только	5	28
3	в том	6	23
4	а не	17	22
5	то есть	1	20
6	том что	4	19
7	может быть	45	17
8	как и	5	16
9	и в	24	16
10	в этом	14	15
11	еще не	4	14
12	но и	9	14
13	при этом	4	13
14	и т.п	1	12
15	по своей	1	11
16	но не	12	11
17	прежде всего	2	11
18	и не	26	11
19	как в	2	10
20	по отношению	26	9
21	в нем	28	9
22	не может	27	9
23	отношению к	22	9
24	отнюдь не	6	8
25	но в	5	8
26	о том	3	8
27	так и	2	8
28	не было	8	7
29	в себе	21	7
30	то же	5	7
31	не в	12	7
32	в основе	5	7
33	со стороны	7	7
34	в его	40	7
35	только в	16	7
36	в своем	16	6
37	и как	2	6
38	ни к	2	6
39	в составе	2	5
40	и на	3	5
41	во всех	11	5
42	в котором	24	5
43	в их	8	5
44	в процессе	2	5
45	в себя	7	5
46	сводится к	2	5
47	или иной	2	5
48	можно сказать	1	5
49	а с	2	5
50	в данном	2	5
51	как бы	9	5
52	к тому	1	5
53	а в	4	5
54	то что	7	5
55	в своей	10	5
56	и о	1	4
57	с его	1	4
58	отношение к	5	4
59	в истории	1	4
60	и к	1	4
61	уже не	7	4
62	в целом	10	4
63	на его	1	4
64	не как	4	4
65	лишь в	8	4
66	потому что	2	4
67	могут быть	3	4
68	для себя	5	4
69	и т.д	2	4
70	же время	2	4
71	между тем	4	4
72	во втором	1	4
73	одной из	1	4
74	что он	2	4
75	для него	8	4
76	что не	3	4
77	не является	1	4
78	что в	4	4
79	также и	1	3
80	того же	1	3
81	и потому	2	3
82	в первом	1	3
83	эстетическая деятельность	1	3
84	во мне	3	3
85	столь же	1	3
86	той или	3	3
87	различия между	1	3
88	с этим	1	3
89	в самом	1	3
90	из жизни	1	3
91	т.п но	1	3
92	вследствие этого	2	3
93	это не	10	3
94	и того	2	3
95	точки зрения	12	3
96	в своих	3	3
97	бы быть	5	3
98	по себе	2	3
99	в то	3	3
100	к той	1	3
101	должны быть	1	3
102	как не	1	3
103	свою очередь	1	3
104	но при	1	3
105	в ее	16	3
106	времени и	4	3
107	не с	1	3
108	и даже	1	3
109	картина мира	1	3
110	что и	7	3
111	научного мышления	2	3
112	хотя бы	4	3
113	в данной	1	3
114	к ним	4	3
115	автор и	1	3
116	тем что	3	3
117	именно в	5	3
118	имеет место	1	3
119	понятие о	1	3
120	мира в	6	3
121	к содержанию	2	3
122	в акте	3	3
123	по своему	3	3
124	того что	3	3
125	один из	2	3
126	все же	5	3
127	эстетической деятельности	1	3
128	в свою	3	3
129	в действительности	1	3
130	это понятие	1	3
131	отношения к	1	2
132	и есть	9	2
133	едва ли	2	2
134	мы имеем	5	2
135	совпадает с	1	2
136	ему в	2	2
137	в виду	3	2
138	слово не	3	2
139	в различных	1	2
140	события в	3	2
141	сказать и	1	2
142	но как	5	2
143	себя в	8	2
144	определяется не	1	2
145	как к	2	2
146	хотя и	1	2
147	когда он	1	2
148	сознания в	2	2
149	в этой	2	2
150	всей его	2	2
151	не следует	1	2
152	он ни	2	2
153	становления и	1	2
154	в принципе	2	2
