N	3gram	Bakhtin_Pr_4	Sovremen
1	с точки зрения	9	5
2	не может быть	8	4
3	не может не	1	3
4	с самого начала	1	3
5	друг с другом	5	2
6	во всяком случае	1	2
7	пока наконец не	1	2
8	в отличие от	3	2
9	времени и пространства	1	2
10	может быть и	1	2
11	каждая из этих	1	1
12	как мы это	1	1
13	одной стороны и	1	1
14	в связи с	1	1
15	он уже не	1	1
16	ровно ничего не	1	1
17	дело в том	2	1
18	по отношению к	5	1
19	и до сих	2	1
20	в этом смысле	2	1
21	так же как	1	1
22	в свое время	2	1
23	в этом случае	1	1
24	до сих пор	8	1
25	и во всех	1	1
26	то же время	5	1
27	и в то	1	1
28	сами по себе	2	1
29	со всеми ее	1	1
30	друг на друга	2	1
31	а может быть	1	1
32	она и не	1	1
33	ведь это не	1	1
34	существенно отличается от	1	1
35	мы не знаем	1	1
36	в одном направлении	1	1
37	но они не	1	1
38	можно было бы	2	1
39	и не может	7	1
40	в самом деле	4	1
41	той или иной	2	1
42	но все же	1	1
43	раз подчеркнуть что	1	1
44	при определенных условиях	1	1
45	точки зрения своего	2	1
46	в то же	5	1
47	как мы видим	1	1
48	в том что	2	1
49	в данном случае	1	1
50	между собой поэтому	1	1
51	на этот вопрос	2	1
52	еще раз подчеркнуть	1	1
53	с одной стороны	1	1
54	для наших целей	2	1
55	и к одному	1	1
