N	3gram	Berdyaev_N_1	SlovoVZh
1	не может быть	4	7
2	в том что	1	4
3	и не может	1	3
4	до сих пор	1	3
5	и не в	1	3
6	в такой же	1	2
7	с другой стороны	2	2
8	в зависимости от	1	2
9	с одной стороны	2	2
10	то время как	1	1
11	во всяком случае	1	1
12	не должно быть	1	1
13	в этом смысле	2	1
14	самом себе и	1	1
15	же как и	1	1
16	и в формах	1	1
17	в то время	1	1
18	вступает в свои	1	1
19	в свои права	2	1
20	а не к	1	1
21	ни в чем	1	1
22	равно как и	2	1
23	сами по себе	1	1
24	но для этого	1	1
25	но и в	1	1
26	о том что	1	1
27	можно было бы	1	1
28	подобно тому как	3	1
29	на протяжении всей	1	1
30	и в истории	1	1
31	со всех сторон	3	1
32	может быть только	1	1
33	в том и	2	1
34	в значительной степени	1	1
35	так же как	2	1
36	должна быть понята	1	1
37	она не может	2	1
38	как и в	1	1
39	мы отлично знаем	1	1
40	к вопросу о	1	1
41	в высшей степени	6	1
