N	3gram	Losev_Vlad_3	VrazhdaK
1	то же время	2	4
2	в то же	3	4
3	в январе года	1	3
4	в связи с	2	3
5	имел в виду	1	3
6	он не только	1	2
7	с точки зрения	6	2
8	в те годы	2	2
9	в письме к	1	2
10	и что в	1	2
11	в году в	3	2
12	не может быть	6	2
13	в том что	10	2
14	а следовательно и	1	1
15	общего ни с	1	1
16	это то что	1	1
17	между прочим и	1	1
18	в котором он	1	1
19	это время он	1	1
20	в этом смысле	3	1
21	в том же	1	1
22	на первый план	2	1
23	до сих пор	1	1
24	жизнь и что	1	1
25	и во многом	1	1
26	февраля года в	1	1
27	в этом отношении	2	1
28	независимо от того	2	1
29	что в нем	1	1
30	точно так же	4	1
31	только при помощи	1	1
32	ничего общего ни	1	1
33	с тех пор	1	1
34	же возникает вопрос	1	1
35	и то что	4	1
36	может быть и	1	1
37	и в то	2	1
38	одно и то	1	1
39	в это время	2	1
40	о том как	1	1
41	так же как	2	1
42	в свете этой	1	1
43	хорошо знаю что	1	1
44	а никольский и	1	1
45	в конце концов	5	1
46	и то же	1	1
47	в известном смысле	1	1
48	и в этом	5	1
49	а с другой	2	1
50	того же года	1	1
51	все же не	1	1
52	во всяком случае	3	1
53	с другой стороны	2	1
54	тем не менее	9	1
55	от апреля года	1	1
56	у него в	4	1
57	но об этом	1	1
58	заключается в том	1	1
59	в то время	4	1
60	не хочет быть	1	1
61	что из всех	1	1
62	это и есть	1	1
63	о том что	8	1
64	не только не	1	1
65	на этот раз	1	1
66	уже в году	1	1
67	же в ней	1	1
68	не с точки	1	1
69	на то что	2	1
70	в конце жизни	3	1
71	мы бы назвали	1	1
72	не только от	1	1
73	я вижу что	1	1
