N	2gram	Vinokur_Ku_2	PoTuStor
1	может быть	15	17
2	и в	23	16
3	и пр	8	12
4	в этом	18	9
5	таким образом	5	9
6	и только	1	9
7	мы можем	1	9
8	прежде всего	8	9
9	и с	7	8
10	точки зрения	14	8
11	и его	3	8
12	не может	9	8
13	совершенно не	3	8
14	с его	1	7
15	не только	20	7
16	сказать что	4	7
17	самом деле	9	6
18	конечно не	2	6
19	при этом	2	6
20	с точки	8	6
21	и это	3	6
22	для него	1	6
23	и к	1	6
24	еще не	5	5
25	в чем	1	5
26	отношение к	1	5
27	все эти	12	5
28	до сознания	1	5
29	что такое	3	5
30	только для	2	5
31	ни в	4	5
32	нуждается в	2	5
33	в него	1	5
34	как бы	4	5
35	на самом	2	4
36	и на	6	4
37	отнюдь не	4	4
38	но в	11	4
39	в этой	6	4
40	в нем	4	4
41	все это	5	4
42	самого начала	1	4
43	как мы	3	4
44	с ее	1	4
45	с самого	1	4
46	так и	4	4
47	можно сказать	4	4
48	в его	5	4
49	а потому	1	4
50	с ними	2	4
51	только в	5	4
52	и их	1	4
53	так как	15	4
54	и даже	2	4
55	но и	7	4
56	и не	16	4
57	и все	2	4
58	хотя бы	9	4
59	отношения к	2	3
60	тех же	2	3
61	едва ли	1	3
62	в общем	1	3
63	и есть	2	3
64	и как	1	3
65	и вот	5	3
66	их в	1	3
67	на этом	3	3
68	на этой	4	3
69	этом смысле	5	3
70	том что	11	3
71	никаких оснований	2	3
72	сих пор	1	3
73	в одном	1	3
74	по крайней	6	3
75	до сих	1	3
76	те же	3	3
77	по сравнению	2	3
78	на язык	1	3
79	в конечном	2	3
80	крайней мере	6	3
81	в том	19	3
82	в большинстве	1	3
83	большинстве случаев	2	3
84	мы знаем	4	3
85	всяком случае	5	3
86	в области	11	3
87	и др	1	3
88	пр и	1	3
89	но оно	2	3
90	вместе с	5	3
91	и потому	2	3
92	как это	5	3
93	быть это	1	3
94	сравнению с	1	3
95	могут быть	4	3
96	что в	10	3
97	в этих	1	3
98	а в	3	3
99	то что	9	3
100	между ними	1	3
101	только как	2	3
102	во всяком	5	3
103	ту же	6	2
104	же как	2	2
105	в самом	12	2
106	мы уже	1	2
107	мы не	1	2
108	и о	4	2
109	говорить о	4	2
110	что можно	3	2
111	того же	3	2
112	и говорить	1	2
113	на них	1	2
114	из этих	1	2
115	но как	1	2
116	конечном счете	2	2
117	нет и	1	2
118	меньше всего	1	2
119	с этим	3	2
120	что это	7	2
121	но ведь	1	2
122	вообще не	1	2
123	он не	3	2
124	и по	3	2
125	то же	6	2
126	по своему	1	2
127	связанные с	2	2
128	связанных с	1	2
129	на протяжении	1	2
130	было бы	15	2
131	кажется что	1	2
132	в них	4	2
133	как и	2	2
134	между собою	1	2
135	потому и	1	2
136	в своей	2	2
137	нашу работу	1	2
138	знаем что	3	2
139	и вся	1	2
140	не менее	7	2
141	не нуждается	1	2
142	никогда не	2	2
143	сводится к	3	2
144	так называемый	1	2
145	понятия и	1	2
146	что на	4	2
147	в каком	4	2
148	не могут	5	2
149	что оно	3	2
150	не будет	1	2
151	как не	3	2
152	на основе	1	2
153	только то	1	2
154	в пределах	4	2
155	быть может	1	2
156	для этого	3	2
157	и вообще	2	2
158	находится в	1	2
159	о том	1	2
160	аналогии с	3	2
161	и содержание	1	2
162	для нас	4	2
163	что и	3	2
164	может иметь	1	2
165	один из	5	2
166	оно и	1	2
167	что он	5	2
168	есть в	3	2
169	если мы	4	2
