N	2gram	Savitsky_P_1	Literetu
1	а не	2	20
2	и в	14	19
3	может быть	5	17
4	то же	9	12
5	и не	12	11
6	как и	1	10
7	в том	9	10
8	но и	6	10
9	в этом	10	9
10	в то	7	9
11	в мире	2	9
12	же время	7	9
13	не может	4	9
14	пути в	2	8
15	не только	17	8
16	хх века	2	8
17	с другой	5	8
18	том что	4	7
19	с одной	3	7
20	то что	4	7
21	и на	1	6
22	в себе	3	6
23	не менее	2	6
24	себя в	1	6
25	одной стороны	3	6
26	столь же	3	5
27	но не	3	5
28	одна из	2	5
29	в качестве	9	5
30	на фоне	1	5
31	того что	2	5
32	вместе с	1	5
33	я и	3	4
34	в сфере	2	4
35	мы не	3	4
36	отнюдь не	2	4
37	в рамках	1	4
38	точки зрения	3	4
39	не в	5	4
40	в русской	4	4
41	в области	11	4
42	ли не	1	4
43	в ней	6	4
44	еще в	1	4
45	тех кто	4	4
46	в его	2	4
47	и других	2	4
48	каждый из	1	4
49	прежде всего	3	4
50	в частности	2	4
51	другой стороны	1	4
52	что в	4	4
53	и то	1	3
54	тем же	1	3
55	во всех	2	3
56	как к	1	3
57	в этой	1	3
58	наш взгляд	1	3
59	в нем	3	3
60	на наш	1	3
61	с точки	3	3
62	тем самым	3	3
63	не столько	2	3
64	никогда не	1	3
65	в себя	1	3
66	не с	1	3
67	и с	2	3
68	быть может	6	3
69	а в	4	3
70	со стороны	2	3
71	в данном	1	3
72	в начале	2	3
73	и как	3	3
74	как на	2	3
75	и т	3	2
76	же как	1	2
77	поэзии и	1	2
78	на себя	1	2
79	с ее	1	2
80	но как	1	2
81	прошлого не	1	2
82	если в	2	2
83	в е	2	2
84	в истории	1	2
85	все же	1	2
86	и к	4	2
87	но в	9	2
88	представляет собой	1	2
89	в годы	1	2
90	одно и	1	2
91	в каждом	1	2
92	а затем	1	2
93	и иных	1	2
94	в жизни	2	2
95	в них	2	2
96	с тем	3	2
97	и еще	1	2
98	как бы	4	2
99	и без	3	2
100	не к	2	2
101	мысли и	1	2
102	по преимуществу	1	2
103	что было	1	2
104	не вполне	1	2
105	бытия не	1	2
106	могут быть	3	2
107	восходит к	1	2
108	все еще	1	2
109	для того	3	2
110	в ее	2	2
111	за то	1	2
112	еще не	1	2
113	для этого	1	2
114	и что	1	2
115	для нас	2	2
116	а также	4	2
117	вождя в	1	2
118	и только	1	2
119	не более	1	2
120	в русском	2	2
121	было бы	6	2
122	тот же	3	2
123	в какой	1	2
124	друг друга	1	2
125	потому что	3	2
126	уже в	1	2
127	из них	2	2
128	одно из	1	2
129	что и	1	2
130	как раз	2	2
131	где в	2	2
132	что не	1	2
133	не было	2	2
134	черты в	1	2
135	в россии	3	2
136	над ним	1	2
137	к жизни	1	2
138	сравнении с	3	2
139	на плечи	1	2
140	в результате	1	2
141	хотя бы	8	2
142	же в	4	2
143	из тех	1	2
144	в сравнении	3	2
145	к этой	1	2
146	том числе	2	2
147	отношения к	2	1
148	которого в	1	1
149	должна быть	1	1
150	из всех	1	1
151	и само	1	1
152	что уже	1	1
153	начала в	1	1
154	новейшей русской	1	1
155	культурной традиции	1	1
156	он был	1	1
157	пути но	1	1
158	отличие от	1	1
159	под покровом	1	1
160	к осуществлению	1	1
161	и я	1	1
162	более чем	2	1
163	стороны и	2	1
164	есть в	2	1
165	что по	1	1
166	движение и	1	1
167	наиболее же	1	1
168	в самом	1	1
169	что это	1	1
170	у каждого	1	1
171	во многих	1	1
172	в известном	1	1
173	на то	1	1
174	в статье	2	1
175	и вот	2	1
176	никак не	2	1
177	и по	1	1
178	сознания к	1	1
179	это не	3	1
180	полноте и	1	1
181	например с	1	1
182	гумилева в	1	1
183	далеко не	1	1
184	русской культуры	1	1
185	ведет к	1	1
186	в этих	1	1
187	от первой	1	1
188	и понятиях	1	1
189	место в	1	1
190	государства но	1	1
191	в отличие	1	1
192	является в	2	1
193	того кто	1	1
194	в историческом	1	1
195	и вся	1	1
196	что есть	1	1
197	в отношении	10	1
198	не имеет	1	1
199	и притом	1	1
200	есть путь	1	1
201	и всегда	1	1
202	казалось бы	1	1
203	в отношениях	1	1
204	этих двух	1	1
205	на россию	1	1
206	мира нового	2	1
207	есть не	2	1
208	и теперь	1	1
209	мы и	1	1
210	есть у	1	1
