N	4gram	Bakhtin_Pr_1	SlovoVZh
1	дело в том что	1	4
2	бы то ни было	1	3
3	и по отношению к	1	3
4	в то время как	1	1
5	мы имеем в виду	1	1
6	на самом деле это	1	1
7	но в то же	5	1
8	те идеологические оценки которые	1	1
9	от того в каком	1	1
10	все зависит от того	1	1
11	и в этом смысле	2	1
12	так же как и	1	1
13	в то же время	9	1
14	по отношению к автору	1	1
15	в зависимости от того	1	1
16	бы оно ни было	1	1
17	в этом смысле она	1	1
18	к нему как к	1	1
19	от того кто является	1	1
20	то же время не	3	1
21	искусства и в частности	1	1
22	самом деле это не	1	1
23	но все же не	2	1
24	деле это не так	1	1
25	какой бы то ни	1	1
26	не может быть понято	1	1
