N	4gram	Voloshinov_2	KFilosof
1	по отношению к нему	1	4
2	бы то ни было	4	2
3	только по отношению к	1	2
4	в то же время	8	2
5	ни к чему не	1	2
6	дело в том что	1	1
7	одного и того же	4	1
8	тем не менее в	1	1
9	но для того чтобы	1	1
10	мы только путем скачка	1	1
11	но во всяком случае	1	1
12	и ни к чему	1	1
13	но в то же	5	1
14	во всех этих случаях	1	1
15	то же самое что	1	1
16	с точки зрения теоретической	1	1
17	бы оно ни было	1	1
18	несмотря на то что	1	1
19	ни на один миг	1	1
20	интонации в зависимости от	1	1
21	с нашей точки зрения	2	1
