N	2gram	Bakhtin_Pr_5	Stilisti
1	и в	35	42
2	не только	10	27
3	как бы	31	27
4	и т.п	6	24
5	прежде всего	12	22
6	и т.д	3	20
7	внутренней речи	5	18
8	хотя бы	2	17
9	то же	15	15
10	но и	14	15
11	и не	27	14
12	не может	18	12
13	может быть	14	12
14	мы уже	8	11
15	как и	18	11
16	точки зрения	7	11
17	отнюдь не	1	10
18	в этом	14	10
19	и как	2	10
20	как мы	8	10
21	мы должны	3	10
22	мы не	1	9
23	при этом	2	9
24	в то	11	9
25	для того	1	9
26	то что	10	9
27	в ней	2	8
28	все же	8	8
29	в себе	5	8
30	таким образом	7	8
31	и это	5	8
32	слово как	1	8
33	с тем	3	8
34	эти слова	3	8
35	что же	7	8
36	зависимости от	1	7
37	и на	6	7
38	в которой	2	7
39	было бы	3	7
40	так как	4	7
41	никогда не	4	7
42	же время	10	7
43	потому что	8	7
44	того чтобы	1	7
45	ничего не	3	7
46	с его	7	7
47	слов и	3	7
48	только в	6	7
49	и его	14	7
50	мы можем	2	7
51	а не	4	7
52	и от	3	7
53	во всех	3	6
54	в этой	1	6
55	но ведь	2	6
56	на его	4	6
57	в нем	16	6
58	не в	10	6
59	в процессе	1	6
60	или как	3	6
61	когда мы	1	6
62	так и	8	6
63	в форме	3	6
64	и так	4	6
65	в конце	5	6
66	или иной	4	6
67	в свою	1	6
68	той же	2	5
69	уже в	3	5
70	в той	4	5
71	независимо от	1	5
72	и наконец	7	5
73	одно и	3	5
74	и с	12	5
75	того или	1	5
76	мы видели	2	5
77	с точки	2	5
78	тому что	2	5
79	а в	7	5
80	не является	1	5
81	же самое	1	5
82	те же	2	5
83	в его	21	5
84	и их	1	5
85	слова в	6	5
86	точек зрения	2	5
87	вместе с	2	5
88	слова и	11	5
89	т.д и	1	5
90	у которого	1	5
91	если б	3	4
92	на слушателя	2	4
93	и то	5	4
94	самом деле	10	4
95	слово не	2	4
96	себя в	2	4
97	и к	12	4
98	но в	19	4
99	в самом	6	4
100	что это	4	4
101	так сказать	2	4
102	уже не	3	4
103	можно было	2	4
104	в каждом	6	4
105	его в	4	4
106	и без	4	4
107	самого начала	8	4
108	на него	5	4
109	его внутренней	4	4
110	но все	4	4
111	всего в	1	4
112	к тому	6	4
113	той или	4	4
114	свою очередь	1	4
115	внутренняя речь	3	4
116	с самого	8	4
117	было в	2	4
118	если бы	1	4
119	на другого	2	4
120	о том	2	4
121	можно сказать	1	4
122	все время	4	4
123	того что	3	4
124	один из	1	4
125	мы увидим	2	4
126	в качестве	1	4
127	о своей	3	4
128	не просто	2	4
129	а с	3	4
130	и пр	1	4
131	в слове	6	4
132	то есть	16	4
133	к своему	5	4
134	все это	14	4
135	бы в	4	4
136	того времени	2	4
137	так же	7	4
138	отношения к	1	3
139	словом и	3	3
140	на самом	9	3
141	и само	1	3
142	слова о	4	3
143	еще не	7	3
144	видели что	1	3
145	то он	1	3
146	ответ на	1	3
147	нет и	4	3
148	перед нами	1	3
149	хотя и	2	3
150	с генералом	1	3
151	мертвых душ	1	3
152	та же	4	3
153	вследствие этого	1	3
154	слов в	3	3
155	и вот	4	3
156	их в	2	3
157	языком и	1	3
158	заключает в	1	3
159	здесь мы	1	3
160	об этом	1	3
161	лишь в	7	3
162	это не	3	3
163	может стать	1	3
164	без внутренней	1	3
165	не мог	3	3
166	том что	3	3
167	что такое	1	3
168	слово и	2	3
169	слова как	1	3
170	связи с	1	3
171	внутренней жизни	2	3
172	да и	5	3
173	что оно	2	3
174	в виду	3	3
175	в ее	3	3
176	роль в	1	3
177	внутреннюю речь	4	3
178	что у	6	3
179	приближается к	1	3
180	и поэтому	1	3
181	должно было	1	3
182	связь между	1	3
183	нуждается в	3	3
184	теперь в	4	3
185	конечно не	2	3
186	только на	4	3
187	из них	3	3
188	его и	3	3
189	в котором	3	3
190	в одном	6	3
191	но что	2	3
192	что слова	1	3
193	что и	3	3
194	и даже	5	3
195	и эта	1	3
196	конце концов	3	3
197	если не	1	3
198	ни на	2	3
199	природы он	1	3
200	этого слова	5	3
201	этом случае	1	3
202	в целом	3	3
203	как таковой	1	3
204	в начале	3	3
205	и слово	8	3
206	но для	2	3
207	и для	8	3
208	и все	15	3
209	главным образом	1	3
210	но вот	1	3
211	между ними	1	3
212	не знает	6	3
213	сказать что	3	3
214	я и	2	2
215	с кем	1	2
216	несколько позже	1	2
217	что эти	1	2
218	и больше	1	2
219	и этот	2	2
220	со всех	1	2
221	всех его	1	2
222	вопрос о	2	2
223	но даже	1	2
224	как не	1	2
225	и он	2	2
226	же слово	1	2
227	и определяется	2	2
228	оценок и	1	2
229	все больше	1	2
230	но не	6	2
231	отношение к	6	2
232	себе и	7	2
233	оно является	1	2
234	форме и	1	2
235	в кругозор	2	2
236	как в	5	2
237	почувствовал что	1	2
238	между двумя	2	2
239	чего же	1	2
240	к чему	1	2
241	бы и	2	2
242	ни один	1	2
243	т.п но	1	2
244	все эти	3	2
245	бы не	2	2
246	тому же	3	2
247	друг другу	4	2
248	человек не	1	2
