N	2gram	Losev_Prob_2	Sotsiolo
1	все это	4	7
2	в том	12	5
3	в этом	17	5
4	и только	4	3
5	как же	4	3
6	для нас	9	3
7	не только	24	3
8	и в	35	3
9	но ведь	3	3
10	не в	2	3
11	в его	7	3
12	как только	3	2
13	но и	16	2
14	конце концов	7	2
15	и мы	2	2
16	было бы	8	2
17	в смысле	1	2
18	должна быть	1	2
19	только в	14	2
20	далеко не	4	2
21	нужно было	1	2
22	в результате	4	2
23	в литературоведении	1	2
24	тем более	10	2
25	том что	19	2
26	в частности	5	2
27	как будто	6	2
28	то что	38	2
29	или даже	3	2
30	и что	13	2
31	литературы и	1	2
32	еще не	10	2
33	только как	3	2
34	ведь это	2	2
35	таким образом	4	2
36	это и	3	2
37	в конце	7	2
38	что в	11	2
39	может быть	18	2
40	как бы	4	2
41	то же	5	2
42	друг от	2	1
43	быть для	1	1
44	крайней мере	6	1
45	тотчас же	2	1
46	что все	6	1
47	же не	1	1
48	опираясь на	1	1
49	по себе	8	1
50	даже в	2	1
51	сама по	4	1
52	в этой	9	1
53	тому что	3	1
54	отнюдь не	5	1
55	более не	2	1
56	эти два	1	1
57	и должны	3	1
58	даже не	3	1
59	этой области	3	1
60	вопроса это	1	1
61	с другой	6	1
62	ни одно	1	1
63	его в	3	1
64	дает нам	1	1
65	с ним	1	1
66	это не	1	1
67	науки о	1	1
68	именно в	1	1
69	значении слова	2	1
70	метафизический дуализм	1	1
71	все же	8	1
72	один из	3	1
73	и есть	4	1
74	перед нами	2	1
75	в то	6	1
76	хотелось бы	2	1
77	тем же	1	1
78	и наконец	3	1
79	даже больше	1	1
80	какой же	1	1
81	еще и	5	1
82	только то	3	1
83	случае только	1	1
84	а с	1	1
85	том как	1	1
86	тем что	4	1
87	и как	4	1
88	что эти	1	1
89	что он	4	1
90	прежде всего	11	1
91	бы он	1	1
92	области знания	1	1
93	в них	2	1
94	так и	7	1
95	не было	3	1
96	одной стороны	5	1
97	но только	4	1
98	и не	37	1
99	это вовсе	2	1
100	на тех	1	1
101	существу дела	1	1
102	никогда не	1	1
103	теоретической мысли	1	1
104	именно такого	1	1
105	мы не	7	1
106	ничего не	10	1
107	между собою	4	1
108	мы еще	3	1
109	и самым	1	1
110	не мешает	1	1
111	и о	4	1
112	все эти	7	1
113	это же	1	1
114	как и	5	1
115	между собой	5	1
116	бы в	3	1
117	без этого	1	1
118	для этого	3	1
119	в настоящее	16	1
120	она должна	2	1
121	мы должны	3	1
122	первый план	3	1
123	в таких	3	1
124	пришлось бы	1	1
125	образом в	1	1
126	конечно не	2	1
127	в связи	5	1
128	на первый	4	1
129	иначе и	1	1
130	свойств и	1	1
131	и его	1	1
132	в этих	4	1
133	место в	1	1
134	связи с	5	1
135	от друга	2	1
136	или не	2	1
137	хотя бы	12	1
138	отвечает требованиям	1	1
139	в целом	3	1
140	не может	13	1
141	только тогда	3	1
142	а в	4	1
143	еще недостаточно	1	1
144	что она	4	1
145	можно будет	1	1
146	о том	18	1
147	по самому	3	1
148	в области	6	1
149	и потому	1	1
150	же это	5	1
151	настоящее время	16	1
152	представить себе	4	1
153	в него	2	1
154	но именно	4	1
155	никак не	11	1
156	из тех	1	1
157	на что	1	1
158	представляется нам	1	1
159	использование ее	1	1
160	может не	1	1
161	столь же	1	1
162	время в	1	1
163	всяком случае	10	1
164	где же	1	1
165	когда мы	6	1
166	в силу	1	1
167	мы понимаем	1	1
168	он говорит	1	1
169	в область	4	1
170	ни на	1	1
171	наука о	1	1
172	что это	1	1
173	вовсе не	37	1
174	же самое	6	1
175	с одной	5	1
176	что без	2	1
177	далеки от	1	1
178	в заключение	2	1
179	но не	4	1
180	а тем	3	1
181	в виде	6	1
182	в данном	10	1
183	между тем	1	1
184	но как	6	1
185	и по	3	1
186	что на	4	1
187	по крайней	6	1
188	не один	1	1
189	понимать что	1	1
190	и более	5	1
191	во всяком	13	1
192	и будет	1	1
193	в каждом	1	1
194	они не	1	1
195	и понятие	2	1
196	нам право	1	1
197	это значит	4	1
