N	2gram	Medvedev_V_1	Tvorches
1	и в	2	20
2	и его	1	9
3	же с	1	9
4	и не	1	9
5	в том	2	8
6	в этом	1	8
7	то же	1	7
8	потому что	1	7
9	в конце	2	6
10	именно в	1	6
11	все это	1	6
12	но это	1	5
13	том что	2	4
14	в самом	1	3
15	в их	1	3
16	в которых	1	3
17	собр соч	1	3
18	так как	1	3
19	к этому	1	3
20	самом деле	1	2
21	я не	1	2
22	том же	1	2
23	в устах	1	2
24	так в	1	2
25	сводится к	1	2
26	и только	1	2
27	крайней мере	1	2
28	все время	1	2
29	только в	1	2
30	по крайней	1	2
31	в частности	1	2
32	ни к	1	2
33	бы уже	1	1
34	а только	1	1
35	главным образом	1	1
36	для них	1	1
37	за свою	1	1
38	дело в	1	1
39	и мало	1	1
40	с большой	1	1
41	ясно что	1	1
42	другом месте	1	1
43	в другом	1	1
44	столь же	1	1
45	ничуть не	1	1
46	даже не	1	1
47	под влиянием	1	1
48	в книге	3	1
49	по поводу	1	1
