N	3gram	Potebnia_M_3	Analitik
1	не может быть	3	16
2	в том что	16	9
3	в то же	5	8
4	в том чтобы	2	7
5	значении этого слова	1	6
6	то же время	5	6
7	на наш взгляд	1	6
8	по отношению к	5	5
9	к тому же	1	4
10	о том что	1	3
11	а не в	1	3
12	подобно тому как	2	3
13	в произведении искусства	3	3
14	в таком случае	2	3
15	из того что	1	3
16	и т п	2	3
17	для того чтобы	3	3
18	с одной стороны	3	3
19	не в том	5	3
20	лишь в том	1	3
21	быть не может	1	3
22	могли бы быть	1	2
23	того что в	1	2
24	в самом деле	1	2
25	то же самое	1	2
26	сами по себе	1	2
27	но и в	4	2
28	в этом отношении	2	2
29	того и другого	1	2
30	вместе с ним	1	2
31	в данном случае	1	2
32	далеко не всегда	1	2
33	в первом случае	2	2
34	не могут быть	2	2
35	с другой стороны	4	2
36	внутреннего и внешнего	1	2
37	в свое время	1	2
38	том что он	2	2
39	самом деле в	1	1
40	в том виде	1	1
41	слово есть выражение	1	1
42	бы ни был	1	1
43	и той же	2	1
44	более или менее	3	1
45	связь с другими	1	1
46	равно как и	1	1
47	не говоря о	2	1
48	один и тот	1	1
49	я в себе	1	1
50	не следует однако	2	1
51	что как бы	1	1
52	только в том	3	1
53	до сих пор	3	1
54	говоря уже о	1	1
55	сам по себе	5	1
56	того что мы	2	1
57	в том случае	1	1
58	и та же	1	1
59	самим по себе	1	1
60	в собственном смысле	2	1
61	состоит не в	1	1
62	та и другая	1	1
63	не сам по	1	1
64	каков бы ни	1	1
65	в противном случае	1	1
66	по крайней мере	5	1
67	вместе с тем	4	1
68	только не следует	1	1
69	не заставит нас	1	1
70	одно и то	5	1
71	что не есть	1	1
72	все равно он	1	1
73	всякое понимание есть	1	1
74	поэтому всякое понимание	1	1
75	не только в	4	1
76	в художественном произведении	1	1
77	на первый взгляд	1	1
78	того о ком	1	1
79	смысле этого слова	7	1
80	и то же	5	1
81	в свою очередь	3	1
82	то что мы	2	1
83	бы оно ни	1	1
84	одна и та	1	1
85	есть не столько	1	1
86	однако с точки	1	1
87	далеко не все	3	1
88	а вместе с	1	1
89	что даже в	1	1
90	до тех пор	1	1
91	уже потому что	1	1
92	тем самым и	1	1
93	однако в силу	1	1
94	в этом последнем	2	1
95	между тем в	1	1
96	упускать из виду	2	1
97	и тем самым	1	1
98	и в самом	2	1
99	чтобы вместе с	1	1
100	только тогда когда	7	1
101	возможно только в	2	1
102	в себе все	1	1
103	к тому что	2	1
104	одной и той	2	1
105	и таким образом	1	1
106	друг с другом	1	1
107	или лучше сказать	2	1
108	и та и	1	1
109	как и в	2	1
110	здесь как и	1	1
111	форма в которой	2	1
112	в том же	2	1
113	и тот же	1	1
114	не говоря уже	1	1
115	что в произведении	1	1
116	этого слова в	2	1
