N	3gram	Bakhtin_Fr_4	Literetu
1	то же время	8	9
2	в то же	8	9
3	не может быть	1	7
4	с одной стороны	2	6
5	в конечном счете	1	5
6	в том что	1	5
7	с другой стороны	3	4
8	с точки зрения	2	3
9	в этом отношении	1	3
10	в данном случае	1	3
11	о том что	2	2
12	подобно тому как	3	2
13	за то что	1	2
14	одно и то	1	2
15	в первый раз	1	2
16	и то же	1	2
17	в его лице	1	2
18	в разговоре с	1	2
19	в том числе	3	2
20	нет и не	1	1
21	как было сказано	1	1
22	но даже и	1	1
23	в соответствии с	1	1
24	то же самое	1	1
25	одной стороны и	1	1
26	по собственному признанию	1	1
27	и не может	1	1
28	в отличие от	1	1
29	том числе и	2	1
30	может быть ни	1	1
31	и вовсе не	1	1
32	и то что	1	1
33	и в то	4	1
34	в самом начале	1	1
35	у того же	1	1
36	в конце концов	4	1
37	только и не	1	1
38	так и от	1	1
39	и в соответствии	1	1
40	и своего рода	1	1
41	не только и	1	1
42	в этом же	1	1
43	и не столько	1	1
44	в свою очередь	1	1
45	на самом деле	1	1
46	то есть в	2	1
47	свою судьбу судьбу	1	1
48	в этой системе	3	1
49	а с другой	1	1
50	тех или иных	1	1
51	не подозревая что	1	1
52	для того чтобы	3	1
53	тех кто не	1	1
54	как мы видели	2	1
