N	4gram	Tiupa_Disk_1	Hudozhes
1	в то же время	3	6
2	одно и то же	1	3
3	состоит в том что	1	3
4	одного и того же	2	3
5	в том числе и	2	2
6	и в то же	1	2
7	и не могло быть	1	2
8	определена как регулятивная отношение	1	1
9	прежде всего к ценностной	1	1
10	слушатель читатель может и	1	1
11	мы имеем дело с	1	1
12	писал бахтин может ощущаться	1	1
13	равнодостойности сознаний встречающихся в	1	1
14	здесь действующие лица по	1	1
15	оно живет в готовом	1	1
16	мира вокруг я героя	1	1
17	иносказательность является своего рода	1	1
18	в чистом виде целенаправленно	1	1
19	поступки только раскрывают содержание	1	1
20	принципиальная для притчи иносказательность	1	1
21	ни убавить ни изменить	1	1
22	может и не занять	1	1
23	курьезное любопытное занимательное неожиданное	1	1
24	преступается не предначертанность судьбы	1	1
25	фактический слушатель читатель может	1	1
26	и потому нейтральное к	1	1
27	известного рода взаимная условленность	1	1
28	может быть определена как	2	1
29	акт притчевого типа есть	1	1
30	занимательное неожиданное маловероятное беспрецедентное	1	1
31	нечто смешное но обязательно	1	1
32	притче о блудном сыне	1	1
33	нормативное приложение запечатленного в	1	1
34	с языком ставят перед	1	1
35	собственно и составляющий морализаторскую	1	1
36	монологизированного слова в слове	1	1
37	в сказании повествуемой ситуации	1	1
38	некий нравственный закон собственно	1	1
39	ставят перед ним определенные	1	1
40	они хотят и свершают	1	1
41	смысле домонологично оно объединяет	1	1
42	сплетни то есть принадлежат	1	1
43	в их отношении к	1	1
44	бытуют как слухи или	1	1
45	запечатленного в притче универсального	1	1
46	и прежде всего к	1	1
47	компетентность восприятия со стороны	1	1
48	и в форме индивидуального	1	1
49	коммуникативного события на поучающего	1	1
50	любопытное занимательное неожиданное маловероятное	1	1
51	обязательно курьезное любопытное занимательное	1	1
52	система смыслов оно стремится	1	1
53	нам всегда предносится целое	1	1
54	восприятия со стороны адресата	1	1
55	устремленный от одного сознания	1	1
56	не выбирают а по	1	1
57	акте выбора осуществляется или	1	1
58	практике может быть осуществлено	1	1
59	адресата при этом остается	1	1
60	не отделен от своей	1	1
61	или преступается не предначертанность	1	1
62	слушающих общим знанием поэтому	1	1
63	как правило лишь в	1	1
64	поучающего и поучаемого это	1	1
65	когда ни прибавить ни	1	1
66	в том или ином	1	1
67	рода механизмом активизации воспринимающего	1	1
68	для притчи иносказательность является	1	1
69	одного сознания к другому	1	1
70	составляющий морализаторскую премудрость притчевого	1	1
71	свою очередь определяется предметом	2	1
72	которые лежат в основе	1	1
73	встречающихся в дискурсе речевой	1	1
74	жанр это известного рода	1	1
75	и его поступки только	1	1
76	слово сказания еще не	1	1
77	реализуют в нем определенные	1	1
78	в форме индивидуального речевого	1	1
79	в том случае если	1	1
80	и в форме определенной	1	1
81	то что они хотят	1	1
82	индивида и его поступки	1	1
83	а некий нравственный закон	1	1
84	читатель может и не	1	1
85	ситуации произнесения сказания субъект	1	1
86	судьбы они едины судьба	1	1
87	рода взаимная условленность конвенциональность	1	1
88	к другому что касается	1	1
89	проделано и рассказывающим притчу	1	1
90	иерархично оно не предполагает	1	1
91	коммуникативным параметрам сродни любому	1	1
