N	3gram	Tiupa_Hudo_2	Tragedij
1	то же время	4	5
2	в то же	4	5
3	и не случайно	1	2
4	точно так же	1	2
5	в данном случае	2	2
6	о том что	7	2
7	и в самом	1	2
8	но все же	1	2
9	в том что	11	2
10	в этом случае	1	1
11	а между тем	3	1
12	а на другой	1	1
13	начнем с того	1	1
14	в ее душу	1	1
15	а как же	1	1
16	что говорит о	2	1
17	казалось что все	1	1
18	хотя бы и	2	1
19	что он не	1	1
20	как же я	1	1
21	как это часто	1	1
22	и то что	1	1
23	и т п	2	1
24	можно так выразиться	2	1
25	ее душу и	1	1
26	в этой связи	2	1
27	л н толстой	1	1
28	он не любил	1	1
29	в голову что	1	1
30	но при этом	3	1
31	и в этом	2	1
32	и при этом	1	1
33	тем не менее	3	1
34	все же не	1	1
35	если можно так	2	1
36	что я не	1	1
37	не может быть	3	1
38	за этими словами	2	1
39	и все же	1	1
40	в это же	1	1
41	в одном из	1	1
42	с того что	1	1
43	с самого начала	1	1
44	не только не	2	1
45	в самом деле	3	1
46	в последней главе	1	1
47	после того как	1	1
48	к тому что	4	1
49	как и в	3	1
50	в разговоре с	1	1
51	и в ходе	1	1
