N	3gram	Losev_Vesc_1	Myslijsy
1	в том что	4	16
2	только тогда когда	2	7
3	и то же	4	5
4	сам по себе	3	5
5	по крайней мере	4	5
6	одно и то	4	5
7	не в том	1	5
8	а в том	1	5
9	от того что	1	5
10	в то же	1	5
11	вместе с тем	1	4
12	с другой стороны	2	4
13	по себе а	1	4
14	не есть ни	3	4
15	в то время	1	4
16	не только в	4	4
17	более или менее	1	3
18	до сих пор	1	3
19	я и не	1	3
20	может быть только	3	3
21	с одной стороны	3	3
22	в свою очередь	4	3
23	само по себе	1	3
24	и т д	19	3
25	в том смысле	1	3
26	тем не менее	3	3
27	для того чтобы	2	3
28	не может быть	6	3
29	что и в	1	3
30	то что я	2	2
31	только потому что	1	2
32	подобно тому как	4	2
33	того что мы	1	2
34	в этом отношении	1	2
35	в собственном смысле	2	2
36	не могла бы	1	2
37	что только в	2	2
38	в том чтобы	1	2
39	в первом случае	2	2
40	не есть еще	2	2
41	мы не знаем	1	2
42	между собою так	1	2
43	внутренняя форма слова	1	2
44	мы не можем	1	2
45	то что мы	2	2
46	что в ней	1	2
47	и в самом	1	2
48	не только не	2	2
49	как бы ни	2	2
50	с этой стороны	1	2
51	можно сказать что	3	2
52	то или другое	1	2
53	к тому что	2	2
54	сама по себе	3	2
55	в себе не	1	2
56	имя не есть	3	1
57	точки зрения и	1	1
58	таким образом что	1	1
59	все эти признаки	1	1
60	одной стороны и	1	1
61	есть нечто совершенно	1	1
62	представим себе что	1	1
63	том смысле что	1	1
64	а потом уже	1	1
65	в свое время	2	1
66	и это будет	1	1
67	того что в	1	1
68	в чем же	3	1
69	в ряду других	1	1
70	самой по себе	1	1
71	равно как и	2	1
72	мы уже сказали	1	1
73	не входить в	1	1
74	в самом деле	4	1
75	с нею без	1	1
76	при таких условиях	1	1
77	так что в	3	1
78	то же самое	1	1
79	потому что я	2	1
80	что оно не	1	1
81	что как бы	1	1
82	и относится к	2	1
83	сами по себе	3	1
84	каждой из этих	1	1
85	самим по себе	1	1
86	из того что	2	1
87	с но и	1	1
88	и говорить о	1	1
89	с ними в	1	1
90	и здесь как	1	1
91	то и другое	4	1
92	есть то что	4	1
93	и то что	3	1
94	одно то что	1	1
95	ясно что и	1	1
96	что не есть	3	1
97	то время как	1	1
98	и заставляет нас	1	1
99	то что оно	2	1
100	в нем те	1	1
101	в данном случае	2	1
102	в понятии и	1	1
103	в действительности и	1	1
104	себя и что	1	1
105	ее отличие от	1	1
106	себе не только	1	1
107	только один из	1	1
108	нужно для того	1	1
109	те или другие	4	1
110	не есть звук	2	1
111	что собственно говоря	1	1
112	того что она	2	1
113	так или иначе	4	1
114	что оно есть	4	1
115	для меня не	1	1
116	в одно целое	1	1
117	вообще но и	2	1
118	только не есть	1	1
119	потому что они	3	1
120	не в смысле	1	1
121	если оно вообще	1	1
122	внутреннего и внешнего	2	1
123	самом деле в	1	1
124	что то же	1	1
125	быть не только	2	1
126	оно есть не	4	1
127	только то что	2	1
128	это было бы	1	1
129	вещь и это	1	1
130	сам в себе	1	1
131	и не есть	2	1
132	что не только	1	1
133	что оно существует	1	1
134	заключается в том	1	1
135	или что то	1	1
136	то же понятие	2	1
137	о том что	4	1
138	с этим последним	1	1
139	значит что я	4	1
140	это значит что	19	1
141	видно уже из	1	1
142	на то что	2	1
143	тому как мы	1	1
144	такое а не	1	1
145	и то и	1	1
146	и оно не	1	1
147	друг с другом	1	1
148	не вдаваясь в	1	1
149	но и то	1	1
150	все то что	1	1
151	уже одно то	1	1
152	здесь как и	1	1
153	в ней самой	1	1
