N	2gram	Tiupa_Vved_1	Psycholo
1	то что	6	44
2	и в	13	33
3	в этом	21	28
4	и что	1	25
5	как бы	4	25
6	потому что	5	24
7	том что	7	22
8	того чтобы	1	22
9	может быть	18	22
10	что в	3	21
11	в том	10	21
12	о том	5	20
13	что он	1	20
14	и мы	1	15
15	только что	1	15
16	как это	1	14
17	что это	1	13
18	таким образом	4	13
19	то есть	8	13
20	так же	1	13
21	и не	12	13
22	все это	1	13
23	сказать что	1	13
24	самом деле	3	12
25	в самом	2	12
26	было бы	4	12
27	все то	1	12
28	к тому	6	12
29	и все	4	12
30	этого рассказа	1	12
31	если мы	1	12
32	он не	3	11
33	что все	1	11
34	на то	1	10
35	что она	1	10
36	если бы	7	10
37	в его	4	10
38	как она	1	10
39	не может	7	10
40	то же	5	9
41	в этой	1	9
42	и если	1	9
43	по себе	2	9
44	как раз	2	9
45	в конце	1	8
46	как будто	4	8
47	в рассказе	6	8
48	вместе с	1	8
49	в своем	5	7
50	не только	20	7
51	в нем	5	7
52	так что	1	7
53	и только	1	7
54	до конца	3	7
55	для нас	2	7
56	на самом	4	6
57	в сущности	1	6
58	в ней	4	6
59	что они	1	6
60	перед нами	6	6
61	все эти	1	6
62	в себе	5	6
63	и вот	1	6
64	во время	1	6
65	точки зрения	1	6
66	всякий раз	1	6
67	но он	1	6
68	тому что	1	6
69	же самое	1	6
70	никак не	2	6
71	это не	6	6
72	мы видим	1	6
73	у него	1	6
74	а не	15	6
75	что мы	2	6
76	мы должны	1	6
77	полагает что	1	5
78	мы не	4	5
79	в целом	3	5
80	и на	3	5
81	все же	6	5
82	целый ряд	2	5
83	как он	2	5
84	как и	11	5
85	никогда не	4	5
86	и его	5	5
87	с ним	3	5
88	в какой	4	5
89	что для	1	5
90	вовсе не	1	5
91	мы можем	2	5
92	связь с	1	5
93	разговора с	1	5
94	из этого	1	5
95	той же	1	4
96	что автор	1	4
97	том чтобы	2	4
98	могла бы	3	4
99	с тем	1	4
100	слова и	1	4
101	в своей	5	4
102	одна из	4	4
103	на него	2	4
104	а в	6	4
105	у нас	1	4
106	так например	1	4
107	как мы	3	4
108	и о	1	4
109	что у	1	4
110	можно было	2	4
111	об этом	4	4
112	того что	6	4
113	в двух	1	4
114	только в	6	4
115	и так	1	4
116	себя в	1	4
117	в жизни	4	4
118	из них	1	4
119	очень легко	1	4
120	по поводу	2	4
121	от этих	2	4
122	что не	1	4
123	в частности	13	4
124	мы узнаем	1	4
125	исходя из	2	4
126	жизни и	7	4
127	к этому	2	4
128	в таком	1	4
129	речь идет	1	3
130	например в	2	3
131	к своей	1	3
132	идет о	1	3
133	и до	1	3
134	говорить о	2	3
135	событий и	1	3
136	и он	1	3
137	применительно к	1	3
138	события в	1	3
139	но не	5	3
140	к которой	1	3
141	в сторону	1	3
142	как в	4	3
143	не можем	2	3
144	та же	1	3
145	что может	1	3
146	на этом	1	3
147	здесь мы	1	3
148	должен был	1	3
149	далеко не	4	3
150	обратимся к	2	3
151	всех этих	1	3
152	но если	1	3
