N	3gram	Nazirov_Tr_1	Psycholo
1	в том что	2	17
2	в самом деле	1	11
3	и т п	1	8
4	не может быть	1	8
5	о том что	2	4
6	сам по себе	1	4
7	и в самом	2	4
8	тем не менее	1	4
9	в данном случае	2	4
10	точно так же	2	3
11	в конце концов	1	3
12	несмотря на все	1	3
13	том что он	1	3
14	что все это	1	2
15	по сравнению с	1	2
16	как и в	1	2
17	начала и до	1	2
18	к тому что	1	2
19	что он не	1	2
20	и то что	1	2
21	в то же	5	2
22	то же время	5	2
23	и не может	1	2
24	во всяком случае	1	2
25	в чем же	1	1
26	с самого начала	1	1
27	и в частности	2	1
28	могут быть отнесены	1	1
29	в неизмеримо более	1	1
30	не только не	1	1
31	но и на	1	1
32	ничего подобного нет	1	1
33	а между тем	1	1
34	на всем протяжении	1	1
35	в отличие от	2	1
36	бросается в глаза	2	1
37	в этом случае	1	1
38	имеет в виду	1	1
39	за то что	1	1
40	что в таком	1	1
41	он считает что	1	1
42	это очень важно	2	1
43	с того что	1	1
44	может быть не	1	1
45	не могут быть	1	1
46	в связи с	1	1
47	вместо того чтобы	1	1
48	в борьбе за	1	1
49	но при этом	1	1
50	все же не	1	1
51	не к области	1	1
52	в высшей степени	1	1
53	объясняется тем что	1	1
54	после того как	1	1
55	но только он	1	1
56	и с этими	1	1
57	он сказал что	1	1
58	с тем и	1	1
