N	3gram	Vinokur_Ku_3	Sotsiolo
1	по отношению к	2	2
2	не в том	2	2
3	в том что	8	2
4	дело не в	2	2
5	ровно ничего не	1	1
6	не выходит за	1	1
7	а в том	1	1
8	а тем более	1	1
9	с одной стороны	4	1
10	чуть ли не	1	1
11	только то что	2	1
12	и что на	1	1
13	выходит за пределы	1	1
14	формальный метод и	1	1
15	во всяком случае	1	1
16	далеко еще не	1	1
17	не должна быть	1	1
18	в связи с	4	1
19	в конечном счете	1	1
20	хотя бы о	1	1
21	то же самое	1	1
22	в противном случае	1	1
23	именно в том	1	1
24	то же время	1	1
25	и в то	1	1
26	друг от друга	1	1
27	и в этом	4	1
28	в то же	1	1
29	это вовсе не	1	1
30	по крайней мере	1	1
31	а с другой	3	1
32	но она может	1	1
33	сама по себе	2	1
34	в те же	1	1
