N	2gram	Propp_Russ_1	Komedia
1	и в	36	22
2	и не	6	21
3	т е	17	16
4	в дом	2	14
5	том что	19	13
6	таким образом	6	12
7	в том	17	12
8	так как	15	11
9	в доме	2	10
10	ни в	1	10
11	потому что	10	10
12	вместе с	10	9
13	в этом	12	8
14	его в	1	8
15	в своем	3	8
16	к ней	2	8
17	о том	8	8
18	если бы	1	8
19	в его	2	8
20	что и	7	8
21	что он	1	8
22	то же	3	7
23	при этом	6	7
24	не по	1	7
25	об этом	9	7
26	о чем	3	7
27	а в	9	7
28	в свою	3	7
29	того же	1	6
30	самом деле	1	6
31	еще не	4	6
32	так что	2	6
33	тому же	1	6
34	в то	1	6
35	и его	1	6
36	к тому	4	6
37	свою очередь	2	6
38	и что	4	6
39	может быть	8	6
40	во время	14	6
41	к этому	4	6
42	но в	2	5
43	не только	22	5
44	он не	1	5
45	в которых	5	5
46	не менее	3	5
47	iv в	1	5
48	связи с	4	5
49	хозяина и	1	5
50	и сам	1	5
51	хотя и	2	5
52	с ним	2	5
53	к нему	1	5
54	что в	19	5
55	по отношению	1	5
56	из них	8	5
57	тем что	4	5
58	как это	8	5
59	все это	6	5
60	и т	10	4
61	на себя	2	4
62	в ней	2	4
63	он был	2	4
64	тут же	2	4
65	отнюдь не	2	4
66	все же	5	4
67	когда он	2	4
68	то что	6	4
69	в себе	1	4
70	что она	2	4
71	но все	3	4
72	совпадают с	3	4
73	и с	2	4
74	должен был	1	4
75	с тем	8	4
76	несмотря на	3	4
77	точки зрения	3	4
78	у него	2	4
79	и здесь	2	4
80	так и	7	4
81	между собой	2	4
82	и поэтому	2	4
83	сразу же	1	4
84	до нас	1	4
85	не дает	1	4
86	т п	1	4
87	но и	16	4
88	до конца	2	4
89	а не	2	4
90	в связи	4	4
91	не является	1	4
92	и для	2	4
93	так же	3	4
94	над ней	1	3
95	который в	1	3
96	говорить о	1	3
97	на них	1	3
98	жениться на	1	3
99	с его	1	3
100	с этим	2	3
101	и к	3	3
102	тем же	1	3
103	в которой	1	3
104	представляет собой	4	3
105	в этой	1	3
106	как он	2	3
107	на то	1	3
108	в нем	2	3
109	прежде чем	1	3
110	приводит к	3	3
111	было бы	1	3
112	по всему	1	3
113	в них	6	3
114	далеко не	3	3
115	как и	10	3
116	чем в	2	3
117	но если	1	3
118	с точки	3	3
119	тем не	3	3
120	их в	3	3
121	к ним	3	3
122	не имеет	6	3
123	примерно в	1	3
